,open,close,high,low,volume
2017-07-01 00:00:00,276.17,273.24,277.63,271.51,3768.1684322700235
2017-07-01 01:00:00,273.24,266.9,275.34,264.38,5779.276377259999
2017-07-01 02:00:00,266.9,268.98,269.0,261.7,8236.358428380021
2017-07-01 03:00:00,268.98,265.32,270.0,264.92,2826.433925810017
2017-07-01 04:00:00,265.2,268.63,269.34,264.11,2314.723708339998
2017-07-01 05:00:00,268.32,261.54,268.87,261.54,3564.289072690002
2017-07-01 06:00:00,261.54,258.27,262.61,255.13,11884.555429020018
2017-07-01 07:00:00,258.15,264.4,265.0,256.26,6913.274132280029
2017-07-01 08:00:00,264.5,264.7,266.46,263.0,3835.75911196001
2017-07-01 09:00:00,264.7,273.87,274.84,264.66,9955.344208339997
2017-07-01 10:00:00,273.88,269.8,274.4,268.34,4938.928401309996
2017-07-01 11:00:00,270.36,264.48,271.94,261.83,5087.917419499997
2017-07-01 12:00:00,264.95,264.99,266.23,262.27,2906.7582935900014
2017-07-01 13:00:00,264.95,259.11,266.0,258.5,3999.56125281
2017-07-01 14:00:00,259.75,258.0,260.32,256.5,5699.5332555300165
2017-07-01 15:00:00,258.25,266.11,267.02,257.31,14950.100732049994
2017-07-01 16:00:00,266.1,261.28,266.11,260.77,5229.9846858000665
2017-07-01 17:00:00,261.4,256.85,262.8,254.0,14408.40085284013
2017-07-01 18:00:00,256.88,252.6,258.75,245.69,19036.220366220055
2017-07-01 19:00:00,252.0,247.99,253.0,242.0,24718.11803620989
2017-07-01 20:00:00,247.99,245.1,253.14,244.44,10641.042890540035
2017-07-01 21:00:00,244.77,246.64,249.5,240.18,14526.588707620003
2017-07-01 22:00:00,246.63,252.87,253.0,238.0,10499.03751102997
2017-07-01 23:00:00,252.82,254.9,258.0,250.55,9758.702612040006
2017-07-02 00:00:00,255.0,250.19,255.0,247.99,5502.74336105003
2017-07-02 01:00:00,247.46,253.64,254.49,247.24,2709.4920671900027
2017-07-02 02:00:00,253.79,247.68,253.79,244.73,4503.798265590021
2017-07-02 03:00:00,246.79,246.88,247.98,244.91,2270.512549370095
2017-07-02 04:00:00,246.86,247.09,247.31,242.81,2327.188164810015
2017-07-02 05:00:00,247.05,253.45,255.0,246.7,6445.650830440008
2017-07-02 06:00:00,253.4,251.34,253.72,250.0,2876.1842699299987
2017-07-02 07:00:00,251.45,256.99,258.8,250.0,4509.681130090006
2017-07-02 08:00:00,257.0,264.43,266.89,257.0,13768.474692640048
2017-07-02 09:00:00,264.66,259.89,265.18,258.28,5244.744900340029
2017-07-02 10:00:00,259.89,256.6,259.89,255.0,3504.389035570008
2017-07-02 11:00:00,256.6,260.62,261.17,253.28,4842.215926520013
2017-07-02 12:00:00,260.71,256.5,261.67,255.42,3009.604000690001
2017-07-02 13:00:00,257.24,253.1,257.24,252.87,3380.787486600006
