ADXStrategy_120,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2017-05-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-27 23:00:00,BTCUSDT,LONG,100,Binance,5768.83,576.883
2017-10-28 11:00:00,BTCUSDT,SHORT,100,Binance,5680.28,568.028
2017-10-29 07:00:00,BTCUSDT,LONG,100,Binance,5799.99,579.999
2017-10-29 13:00:00,BTCUSDT,SHORT,100,Binance,5790.0,579.0
2017-10-29 14:00:00,BTCUSDT,LONG,100,Binance,5790.04,579.004
2017-11-06 17:00:00,BTCUSDT,SHORT,100,Binance,7129.99,712.999
2017-11-06 20:00:00,BTCUSDT,LONG,100,Binance,7081.03,708.1030000000001
2017-11-06 22:00:00,BTCUSDT,SHORT,100,Binance,7017.74,701.774
2017-11-15 18:00:00,BTCUSDT,LONG,100,Binance,7087.0,708.7
2017-11-16 01:00:00,BTCUSDT,SHORT,100,Binance,7125.02,712.5020000000001
2017-11-16 03:00:00,BTCUSDT,LONG,100,Binance,7239.0,723.9000000000001
2017-11-21 18:00:00,BTCUSDT,SHORT,100,Binance,8270.6,827.0600000000001
2017-11-22 08:00:00,BTCUSDT,LONG,100,Binance,8304.13,830.413
2017-11-22 09:00:00,BTCUSDT,SHORT,100,Binance,8271.01,827.1010000000001
2017-11-26 03:00:00,BTCUSDT,LONG,100,Binance,8805.88,880.588
2017-11-26 09:00:00,BTCUSDT,SHORT,100,Binance,8848.41,884.841
2017-11-26 13:00:00,BTCUSDT,LONG,100,Binance,8961.99,896.1990000000001
2017-11-30 09:00:00,BTCUSDT,SHORT,100,Binance,10055.03,1005.5030000000002
2017-12-01 13:00:00,BTCUSDT,LONG,100,Binance,10659.63,1065.963
2017-12-01 17:00:00,BTCUSDT,SHORT,100,Binance,10386.03,1038.603
2017-12-01 19:00:00,BTCUSDT,LONG,100,Binance,10529.1,1052.91
2017-12-02 04:00:00,BTCUSDT,SHORT,100,Binance,10810.0,1081.0
2017-12-02 06:00:00,BTCUSDT,LONG,100,Binance,10856.0,1085.6000000000001
2017-12-02 07:00:00,BTCUSDT,SHORT,100,Binance,10931.04,1093.104
2017-12-02 09:00:00,BTCUSDT,LONG,100,Binance,11128.23,1112.823
2017-12-02 14:00:00,BTCUSDT,SHORT,100,Binance,10853.48,1085.348
2017-12-02 17:00:00,BTCUSDT,LONG,100,Binance,10898.57,1089.857
2017-12-03 00:00:00,BTCUSDT,SHORT,100,Binance,10854.83,1085.483
2017-12-03 02:00:00,BTCUSDT,LONG,100,Binance,10936.94,1093.6940000000002
2017-12-03 03:00:00,BTCUSDT,SHORT,100,Binance,10980.0,1098.0
2017-12-03 08:00:00,BTCUSDT,LONG,100,Binance,11120.16,1112.016
2017-12-03 09:00:00,BTCUSDT,SHORT,100,Binance,11080.01,1108.001
2017-12-03 11:00:00,BTCUSDT,LONG,100,Binance,11615.99,1161.599
2017-12-03 21:00:00,BTCUSDT,SHORT,100,Binance,10899.98,1089.998
2017-12-04 19:00:00,BTCUSDT,LONG,100,Binance,11149.25,1114.925
2017-12-09 17:00:00,BTCUSDT,SHORT,100,Binance,13322.0,1332.2
2017-12-09 22:00:00,BTCUSDT,LONG,100,Binance,14616.0,1461.6000000000001
2017-12-09 23:00:00,BTCUSDT,SHORT,100,Binance,14656.07,1465.607
2017-12-10 16:00:00,BTCUSDT,LONG,100,Binance,15079.19,1507.919
2017-12-10 18:00:00,BTCUSDT,SHORT,100,Binance,14975.03,1497.5030000000002
2017-12-10 19:00:00,BTCUSDT,LONG,100,Binance,15465.68,1546.5680000000002
2017-12-10 21:00:00,BTCUSDT,SHORT,100,Binance,14300.05,1430.005
2017-12-11 01:00:00,BTCUSDT,LONG,100,Binance,16022.52,1602.2520000000002
2017-12-11 10:00:00,BTCUSDT,SHORT,100,Binance,16403.0,1640.3000000000002
2017-12-11 15:00:00,BTCUSDT,LONG,100,Binance,16359.8,1635.98
2017-12-12 00:00:00,BTCUSDT,SHORT,100,Binance,16641.74,1664.1740000000002
2017-12-12 02:00:00,BTCUSDT,LONG,100,Binance,16600.0,1660.0
2017-12-12 04:00:00,BTCUSDT,SHORT,100,Binance,16260.04,1626.0040000000001
2017-12-12 07:00:00,BTCUSDT,LONG,100,Binance,16798.49,1679.8490000000002
