ADXStrategy_60,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-01 01:00:00,BTCUSDT,LONG,100,Binance,7000.01,700.0010000000001
2018-04-01 02:00:00,BTCUSDT,SHORT,100,Binance,6924.79,692.479
2018-04-02 07:00:00,BTCUSDT,LONG,100,Binance,7060.23,706.023
2018-04-02 14:00:00,BTCUSDT,SHORT,100,Binance,6906.0,690.6
2018-04-03 02:00:00,BTCUSDT,LONG,100,Binance,7169.99,716.999
2018-04-04 14:00:00,BTCUSDT,SHORT,100,Binance,6870.5,687.0500000000001
2018-04-07 08:00:00,BTCUSDT,LONG,100,Binance,6882.02,688.2020000000001
2018-04-09 13:00:00,BTCUSDT,SHORT,100,Binance,6730.88,673.0880000000001
2018-04-11 23:00:00,BTCUSDT,LONG,100,Binance,6953.79,695.379
2018-04-12 06:00:00,BTCUSDT,SHORT,100,Binance,6776.4,677.64
2018-04-12 08:00:00,BTCUSDT,LONG,100,Binance,6843.0,684.3000000000001
2018-04-12 09:00:00,BTCUSDT,SHORT,100,Binance,6850.99,685.099
2018-04-12 10:00:00,BTCUSDT,LONG,100,Binance,6935.1,693.5100000000001
2018-04-16 02:00:00,BTCUSDT,SHORT,100,Binance,8119.0,811.9000000000001
2018-04-16 08:00:00,BTCUSDT,LONG,100,Binance,8131.0,813.1
2018-04-16 12:00:00,BTCUSDT,SHORT,100,Binance,7935.37,793.537
2018-04-19 02:00:00,BTCUSDT,LONG,100,Binance,8220.01,822.0010000000001
2018-04-19 05:00:00,BTCUSDT,SHORT,100,Binance,8180.0,818.0
2018-04-20 07:00:00,BTCUSDT,LONG,100,Binance,8319.97,831.997
2018-04-23 17:00:00,BTCUSDT,SHORT,100,Binance,8886.0,888.6
2018-04-23 21:00:00,BTCUSDT,LONG,100,Binance,8922.0,892.2
2018-04-25 10:00:00,BTCUSDT,SHORT,100,Binance,9140.68,914.0680000000001
2018-04-28 11:00:00,BTCUSDT,LONG,100,Binance,9218.57,921.857
2018-04-29 08:00:00,BTCUSDT,SHORT,100,Binance,9285.47,928.547
2018-04-30 11:00:00,BTCUSDT,LONG,100,Binance,9276.0,927.6
2018-04-30 14:00:00,BTCUSDT,SHORT,100,Binance,9273.11,927.3110000000001
2018-05-03 12:00:00,BTCUSDT,LONG,100,Binance,9320.0,932.0
2018-05-06 06:00:00,BTCUSDT,SHORT,100,Binance,9685.63,968.563
2018-05-14 13:00:00,BTCUSDT,LONG,100,Binance,8680.0,868.0
2018-05-15 21:00:00,BTCUSDT,SHORT,100,Binance,8472.72,847.2719999999999
2018-05-20 06:00:00,BTCUSDT,LONG,100,Binance,8250.02,825.0020000000001
2018-05-20 07:00:00,BTCUSDT,SHORT,100,Binance,8263.03,826.3030000000001
2018-05-20 09:00:00,BTCUSDT,LONG,100,Binance,8360.0,836.0
2018-05-22 18:00:00,BTCUSDT,SHORT,100,Binance,8214.39,821.439
2018-05-26 21:00:00,BTCUSDT,LONG,100,Binance,7463.0,746.3000000000001
2018-05-26 22:00:00,BTCUSDT,SHORT,100,Binance,7327.28,732.7280000000001
2018-05-29 11:00:00,BTCUSDT,LONG,100,Binance,7405.61,740.561
2018-05-30 15:00:00,BTCUSDT,SHORT,100,Binance,7324.81,732.4810000000001
2018-05-30 17:00:00,BTCUSDT,LONG,100,Binance,7327.8,732.7800000000001
2018-06-01 12:00:00,BTCUSDT,SHORT,100,Binance,7418.0,741.8000000000001
2018-06-01 19:00:00,BTCUSDT,LONG,100,Binance,7440.14,744.0140000000001
2018-06-02 00:00:00,BTCUSDT,SHORT,100,Binance,7472.23,747.223
2018-06-02 02:00:00,BTCUSDT,LONG,100,Binance,7489.89,748.989
2018-06-04 11:00:00,BTCUSDT,SHORT,100,Binance,7505.0,750.5
2018-06-04 12:00:00,BTCUSDT,LONG,100,Binance,7525.74,752.5740000000001
2018-06-04 17:00:00,BTCUSDT,SHORT,100,Binance,7475.92,747.5920000000001
