,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,window
4,-1.88%,0.83%,4.89%,0 days 15:56:34.000000000,26.63%,53.424609777748685,2509,3.100858379082197,4.872877170000001,40%,105,-8.79%,0 days 07:00:00.000000000,30
3,-2.00%,0.71%,4.11%,0 days 14:46:57.000000000,29.51%,49.54347535404449,2276,2.8476117526319156,4.561730580000008,44%,115,-7.83%,0 days 10:00:00.000000000,26
8,-1.94%,1.04%,5.97%,0 days 23:13:55.000000000,28.10%,68.20861635115276,2735,2.6868652661714756,3.837067189999999,38%,69,-11.49%,1 days 18:00:00.000000000,72
9,-2.28%,1.27%,5.77%,1 days 02:33:34.000000000,26.50%,83.28556586110868,2735,2.6021391930693025,3.63883990999999,44%,59,-8.56%,2 days 00:00:00.000000000,84
6,-2.56%,0.63%,5.64%,0 days 21:49:05.000000000,26.82%,69.36802989414707,2276,2.3018681930761677,2.474394609999993,39%,77,-6.97%,0 days 07:00:00.000000000,45
5,-1.98%,0.60%,5.18%,0 days 17:19:11.000000000,29.36%,70.77290786126291,2735,2.2770088607117973,2.4175612500000083,36%,97,-7.52%,1 days 11:00:00.000000000,35
12,-2.32%,0.95%,10.11%,1 days 10:07:54.000000000,31.21%,62.96226740428149,2509,2.283903193361095,2.3686830000000088,26%,38,-13.71%,4 days 06:00:00.000000000,252
1,-1.72%,0.34%,3.39%,0 days 08:36:55.000000000,13.97%,70.99728335735328,2276,1.9961479393464032,1.4756698700000044,40%,208,-10.06%,0 days 01:00:00.000000000,10
11,-2.24%,1.03%,6.01%,1 days 05:38:29.000000000,24.67%,102.88959857859979,2735,-0.8591852083258127,1.0555843800000018,40%,53,-12.84%,1 days 01:00:00.000000000,120
7,-2.29%,0.60%,5.90%,1 days 00:34:25.000000000,26.51%,101.6878337189725,2735,-1.2720938562533382,0.15977505000000347,35%,68,-11.07%,1 days 06:00:00.000000000,60
10,-2.42%,0.63%,4.89%,1 days 02:13:00.000000000,26.70%,119.1870954983373,2735,0.3284117577871281,-0.3812929199999874,42%,60,-14.16%,1 days 03:00:00.000000000,96
2,-2.18%,0.18%,4.10%,0 days 09:34:12.000000000,17.80%,113.57152391982399,2509,-1.4868344714232136,-2.2676776399999903,38%,186,-10.43%,0 days 11:00:00.000000000,12
0,-1.91%,-0.20%,2.70%,0 days 05:45:44.000000000,23.29%,437.333847234982,2735,1.569533155430837,-19.40345855999997,37%,324,-10.22%,0 days 01:00:00.000000000,5
