,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,window
9,-1.36%,0.56%,3.21%,1 days 02:28:48.000000000,17.07%,93.45818201193661,1888,1.8896871124042138,1.2366931900000049,42%,50,-4.25%,2 days 11:00:00.000000000,60
6,-1.74%,0.51%,6.15%,2 days 11:22:51.000000000,18.15%,94.28987718613726,2517,2.0011492876366317,0.2595436699999998,29%,21,-4.47%,9 days 01:00:00.000000000,252
4,-1.00%,0.18%,2.47%,0 days 17:13:10.000000000,17.23%,153.0864631738374,2517,-1.7918751692516914,-0.26154929000000005,34%,82,-4.18%,1 days 12:00:00.000000000,45
8,-1.15%,0.23%,2.39%,1 days 03:27:23.000000000,28.57%,176.781022644154,2517,1.7761089916495398,-0.3079701799999981,39%,46,-4.56%,2 days 10:00:00.000000000,120
3,-1.18%,0.11%,2.38%,0 days 23:00:00.000000000,17.76%,209.7647651248583,2517,0.9059530927282322,-0.7644679400000023,36%,58,-4.18%,1 days 12:00:00.000000000,84
2,-1.14%,0.05%,2.37%,0 days 23:36:26.000000000,16.63%,178.91514304186623,2517,-1.6256357333047435,-0.8630211499999965,34%,56,-5.56%,1 days 05:00:00.000000000,72
5,-1.07%,-0.03%,2.09%,0 days 15:33:50.000000000,17.82%,176.71582242875942,2517,1.8216469415545136,-1.893568279999995,33%,94,-4.20%,0 days 12:00:00.000000000,35
0,-1.05%,-0.10%,2.17%,0 days 14:54:29.000000000,17.42%,189.0066119627568,2517,-0.521551391660135,-2.306972800000004,30%,98,-3.38%,1 days 05:00:00.000000000,30
1,-0.98%,-0.15%,2.41%,0 days 13:40:45.000000000,17.23%,218.10101824444973,2517,1.5101166079251382,-3.0234488499999848,25%,106,-4.69%,0 days 10:00:00.000000000,26
7,-0.86%,-0.10%,1.42%,0 days 07:25:24.000000000,11.00%,362.16086393625136,3028,-3.179079386992782,-4.567694870000002,34%,196,-3.94%,0 days 10:00:00.000000000,10
