,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,window
0,-0.59%,-0.15%,0.73%,0 days 00:31:40.000000000,0.73%,1.446920135643784,239,-0.03051427968330039,-0.00036199999999997345,33%,3,-0.63%,0 days 01:04:00.000000000,5
1,-0.50%,-0.09%,0.72%,0 days 00:33:40.000000000,0.72%,1.2802425555641346,239,0.1345756108229668,0.0013180000000008185,33%,3,-0.63%,0 days 01:04:00.000000000,10
2,-0.38%,-0.06%,0.58%,0 days 00:34:20.000000000,0.58%,1.1964879210278356,143,0.2150205046352365,0.002177999999999791,33%,3,-0.63%,0 days 01:04:00.000000000,12
3,-0.37%,-0.37%,nan%,0 days 00:50:00.000000000,-0.10%,1.7155885206769572,239,-0.27458483301878733,-0.003070000000000128,0%,2,-0.63%,0 days 01:04:00.000000000,26
4,-0.37%,-0.37%,nan%,0 days 00:50:00.000000000,-0.10%,1.7155885206769572,239,-0.27458483301878733,-0.003070000000000128,0%,2,-0.63%,0 days 01:04:00.000000000,30
5,-0.37%,-0.37%,nan%,0 days 00:50:00.000000000,-0.10%,1.7155885206769572,239,-0.27458483301878733,-0.003070000000000128,0%,2,-0.63%,0 days 01:04:00.000000000,35
6,-0.44%,-0.44%,nan%,0 days 00:57:00.000000000,-0.25%,1.854486504076704,239,-0.37603393694646886,-0.00447000000000064,0%,2,-0.63%,0 days 01:04:00.000000000,45
7,-0.69%,-0.69%,nan%,0 days 00:54:30.000000000,-0.55%,2.3386451890699447,239,-1.097937913169689,-0.012430000000000496,0%,2,-0.84%,0 days 00:49:00.000000000,60
8,-0.45%,-0.45%,nan%,0 days 00:52:30.000000000,-0.35%,1.882266100756607,239,-0.6882752432086916,-0.007449999999999846,0%,2,-0.55%,0 days 01:00:00.000000000,72
9,-0.51%,-0.51%,nan%,0 days 00:52:30.000000000,-0.47%,2.050134234979662,239,-1.0516061373095447,-0.010329999999999728,0%,2,-0.55%,0 days 01:00:00.000000000,84
10,-0.55%,-0.55%,nan%,0 days 00:52:30.000000000,-0.54%,2.115614712868094,239,-1.1100775347029819,-0.010989999999999833,0%,2,-0.55%,0 days 01:00:00.000000000,96
11,-0.55%,-0.55%,nan%,0 days 01:00:00.000000000,-0.55%,1.3181418624632406,239,-0.11616027227432289,-0.0012379999999997393,0%,1,-0.55%,0 days 01:00:00.000000000,120
12,-0.55%,-0.55%,nan%,0 days 01:00:00.000000000,-0.55%,1.5985173632400769,239,-0.659777172359372,-0.005778000000000172,0%,1,-0.55%,0 days 01:00:00.000000000,252
