,Parameters,Target
0,[1.0],-0.986656040560586
1,[21.0],0.9908953915556202
2,[41.0],0.1443933318011612
3,[61.0],0.32913610747681155
4,[81.0],0.09381140595846427
5,[101.0],0.2389377347183741
6,[121.0],0.11551931886604572
7,[141.0],0.648232673976856
8,[161.0],0.2508738221176625
9,[181.0],0.3231417558453553
10,[201.0],0.20138834645252324
11,[221.0],-0.05250223100670515
12,[22.0],0.8445350168539623
13,[16.0],0.6938167583185055
14,[38.0],-0.018888013611284782
15,[150.0],0.20034656990756372
16,[133.0],0.5894124807345655
17,[236.0],0.5468089024675566
18,[171.0],0.23227774306957616
19,[191.0],0.03482923988058717
20,[52.0],0.595980733643892
21,[56.0],0.5069405656856845
22,[164.0],0.5597490094115638
23,[91.0],0.2629148579635332
24,[210.0],-0.02960810243647538
25,[174.0],0.2984961354525886
26,[29.0],0.12743487644973217
27,[19.0],0.6639895125608519
28,[12.0],-0.5849711401484587
29,[185.0],0.23259646704213077
30,[73.0],0.3170209231659977
31,[155.0],0.18962514617272697
32,[138.0],0.18402746156815142
33,[139.0],0.25997954437867277
34,[145.0],0.6547747829954542
35,[110.0],0.19676481987194583
36,[230.0],0.541699322369493
37,[128.0],0.14579033123804686
38,[95.0],0.08880288742142439
39,[215.0],0.07601451440573492
40,[147.0],0.23185611153414487
41,[67.0],0.46495102714936865
