ADX_BOLLStrategy_26_72_0.85684,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-01 01:00:00,BTCUSDT,LONG,0.00014271408183702596,Binance,7000.01,0.0010000000000000002
2018-04-01 02:00:00,BTCUSDT,SHORT,0.00014271408183702596,Binance,6924.79,0.0009882650467642191
2018-04-02 07:00:00,BTCUSDT,LONG,0.0001396965120025463,Binance,7060.23,0.000987276781717455
2018-04-02 21:00:00,BTCUSDT,SHORT,0.0001396965120025463,Binance,6981.36,0.0009752716410340965
2018-04-02 22:00:00,BTCUSDT,LONG,0.0001384329502238187,Binance,7031.0,0.0009742963693930623
2018-04-04 09:00:00,BTCUSDT,SHORT,0.0001384329502238187,Binance,7085.12,0.0009808140642897825
2018-04-07 08:00:00,BTCUSDT,LONG,0.0001422334455545417,Binance,6882.02,0.0009798332502254927
2018-04-09 10:00:00,BTCUSDT,SHORT,0.0001422334455545417,Binance,6782.0,0.0009646272277509019
2018-04-12 02:00:00,BTCUSDT,LONG,0.00013823936500899307,Binance,6964.0,0.000963662600523151
2018-04-12 06:00:00,BTCUSDT,SHORT,0.00013823936500899307,Binance,6776.4,0.0009367652330469406
2018-04-12 10:00:00,BTCUSDT,LONG,0.00013480593493187982,Binance,6935.1,0.0009358284678138937
2018-04-14 09:00:00,BTCUSDT,SHORT,0.00013480593493187982,Binance,8040.0,0.0010838397168523137
2018-04-15 08:00:00,BTCUSDT,LONG,0.00013304712438601797,Binance,8130.0,0.0010827558771354616
2018-04-15 09:00:00,BTCUSDT,SHORT,0.00013304712438601797,Binance,8116.23,0.0010798410623555307
2018-04-15 11:00:00,BTCUSDT,LONG,0.0001293736446664924,Binance,8330.0,0.001078761221293175
2018-04-16 06:00:00,BTCUSDT,SHORT,0.0001293736446664924,Binance,8089.87,0.0010466159667781169
2018-04-18 20:00:00,BTCUSDT,LONG,0.00012741233589988354,Binance,8197.98,0.0010455693508113386
2018-04-19 08:00:00,BTCUSDT,SHORT,0.00012741233589988354,Binance,8177.98,0.0010419755347425294
2018-04-19 16:00:00,BTCUSDT,LONG,0.00012612418276414879,Binance,8244.99,0.0010409335592077868
2018-04-19 20:00:00,BTCUSDT,SHORT,0.00012612418276414879,Binance,8226.7,0.001037585814345823
2018-04-20 00:00:00,BTCUSDT,LONG,0.00012400505837967103,Binance,8350.56,0.0010365482285314771
2018-04-20 03:00:00,BTCUSDT,SHORT,0.00012400505837967103,Binance,8331.03,0.0010330898615127908
2018-04-20 10:00:00,BTCUSDT,LONG,0.00012146836712958948,Binance,8488.01,0.0010320567716512782
2018-04-23 00:00:00,BTCUSDT,SHORT,0.00012146836712958948,Binance,8816.99,0.001070985378297919
2018-04-24 00:00:00,BTCUSDT,LONG,0.0001165592121377389,Binance,9169.97,0.001069914392919621
2018-04-25 04:00:00,BTCUSDT,SHORT,0.0001165592121377389,Binance,9200.0,0.0010723447516671977
2018-04-27 09:00:00,BTCUSDT,LONG,0.00011422789353277993,Binance,9369.0,0.0010712724069155306
2018-04-27 20:00:00,BTCUSDT,SHORT,0.00011422789353277993,Binance,8970.0,0.001024624204989036
2018-04-28 21:00:00,BTCUSDT,LONG,0.00010995440658099601,Binance,9300.0,0.001023599580784047
2018-04-29 10:00:00,BTCUSDT,SHORT,0.00010995440658099601,Binance,9210.03,0.0010126833832431708
2018-04-29 23:00:00,BTCUSDT,LONG,0.00010730003494639215,Binance,9419.0,0.0010116706998599277
2018-04-30 00:00:00,BTCUSDT,SHORT,0.00010730003494639215,Binance,9420.0,0.0010107663291950143
2018-05-03 02:00:00,BTCUSDT,LONG,0.00010888374215175174,Binance,9264.43,0.0010097555628658193
2018-05-03 09:00:00,BTCUSDT,SHORT,0.00010888374215175174,Binance,9208.33,0.0010026374293682402
2018-05-03 10:00:00,BTCUSDT,LONG,0.00010834780562867289,Binance,9235.38,0.0010016347919388718
2018-05-04 19:00:00,BTCUSDT,SHORT,0.00010834780562867289,Binance,9671.23,0.00104785654823019
