ADX_RSIStrategy_36_96_55_45,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-04-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-28 03:00:00,BTCUSDT,LONG,0.000174439314675253,Binance,5726.92,0.001
2017-10-28 05:00:00,BTCUSDT,SHORT,0.000174439314675253,Binance,5789.58,0.0010099303674575514
2017-11-13 18:00:00,BTCUSDT,LONG,0.0001617726440036151,Binance,6230.42,0.0010089204370900937
2017-11-15 12:00:00,BTCUSDT,SHORT,0.0001617726440036151,Binance,7095.01,0.0011477785269320892
2017-12-24 02:00:00,BTCUSDT,LONG,9.42166476385676e-05,Binance,12157.98,0.0011466307484051573
2017-12-24 03:00:00,BTCUSDT,SHORT,9.42166476385676e-05,Binance,13271.05,0.0012503538416438124
2018-01-19 02:00:00,BTCUSDT,LONG,0.00011799885243262658,Binance,10575.14,0.0012491034878021688
2018-01-19 09:00:00,BTCUSDT,SHORT,0.00011799885243262658,Binance,11292.75,0.0013325315408085439
2018-01-24 07:00:00,BTCUSDT,LONG,0.00012138260407616535,Binance,10956.0,0.0013311990092677354
2018-01-25 23:00:00,BTCUSDT,SHORT,0.00012138260407616535,Binance,11175.27,0.0013564833738542485
2018-02-03 22:00:00,BTCUSDT,LONG,0.00014908576118578555,Binance,9080.49,0.0013551268904803942
2018-02-04 09:00:00,BTCUSDT,SHORT,0.00014908576118578555,Binance,8829.99,0.0013164257804128745
2018-02-04 15:00:00,BTCUSDT,LONG,0.00015603331194896764,Binance,8419.96,0.0013151093546324617
2018-02-04 16:00:00,BTCUSDT,SHORT,0.00015603331194896764,Binance,8500.0,0.001326283151566225
2018-02-07 16:00:00,BTCUSDT,LONG,0.00016712650746675408,Binance,7919.94,0.001324956868414659
2018-02-08 23:00:00,BTCUSDT,SHORT,0.00016712650746675408,Binance,8269.76,0.0013820961063882643
2018-02-23 23:00:00,BTCUSDT,LONG,0.00013614923011572296,Binance,10131.04,0.001380714010281876
2018-02-24 11:00:00,BTCUSDT,SHORT,0.00013614923011572296,Binance,9757.0,0.0013284080382391088
2018-02-24 12:00:00,BTCUSDT,LONG,0.0001355214922996615,Binance,9782.6,0.0013270796302008697
2018-02-24 16:00:00,BTCUSDT,SHORT,0.0001355214922996615,Binance,9777.39,0.0013250464835957874
2018-02-26 09:00:00,BTCUSDT,LONG,0.0001396259862395818,Binance,9471.0,0.0013237214371121914
2018-02-27 21:00:00,BTCUSDT,SHORT,0.0001396259862395818,Binance,10735.8,0.0014989966630709023
2018-03-10 16:00:00,BTCUSDT,LONG,0.00015911628450131232,Binance,9401.93,0.0014974976664078312
2018-03-10 18:00:00,BTCUSDT,SHORT,0.00015911628450131232,Binance,9080.0,0.001444775863271916
2018-03-10 21:00:00,BTCUSDT,LONG,0.00016405595133931454,Binance,8789.0,0.0014433310874086443
2018-03-10 22:00:00,BTCUSDT,SHORT,0.00016405595133931454,Binance,8829.99,0.001448612409766634
2018-03-16 23:00:00,BTCUSDT,LONG,0.00017502622682318532,Binance,8260.0,0.0014471637973568674
2018-03-17 00:00:00,BTCUSDT,SHORT,0.00017502622682318532,Binance,8290.0,0.0014509674203642062
2018-03-28 05:00:00,BTCUSDT,LONG,0.000184231965884425,Binance,7860.02,0.001449516452943842
2018-03-28 10:00:00,BTCUSDT,SHORT,0.000184231965884425,Binance,8043.89,0.0014819416680580675
2018-03-28 14:00:00,BTCUSDT,LONG,0.00018744651763639422,Binance,7890.14,0.0014804597263900095
2018-03-28 18:00:00,BTCUSDT,SHORT,0.00018744651763639422,Binance,7944.7,0.0014892063486658612
2018-03-31 12:00:00,BTCUSDT,LONG,0.00020728443865758412,Binance,7170.0,0.0014877171423171953
2018-03-31 19:00:00,BTCUSDT,SHORT,0.00020728443865758412,Binance,7048.23,0.001460988399079544
2018-03-31 22:00:00,BTCUSDT,LONG,0.00020916193993254683,Binance,6971.0,0.0014595274106804646
Sharpe Ratio,Sortino Ratio,Max Drawdown,Max Drawdown Duration,Total Returns,Annualized Returns,Compound Annual Growth Rate
2.8743335865605437,3.163652229986015,10.48690973692655,779,0.45809089108317647,1.078150512060351,1.4292883191766403
Trades,Trade Winning,Average Trade,Average Win,Average Loss,Best Trade,Worst Trade,Worst Trade Date,Avg Days in Trade
17,0.7058823529411765,0.02580548236806551,0.04624639157476904,-0.023252699728022942,0.13876913594910137,-0.0369201977289598,0 days 12:00:00,0 days 12:10:35
