BOLLStrategy_45_2.8,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2017-07-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-29 15:00:00,BTCUSDT,LONG,100,Binance,5949.01,594.9010000000001
2017-11-06 18:00:00,BTCUSDT,CLOSE,100,Binance,7000.05,700.0050000000001
2017-11-15 02:00:00,BTCUSDT,LONG,100,Binance,6861.0,686.1
2017-11-23 23:00:00,BTCUSDT,CLOSE,100,Binance,8019.99,801.999
2017-11-25 09:00:00,BTCUSDT,LONG,100,Binance,8383.79,838.3790000000001
2017-12-10 03:00:00,BTCUSDT,CLOSE,100,Binance,12647.07,1264.707
2017-12-15 00:00:00,BTCUSDT,LONG,100,Binance,16968.96,1696.896
2017-12-19 10:00:00,BTCUSDT,CLOSE,100,Binance,16852.0,1685.2
2018-01-02 18:00:00,BTCUSDT,LONG,100,Binance,14580.0,1458.0
2018-01-07 17:00:00,BTCUSDT,CLOSE,100,Binance,15800.48,1580.048
2018-01-20 04:00:00,BTCUSDT,LONG,100,Binance,12340.0,1234.0
2018-01-26 09:00:00,BTCUSDT,CLOSE,100,Binance,10490.0,1049.0
2018-02-09 23:00:00,BTCUSDT,LONG,100,Binance,8683.92,868.392
2018-03-06 10:00:00,BTCUSDT,CLOSE,100,Binance,10934.43,1093.443
2018-03-20 17:00:00,BTCUSDT,LONG,100,Binance,8870.0,887.0
2018-03-22 13:00:00,BTCUSDT,CLOSE,100,Binance,8588.15,858.815
