BOLLStrategy_45_2.8,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-12 11:00:00,BTCUSDT,LONG,100,Binance,7693.0,769.3000000000001
2018-05-01 00:00:00,BTCUSDT,CLOSE,100,Binance,8955.01,895.5010000000001
2018-05-03 13:00:00,BTCUSDT,LONG,100,Binance,9471.05,947.105
2018-05-16 02:00:00,BTCUSDT,CLOSE,100,Binance,8113.0,811.3000000000001
2018-05-20 16:00:00,BTCUSDT,LONG,100,Binance,8494.57,849.457
2018-06-04 11:00:00,BTCUSDT,CLOSE,100,Binance,7505.0,750.5
2018-06-18 16:00:00,BTCUSDT,LONG,100,Binance,6644.95,664.495
2018-06-22 07:00:00,BTCUSDT,CLOSE,100,Binance,6495.08,649.508
2018-06-30 01:00:00,BTCUSDT,LONG,100,Binance,6408.27,640.8270000000001
2018-07-10 02:00:00,BTCUSDT,CLOSE,100,Binance,6623.06,662.306
2018-07-15 10:00:00,BTCUSDT,LONG,100,Binance,6345.0,634.5
2018-07-26 21:00:00,BTCUSDT,CLOSE,100,Binance,7972.3,797.23
