,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
46,-4.25%,2.61%,8.61%,1 days 19:32:00,24.01%,41.73503855376082,2509,3.885891702631722,8.975717450000008,53%,45,-13.33%,0 days 04:00:00,1.2,26
80,-5.35%,16.16%,32.30%,9 days 23:51:26,80.02%,47.95089725374876,2509,4.167767310908509,8.970173140000002,57%,7,-14.99%,6 days 05:00:00,3.0,45
14,-4.06%,2.95%,8.11%,2 days 00:29:05,24.29%,39.36363573454379,2276,3.7711379854530986,8.21018658,58%,33,-7.41%,0 days 12:00:00,2.2,10
82,-4.24%,4.93%,16.13%,4 days 02:12:00,31.21%,44.098462291505946,2017,3.7120803767882005,7.97729253,45%,20,-7.68%,2 days 16:00:00,1.2,60
38,-3.70%,2.19%,7.61%,1 days 15:53:45,28.82%,46.49596614124765,2276,3.709941530142316,7.903370150000017,52%,48,-11.31%,0 days 10:00:00,1.5,20
118,-7.70%,13.26%,38.42%,7 days 12:43:38,145.62%,60.63465599338308,2509,3.7624553040791886,7.6800432,45%,11,-18.38%,1 days 21:00:00,1.2,120
81,-4.44%,3.82%,15.40%,3 days 11:45:00,35.14%,53.778570998827504,2017,3.5435477840064022,7.6026369,42%,24,-10.42%,0 days 21:00:00,1.0,60
54,-3.95%,2.11%,9.90%,1 days 16:07:30,28.68%,44.585187261015754,2509,3.681645677361235,7.57556809000001,44%,48,-13.33%,0 days 04:00:00,1.0,30
79,-6.29%,12.60%,23.94%,9 days 04:52:30,50.85%,51.971251748709605,2735,3.973744021805291,7.522521150000003,62%,8,-14.99%,6 days 05:00:00,2.8,45
45,-3.68%,1.97%,7.62%,1 days 11:42:13,28.42%,47.22725903678074,2509,3.6250463196618083,7.283818770000012,50%,54,-10.99%,0 days 06:00:00,1.0,26
98,-15.48%,24.36%,37.64%,10 days 23:30:00,101.01%,50.15214482380682,2509,3.857018404483701,7.239559139999999,75%,4,-15.48%,2 days 09:00:00,3.0,72
48,-4.24%,2.95%,10.14%,2 days 05:33:32,41.88%,54.87597470636193,2276,3.564149991332613,6.85122784,50%,34,-13.33%,0 days 04:00:00,1.8,26
59,-5.64%,4.45%,12.86%,3 days 08:35:27,72.08%,50.142290195038456,2017,3.686110127323903,6.755141909999997,55%,22,-9.93%,1 days 01:00:00,2.2,30
47,-4.81%,2.45%,9.34%,1 days 23:58:28,41.88%,53.37442281528855,2276,3.5383714351241586,6.5722641600000005,51%,39,-13.33%,0 days 04:00:00,1.5,26
125,nan%,40.44%,40.44%,19 days 00:00:00,69.43%,51.46340334775811,2509,3.7359984350071223,6.54649201,100%,2,11.45%,11 days 21:00:00,3.0,120
74,-5.42%,3.57%,11.17%,3 days 12:20:00,34.70%,41.2650461296627,2276,3.606338924874501,6.509021259999998,54%,24,-9.07%,1 days 02:00:00,1.5,45
55,-4.33%,2.08%,10.52%,1 days 20:19:05,47.23%,47.38670969378146,2276,3.5003760858570336,6.467925219999996,43%,44,-13.33%,0 days 04:00:00,1.2,30
23,-3.81%,2.58%,7.62%,2 days 03:03:32,24.01%,55.89911885917548,2735,3.3402184019371317,6.465701970000007,56%,34,-9.17%,0 days 12:00:00,2.2,12
50,-4.38%,3.16%,13.21%,2 days 15:08:34,73.39%,45.60465247750675,2017,3.6063462737888217,6.22828930999999,43%,28,-12.54%,2 days 02:00:00,2.2,26
25,-5.97%,7.85%,14.76%,8 days 23:06:40,31.71%,58.14828877975484,2017,2.9526482323497714,6.227998290000001,67%,9,-9.79%,16 days 00:00:00,2.8,12
40,-3.91%,2.15%,7.89%,1 days 22:03:15,41.88%,54.95080465732851,2276,3.2268338740613283,6.17819157,51%,37,-7.41%,0 days 12:00:00,2.0,20
78,-7.67%,8.53%,22.02%,6 days 14:05:27,59.66%,66.86101777629032,2735,3.5772766267301654,6.099804540000003,55%,11,-15.48%,2 days 09:00:00,2.5,45
69,-6.44%,6.40%,21.07%,4 days 16:24:00,66.83%,65.8640566889466,2735,3.56008066208146,5.938866640000001,47%,15,-14.75%,2 days 09:00:00,2.5,35
120,-10.76%,15.67%,42.09%,10 days 02:52:30,136.85%,61.845079755350994,2509,3.593657666477731,5.891183930000003,50%,8,-18.40%,3 days 14:00:00,1.8,120
52,-6.98%,7.19%,23.72%,6 days 13:32:18,59.66%,70.83776668357822,2735,3.3934709456993004,5.8438006800000055,46%,13,-16.60%,0 days 20:00:00,2.8,26
111,-10.77%,9.10%,25.66%,7 days 09:00:00,101.97%,53.03730898886004,2509,3.718060122055545,5.828655400000006,55%,11,-14.75%,2 days 09:00:00,1.8,96
83,-5.57%,4.36%,16.77%,4 days 10:43:20,28.32%,55.00574268411811,2735,3.2443720317422122,5.795669980000001,44%,18,-10.62%,1 days 16:00:00,1.5,60
107,-11.96%,21.31%,54.57%,11 days 01:30:00,97.70%,50.15214482380682,2509,3.486348087807193,5.651083439999995,50%,4,-15.48%,2 days 09:00:00,3.0,84
