,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
3,-1.80%,1.75%,9.44%,3 days 02:15:47.000000000,16.90%,60.51119058919778,2179,2.160584968996438,1.9113055200000035,32%,19,-3.25%,0 days 06:00:00.000000000,1.2,60
6,-1.73%,1.52%,9.63%,2 days 23:37:09.000000000,16.90%,60.6918823383102,2180,2.151909215100926,1.82374044,29%,21,-3.46%,1 days 14:00:00.000000000,1.0,60
5,-3.20%,1.97%,11.02%,6 days 00:38:11.000000000,24.38%,92.35881337824982,2517,2.163880071413308,1.0013630000000018,36%,11,-5.02%,2 days 05:00:00.000000000,1.2,120
1,-9.41%,2.86%,15.13%,11 days 20:00:00.000000000,25.65%,118.49432703457761,2517,1.9810852322060144,0.5158897099999991,50%,6,-14.34%,12 days 13:00:00.000000000,3.0,45
8,-9.41%,2.86%,15.13%,11 days 20:00:00.000000000,25.65%,118.49432703457761,2517,1.9810852322060144,0.5158897099999991,50%,6,-14.34%,12 days 13:00:00.000000000,2.8,45
9,-1.33%,0.01%,4.32%,1 days 04:22:55.000000000,16.99%,121.02900873328353,2265,-1.9652803413825715,-0.933278250000003,24%,55,-3.69%,0 days 03:00:00.000000000,1.0,26
7,-1.39%,-0.10%,4.70%,1 days 06:00:00.000000000,16.35%,126.55637064536498,2517,-1.4576949825822814,-1.271612350000001,21%,52,-3.63%,0 days 19:00:00.000000000,1.0,30
2,-1.60%,-0.20%,3.13%,1 days 05:42:16.000000000,12.66%,148.1138318501451,2517,-1.6882496935516964,-1.3073612199999998,30%,44,-5.39%,0 days 07:00:00.000000000,2.2,10
0,-1.40%,-0.13%,4.50%,1 days 06:45:53.000000000,16.80%,141.7061294831227,2265,2.055551203884054,-1.4047385800000012,22%,51,-3.69%,0 days 03:00:00.000000000,1.2,26
4,-1.59%,-0.10%,5.12%,1 days 04:36:40.000000000,16.99%,122.6382726182131,2517,0.43762049228956285,-1.4566326300000028,22%,54,-3.78%,0 days 16:00:00.000000000,1.5,20
