BOLLStrategy_84_1.0,tickers,['ETHUSD'],initial equity,100000.0,frequency,60 min
Start date,2017-07-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-07-01 11:00:00,ETHUSD,SHORT,100,ARCA,265.32,26.532
2017-07-01 12:00:00,ETHUSD,CLOSE,100,ARCA,268.63,26.863
2017-07-01 13:00:00,ETHUSD,SHORT,100,ARCA,261.54,26.154000000000003
2017-07-01 17:00:00,ETHUSD,CLOSE,100,ARCA,273.87,27.387
2017-07-01 21:00:00,ETHUSD,SHORT,100,ARCA,259.11,25.911
2017-07-01 23:00:00,ETHUSD,CLOSE,100,ARCA,266.11,26.611000000000004
2017-07-02 01:00:00,ETHUSD,SHORT,100,ARCA,256.85,25.685000000000002
2017-07-02 16:00:00,ETHUSD,CLOSE,100,ARCA,264.43,26.443
2017-07-03 01:00:00,ETHUSD,LONG,100,ARCA,271.27,27.127
2017-07-05 00:00:00,ETHUSD,CLOSE,100,ARCA,266.5,26.650000000000002
2017-07-05 17:00:00,ETHUSD,SHORT,100,ARCA,258.48,25.848000000000003
2017-07-06 16:00:00,ETHUSD,CLOSE,100,ARCA,272.55,27.255000000000003
2017-07-07 14:00:00,ETHUSD,SHORT,100,ARCA,259.0,25.900000000000002
2017-07-13 01:00:00,ETHUSD,CLOSE,100,ARCA,218.3,21.830000000000002
2017-07-14 23:00:00,ETHUSD,SHORT,100,ARCA,187.2,18.72
2017-07-18 02:00:00,ETHUSD,CLOSE,100,ARCA,174.76,17.476
2017-07-18 07:00:00,ETHUSD,LONG,100,ARCA,190.15,19.015
2017-07-22 03:00:00,ETHUSD,CLOSE,100,ARCA,216.76,21.676000000000002
2017-07-23 05:00:00,ETHUSD,LONG,100,ARCA,234.64,23.464
2017-07-23 15:00:00,ETHUSD,CLOSE,100,ARCA,222.28,22.228
2017-07-24 03:00:00,ETHUSD,LONG,100,ARCA,232.58,23.258000000000003
2017-07-24 12:00:00,ETHUSD,CLOSE,100,ARCA,225.0,22.5
2017-07-25 14:00:00,ETHUSD,SHORT,100,ARCA,218.4,21.840000000000003
2017-07-30 02:00:00,ETHUSD,CLOSE,100,ARCA,196.27,19.627000000000002
2017-07-30 07:00:00,ETHUSD,LONG,100,ARCA,206.94,20.694000000000003
2017-07-30 14:00:00,ETHUSD,CLOSE,100,ARCA,195.09,19.509
2017-08-01 02:00:00,ETHUSD,LONG,100,ARCA,200.47,20.047
2017-08-05 00:00:00,ETHUSD,CLOSE,100,ARCA,221.55,22.155
2017-08-12 06:00:00,ETHUSD,LONG,100,ARCA,307.89,30.789
2017-08-13 08:00:00,ETHUSD,CLOSE,100,ARCA,299.52,29.951999999999998
2017-08-13 09:00:00,ETHUSD,SHORT,100,ARCA,292.89,29.289
2017-08-14 09:00:00,ETHUSD,CLOSE,100,ARCA,302.5,30.25
2017-08-15 09:00:00,ETHUSD,SHORT,100,ARCA,293.22,29.322000000000003
2017-08-16 19:00:00,ETHUSD,CLOSE,100,ARCA,295.81,29.581000000000003
2017-08-16 22:00:00,ETHUSD,LONG,100,ARCA,300.14,30.014
2017-08-19 02:00:00,ETHUSD,CLOSE,100,ARCA,290.15,29.015
2017-08-19 05:00:00,ETHUSD,SHORT,100,ARCA,287.14,28.714
2017-08-19 10:00:00,ETHUSD,CLOSE,100,ARCA,297.39,29.739
2017-08-19 14:00:00,ETHUSD,SHORT,100,ARCA,289.0,28.900000000000002
2017-08-21 01:00:00,ETHUSD,CLOSE,100,ARCA,296.45,29.645
2017-08-21 12:00:00,ETHUSD,LONG,100,ARCA,303.14,30.314
2017-08-22 12:00:00,ETHUSD,CLOSE,100,ARCA,295.24,29.524
2017-08-23 12:00:00,ETHUSD,LONG,100,ARCA,322.42,32.242000000000004
2017-09-02 11:00:00,ETHUSD,CLOSE,100,ARCA,376.98,37.698
2017-09-02 11:00:00,ETHUSD,SHORT,100,ARCA,376.98,37.698
2017-09-06 08:00:00,ETHUSD,CLOSE,100,ARCA,323.9,32.39
2017-09-07 20:00:00,ETHUSD,LONG,100,ARCA,335.0,33.5
2017-09-08 21:00:00,ETHUSD,CLOSE,100,ARCA,310.98,31.098000000000003
2017-09-08 22:00:00,ETHUSD,SHORT,100,ARCA,304.11,30.411
2017-09-11 11:00:00,ETHUSD,CLOSE,100,ARCA,306.62,30.662000000000003
2017-09-12 12:00:00,ETHUSD,LONG,100,ARCA,305.52,30.552
2017-09-13 01:00:00,ETHUSD,CLOSE,100,ARCA,296.66,29.666000000000004
2017-09-13 02:00:00,ETHUSD,SHORT,100,ARCA,287.1,28.710000000000004
2017-09-16 05:00:00,ETHUSD,CLOSE,100,ARCA,264.44,26.444000000000003
2017-09-18 01:00:00,ETHUSD,LONG,100,ARCA,261.37,26.137
2017-09-21 08:00:00,ETHUSD,CLOSE,100,ARCA,282.2,28.22
2017-09-25 10:00:00,ETHUSD,LONG,100,ARCA,288.0,28.8
2017-09-27 09:00:00,ETHUSD,CLOSE,100,ARCA,288.0,28.8
2017-09-27 18:00:00,ETHUSD,LONG,100,ARCA,297.0,29.700000000000003
2017-09-29 10:00:00,ETHUSD,CLOSE,100,ARCA,287.18,28.718000000000004
2017-09-29 10:00:00,ETHUSD,SHORT,100,ARCA,287.18,28.718000000000004
2017-09-29 20:00:00,ETHUSD,CLOSE,100,ARCA,299.61,29.961000000000002
2017-09-30 18:00:00,ETHUSD,LONG,100,ARCA,305.57,30.557000000000002
2017-10-01 11:00:00,ETHUSD,CLOSE,100,ARCA,299.95,29.995
2017-10-02 06:00:00,ETHUSD,LONG,100,ARCA,304.84,30.483999999999998
2017-10-02 20:00:00,ETHUSD,CLOSE,100,ARCA,297.7,29.77
2017-10-03 02:00:00,ETHUSD,SHORT,100,ARCA,294.46,29.445999999999998
2017-10-03 11:00:00,ETHUSD,CLOSE,100,ARCA,300.0,30.0
2017-10-03 13:00:00,ETHUSD,SHORT,100,ARCA,295.22,29.522000000000006
2017-10-05 23:00:00,ETHUSD,CLOSE,100,ARCA,293.81,29.381
2017-10-06 03:00:00,ETHUSD,LONG,100,ARCA,296.87,29.687
2017-10-09 11:00:00,ETHUSD,CLOSE,100,ARCA,305.12,30.512
2017-10-09 22:00:00,ETHUSD,SHORT,100,ARCA,300.1,30.010000000000005
2017-10-11 00:00:00,ETHUSD,CLOSE,100,ARCA,306.98,30.698000000000004
2017-10-11 06:00:00,ETHUSD,SHORT,100,ARCA,298.92,29.892000000000003
2017-10-12 02:00:00,ETHUSD,CLOSE,100,ARCA,303.15,30.314999999999998
2017-10-12 11:00:00,ETHUSD,LONG,100,ARCA,307.63,30.763
2017-10-13 08:00:00,ETHUSD,CLOSE,100,ARCA,301.0,30.1
2017-10-13 13:00:00,ETHUSD,LONG,100,ARCA,315.05,31.505000000000003
2017-10-15 17:00:00,ETHUSD,CLOSE,100,ARCA,320.57,32.057
2017-10-16 10:00:00,ETHUSD,LONG,100,ARCA,346.8,34.68
2017-10-17 00:00:00,ETHUSD,CLOSE,100,ARCA,335.62,33.562000000000005
2017-10-17 09:00:00,ETHUSD,SHORT,100,ARCA,327.22,32.722
2017-10-20 23:00:00,ETHUSD,CLOSE,100,ARCA,309.95,30.995
2017-10-21 08:00:00,ETHUSD,SHORT,100,ARCA,301.63,30.163
2017-10-24 09:00:00,ETHUSD,CLOSE,100,ARCA,301.23,30.123000000000005
2017-10-24 10:00:00,ETHUSD,LONG,100,ARCA,304.12,30.412000000000003
2017-10-25 09:00:00,ETHUSD,CLOSE,100,ARCA,289.8,28.980000000000004
2017-10-28 11:00:00,ETHUSD,SHORT,100,ARCA,292.29,29.229000000000003
2017-10-28 21:00:00,ETHUSD,CLOSE,100,ARCA,295.41,29.541000000000004
2017-10-28 23:00:00,ETHUSD,SHORT,100,ARCA,292.8,29.28
2017-10-29 13:00:00,ETHUSD,CLOSE,100,ARCA,295.74,29.574
2017-10-29 15:00:00,ETHUSD,LONG,100,ARCA,296.97,29.697000000000003
2017-11-01 08:00:00,ETHUSD,CLOSE,100,ARCA,302.72,30.272000000000006
2017-11-01 18:00:00,ETHUSD,SHORT,100,ARCA,297.35,29.735000000000003
2017-11-03 19:00:00,ETHUSD,CLOSE,100,ARCA,296.59,29.659
2017-11-04 05:00:00,ETHUSD,LONG,100,ARCA,306.73,30.673000000000002
2017-11-04 10:00:00,ETHUSD,CLOSE,100,ARCA,293.59,29.358999999999998
2017-11-04 20:00:00,ETHUSD,LONG,100,ARCA,301.31,30.131
2017-11-06 08:00:00,ETHUSD,CLOSE,100,ARCA,294.38,29.438000000000002
2017-11-06 19:00:00,ETHUSD,LONG,100,ARCA,300.5,30.05
2017-11-07 06:00:00,ETHUSD,CLOSE,100,ARCA,296.79,29.679000000000002
2017-11-07 19:00:00,ETHUSD,LONG,100,ARCA,302.8,30.28
2017-11-07 20:00:00,ETHUSD,CLOSE,100,ARCA,296.0,29.6
2017-11-07 21:00:00,ETHUSD,SHORT,100,ARCA,289.81,28.981
2017-11-08 14:00:00,ETHUSD,CLOSE,100,ARCA,296.85,29.685000000000002
2017-11-09 01:00:00,ETHUSD,LONG,100,ARCA,303.0,30.3
2017-11-10 20:00:00,ETHUSD,CLOSE,100,ARCA,304.18,30.418000000000003
2017-11-11 02:00:00,ETHUSD,SHORT,100,ARCA,289.93,28.993000000000002
2017-11-12 01:00:00,ETHUSD,CLOSE,100,ARCA,312.4,31.24
2017-11-12 04:00:00,ETHUSD,LONG,100,ARCA,318.98,31.898000000000003
2017-11-12 08:00:00,ETHUSD,CLOSE,100,ARCA,309.01,30.901
2017-11-12 14:00:00,ETHUSD,SHORT,100,ARCA,300.07,30.007
2017-11-13 00:00:00,ETHUSD,CLOSE,100,ARCA,311.15,31.115
2017-11-14 07:00:00,ETHUSD,LONG,100,ARCA,313.22,31.322000000000003
2017-11-17 15:00:00,ETHUSD,CLOSE,100,ARCA,325.52,32.552
2017-11-17 22:00:00,ETHUSD,LONG,100,ARCA,333.0,33.300000000000004
2017-11-18 08:00:00,ETHUSD,CLOSE,100,ARCA,328.32,32.832
2017-11-18 09:00:00,ETHUSD,SHORT,100,ARCA,326.9,32.69
2017-11-18 15:00:00,ETHUSD,CLOSE,100,ARCA,330.98,33.098000000000006
2017-11-18 19:00:00,ETHUSD,LONG,100,ARCA,333.04,33.304
2017-11-22 06:00:00,ETHUSD,CLOSE,100,ARCA,356.51,35.651
2017-11-22 15:00:00,ETHUSD,LONG,100,ARCA,367.4,36.74
2017-11-28 20:00:00,ETHUSD,CLOSE,100,ARCA,458.22,45.822
2017-11-28 20:00:00,ETHUSD,SHORT,100,ARCA,458.22,45.822
2017-11-28 22:00:00,ETHUSD,CLOSE,100,ARCA,468.28,46.828
2017-11-29 14:00:00,ETHUSD,SHORT,100,ARCA,459.14,45.914
2017-11-29 15:00:00,ETHUSD,CLOSE,100,ARCA,468.38,46.838
2017-11-29 19:00:00,ETHUSD,LONG,100,ARCA,477.61,47.761
2017-11-30 03:00:00,ETHUSD,CLOSE,100,ARCA,421.0,42.1
2017-11-30 03:00:00,ETHUSD,SHORT,100,ARCA,421.0,42.1
2017-12-01 21:00:00,ETHUSD,CLOSE,100,ARCA,454.0,45.400000000000006
2017-12-03 13:00:00,ETHUSD,LONG,100,ARCA,461.65,46.165
2017-12-04 19:00:00,ETHUSD,CLOSE,100,ARCA,453.9,45.39
2017-12-05 20:00:00,ETHUSD,SHORT,100,ARCA,454.3,45.43000000000001
2017-12-06 05:00:00,ETHUSD,CLOSE,100,ARCA,461.71,46.171
2017-12-06 07:00:00,ETHUSD,SHORT,100,ARCA,451.87,45.187000000000005
2017-12-08 18:00:00,ETHUSD,CLOSE,100,ARCA,433.71,43.371
2017-12-09 09:00:00,ETHUSD,LONG,100,ARCA,451.32,45.132000000000005
2017-12-10 11:00:00,ETHUSD,CLOSE,100,ARCA,417.0,41.7
2017-12-11 14:00:00,ETHUSD,LONG,100,ARCA,461.38,46.138000000000005
2017-12-15 17:00:00,ETHUSD,CLOSE,100,ARCA,637.28,63.728
2017-12-17 11:00:00,ETHUSD,LONG,100,ARCA,713.0,71.3
2017-12-21 23:00:00,ETHUSD,CLOSE,100,ARCA,761.6,76.16000000000001
2017-12-22 08:00:00,ETHUSD,SHORT,100,ARCA,759.44,75.944
2017-12-25 08:00:00,ETHUSD,CLOSE,100,ARCA,674.98,67.498
2017-12-25 16:00:00,ETHUSD,LONG,100,ARCA,712.1,71.21000000000001
2017-12-28 10:00:00,ETHUSD,CLOSE,100,ARCA,685.0,68.5
2017-12-28 13:00:00,ETHUSD,SHORT,100,ARCA,680.66,68.066
2017-12-29 10:00:00,ETHUSD,CLOSE,100,ARCA,734.99,73.49900000000001
2017-12-30 10:00:00,ETHUSD,SHORT,100,ARCA,682.4,68.24
2017-12-31 19:00:00,ETHUSD,CLOSE,100,ARCA,705.0,70.5
2018-01-01 00:00:00,ETHUSD,LONG,100,ARCA,734.62,73.462
2018-01-08 22:00:00,ETHUSD,CLOSE,100,ARCA,1020.8,102.08
2018-01-09 02:00:00,ETHUSD,LONG,100,ARCA,1119.7,111.97000000000001
2018-01-11 11:00:00,ETHUSD,CLOSE,100,ARCA,1179.3,117.93
2018-01-12 06:00:00,ETHUSD,SHORT,100,ARCA,1130.2,113.02000000000001
2018-01-12 20:00:00,ETHUSD,CLOSE,100,ARCA,1274.4,127.44000000000001
2018-01-13 13:00:00,ETHUSD,LONG,100,ARCA,1310.5,131.05
2018-01-15 19:00:00,ETHUSD,CLOSE,100,ARCA,1298.1,129.81
2018-01-16 08:00:00,ETHUSD,SHORT,100,ARCA,1247.6,124.75999999999999
2018-01-19 16:00:00,ETHUSD,CLOSE,100,ARCA,1044.8,104.48
2018-01-20 11:00:00,ETHUSD,LONG,100,ARCA,1062.1,106.21
2018-01-21 17:00:00,ETHUSD,CLOSE,100,ARCA,1053.6,105.36
2018-01-22 04:00:00,ETHUSD,SHORT,100,ARCA,1006.5,100.65
2018-01-22 15:00:00,ETHUSD,CLOSE,100,ARCA,1070.1,107.00999999999999
2018-01-22 21:00:00,ETHUSD,SHORT,100,ARCA,977.2,97.72000000000001
2018-01-24 20:00:00,ETHUSD,CLOSE,100,ARCA,1026.1,102.61
2018-01-25 07:00:00,ETHUSD,LONG,100,ARCA,1062.7,106.27000000000001
2018-01-26 17:00:00,ETHUSD,CLOSE,100,ARCA,998.74,99.87400000000001
2018-01-27 14:00:00,ETHUSD,LONG,100,ARCA,1069.8,106.98
2018-01-30 09:00:00,ETHUSD,CLOSE,100,ARCA,1132.6,113.25999999999999
2018-01-31 01:00:00,ETHUSD,SHORT,100,ARCA,1100.0,110.0
2018-02-01 12:00:00,ETHUSD,CLOSE,100,ARCA,1148.3,114.83
2018-02-01 18:00:00,ETHUSD,SHORT,100,ARCA,1091.6,109.16
2018-02-07 17:00:00,ETHUSD,CLOSE,100,ARCA,804.7,80.47000000000001
2018-02-08 15:00:00,ETHUSD,LONG,100,ARCA,831.97,83.197
2018-02-11 00:00:00,ETHUSD,CLOSE,100,ARCA,828.73,82.873
2018-02-11 11:00:00,ETHUSD,SHORT,100,ARCA,800.03,80.003
2018-02-11 20:00:00,ETHUSD,CLOSE,100,ARCA,835.0,83.5
2018-02-12 17:00:00,ETHUSD,LONG,100,ARCA,869.35,86.935
2018-02-12 22:00:00,ETHUSD,CLOSE,100,ARCA,841.05,84.105
2018-02-13 04:00:00,ETHUSD,LONG,100,ARCA,872.2,87.22000000000001
2018-02-13 12:00:00,ETHUSD,CLOSE,100,ARCA,837.99,83.799
2018-02-14 12:00:00,ETHUSD,LONG,100,ARCA,862.32,86.23200000000001
2018-02-18 13:00:00,ETHUSD,CLOSE,100,ARCA,918.89,91.88900000000001
2018-02-18 16:00:00,ETHUSD,SHORT,100,ARCA,916.75,91.67500000000001
2018-02-18 22:00:00,ETHUSD,CLOSE,100,ARCA,941.19,94.11900000000001
2018-02-19 06:00:00,ETHUSD,SHORT,100,ARCA,916.92,91.69200000000001
2018-02-19 15:00:00,ETHUSD,CLOSE,100,ARCA,943.9,94.39
2018-02-21 02:00:00,ETHUSD,SHORT,100,ARCA,924.0,92.4
2018-02-23 19:00:00,ETHUSD,CLOSE,100,ARCA,871.19,87.11900000000001
2018-02-25 04:00:00,ETHUSD,SHORT,100,ARCA,809.11,80.911
