,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
0,-1.59%,0.03%,2.32%,0 days 04:47:33,16.67%,141.47986313760538,6099,-1.9564733528093274,-1.385993480000002,41%,718,-15.56%,0 days 04:00:00,1.0,5
1,-1.74%,0.05%,2.37%,0 days 05:08:54,16.67%,136.31686117582714,6562,-0.06368810519304667,-1.3476646200000015,44%,668,-15.56%,0 days 04:00:00,1.2,5
2,-2.05%,0.01%,2.55%,0 days 06:05:07,14.75%,90.19084644610082,6562,-0.38653764736505364,-0.8561282100000005,45%,562,-15.56%,0 days 04:00:00,1.5,5
3,-3.06%,0.23%,3.62%,0 days 13:15:07,29.04%,74.45841101223874,4991,-1.8235771717117029,-0.7248669200000009,49%,274,-29.02%,0 days 19:00:00,1.8,5
4,N/A,N/A,N/A,0,N/A,0.0,48,,0.0,N/A,0,N/A,0,2.0,5
5,N/A,N/A,N/A,0,N/A,0.0,48,,0.0,N/A,0,N/A,0,2.2,5
6,N/A,N/A,N/A,0,N/A,0.0,48,,0.0,N/A,0,N/A,0,2.5,5
7,N/A,N/A,N/A,0,N/A,0.0,48,,0.0,N/A,0,N/A,0,2.8,5
8,N/A,N/A,N/A,0,N/A,0.0,48,,0.0,N/A,0,N/A,0,3.0,5
9,-1.81%,0.22%,3.37%,0 days 08:15:22,17.54%,41.65539263632843,4385,0.17391810671649596,-0.1651079600000035,39%,406,-11.38%,0 days 03:00:00,1.0,10
10,-1.88%,0.24%,3.43%,0 days 08:47:37,17.54%,27.068573686679027,4356,0.35866630064742105,-0.02868508000000325,40%,378,-11.38%,0 days 03:00:00,1.2,10
11,-2.25%,0.13%,3.41%,0 days 09:39:50,17.54%,26.948432629084014,3760,0.6377101747454739,0.1551968700000006,42%,345,-11.52%,0 days 14:00:00,1.5,10
12,-2.69%,0.09%,3.87%,0 days 11:03:15,17.54%,45.4324179187965,6140,-0.056384739469906485,-0.28262288999999907,42%,295,-16.76%,0 days 06:00:00,1.8,10
13,-3.18%,0.14%,4.24%,0 days 13:54:16,40.96%,60.34834929606709,4991,-0.21081274254978288,-0.369604080000001,45%,241,-16.76%,0 days 06:00:00,2.0,10
14,-3.70%,0.08%,4.65%,0 days 19:08:08,21.38%,38.05855120822535,3582,0.21950325455424322,-0.046687860000003134,45%,177,-18.41%,0 days 18:00:00,2.2,10
15,-5.89%,0.35%,6.25%,2 days 00:25:00,25.98%,19.852462216756926,1315,0.1731656934585782,0.009261009999999015,51%,72,-24.81%,5 days 20:00:00,2.5,10
16,-11.57%,4.24%,16.89%,12 days 09:33:20,53.42%,11.013838962324211,2912,-1.0930900365830336,-0.04742741000000039,56%,9,-30.41%,15 days 20:00:00,2.8,10
17,N/A,N/A,N/A,0,N/A,0.0,48,,0.0,N/A,0,N/A,0,3.0,10
18,-1.88%,0.18%,3.93%,0 days 09:07:15,32.52%,33.67699575082735,3806,0.34730791824687113,-0.05694817000000274,35%,364,-11.38%,0 days 03:00:00,1.0,12
19,-1.98%,0.23%,3.94%,0 days 09:42:11,32.52%,32.52470631087082,2611,0.5325949945214854,0.0751323199999967,37%,340,-11.52%,0 days 14:00:00,1.2,12
20,-2.36%,0.14%,4.02%,0 days 10:59:48,32.52%,36.54525721090201,2678,0.4609608753003127,0.022876339999998496,39%,301,-11.68%,0 days 05:00:00,1.5,12
21,-2.85%,0.20%,4.28%,0 days 12:46:00,40.96%,36.93525700305001,6140,0.06323838884353132,-0.18025216999999805,43%,257,-16.76%,0 days 06:00:00,1.8,12
22,-3.34%,0.19%,4.48%,0 days 15:20:56,40.96%,49.61742075802762,3098,0.249127829524703,-0.08157432999999759,45%,215,-16.76%,0 days 06:00:00,2.0,12
23,-3.64%,0.22%,5.54%,0 days 18:42:57,40.96%,64.14051335708514,2924,-0.01058051136080559,-0.2702639600000004,42%,176,-18.41%,0 days 18:00:00,2.2,12
24,-5.49%,0.30%,6.08%,1 days 11:06:23,39.97%,28.41984699889869,1980,-0.24210448923724384,-0.1401200900000017,50%,94,-22.95%,0 days 19:00:00,2.5,12
