,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
3,-2.05%,0.42%,3.15%,1 days 02:20:39.000000000,15.27%,6.345874822280508,1088,3.134112581038162,0.3994477995933199,48%,61,-4.91%,0 days 19:00:00.000000000,2.2,20
7,-2.74%,0.57%,4.51%,1 days 11:31:18.000000000,15.27%,10.014923428542682,1080,3.0407943743504093,0.3950155107601889,46%,46,-14.82%,1 days 22:00:00.000000000,2.2,26
6,-1.90%,1.62%,7.69%,2 days 08:04:00.000000000,23.82%,13.689252654491588,886,2.1778085743269484,0.3525528699999998,37%,30,-4.76%,0 days 19:00:00.000000000,1.0,84
8,-2.41%,0.20%,4.80%,1 days 09:48:31.000000000,19.86%,7.882528954523934,1837,2.1462772354176978,0.3098772399072891,36%,47,-6.66%,4 days 03:00:00.000000000,1.8,35
5,-1.79%,0.79%,4.09%,1 days 01:24:13.000000000,15.27%,9.25906565989609,1352,2.0164010527743765,0.27367337550897686,44%,57,-7.41%,0 days 05:00:00.000000000,1.8,26
0,-1.95%,0.24%,2.91%,0 days 22:49:34.000000000,15.27%,9.462986816126188,1352,1.6768987962045756,0.22784987730098827,45%,69,-7.41%,0 days 05:00:00.000000000,2.0,20
9,-1.49%,0.44%,4.05%,0 days 17:16:03.000000000,17.37%,14.898230605800961,2246,1.3119616493769426,0.2166615161686778,35%,86,-5.80%,0 days 04:00:00.000000000,1.0,26
1,-1.82%,0.15%,2.90%,0 days 19:38:44.000000000,12.73%,10.764819219708983,1352,1.324291846487119,0.18437825303482902,42%,79,-7.41%,0 days 05:00:00.000000000,1.8,20
4,-1.49%,0.72%,3.82%,0 days 22:30:28.000000000,15.27%,17.18600230707623,1854,1.1186890424552833,0.16460156699038864,42%,65,-5.80%,0 days 04:00:00.000000000,1.5,26
2,-1.76%,0.25%,2.67%,0 days 17:54:25.000000000,13.09%,12.727764904213876,1352,0.4177618944821656,0.06546815405057949,45%,86,-8.26%,2 days 07:00:00.000000000,1.5,20
