BOLLStrategy_45_1.0,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 04:20:00+00:00,End date,2018-07-25 06:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 04:21:00+00:00,ETHUSDT,LONG,1,ARCA,479.96,0.013
2018-07-25 04:22:00+00:00,ETHUSDT,SHORT,1,ARCA,479.86,0.013
2018-07-25 04:23:00+00:00,ETHUSDT,SHORT,1,ARCA,479.55,0.013
2018-07-25 04:25:00+00:00,ETHUSDT,LONG,1,ARCA,480.01,0.013
2018-07-25 04:26:00+00:00,ETHUSDT,LONG,1,ARCA,480.42,0.013
2018-07-25 05:20:00+00:00,ETHUSDT,SHORT,1,ARCA,483.54,0.013
2018-07-25 05:27:00+00:00,ETHUSDT,SHORT,1,ARCA,483.26,0.013
2018-07-25 05:34:00+00:00,ETHUSDT,LONG,1,ARCA,483.93,0.013
2018-07-25 05:38:00+00:00,ETHUSDT,SHORT,1,ARCA,483.37,0.013
2018-07-25 05:44:00+00:00,ETHUSDT,LONG,1,ARCA,483.99,0.013
2018-07-25 05:48:00+00:00,ETHUSDT,LONG,1,ARCA,484.25,0.013
2018-07-25 06:00:00+00:00,ETHUSDT,SHORT,1,ARCA,483.52,0.013
2018-07-25 06:02:00+00:00,ETHUSDT,SHORT,1,ARCA,483.28,0.013
