,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
0,-0.07%,0.01%,0.17%,0 days 00:04:08.275862,0.72%,1.0396843632963024,117,0.6316820880685611,0.007798000000003968,34%,29,-0.19%,0 days 00:02:00,1.0,5
1,-0.07%,0.01%,0.16%,0 days 00:04:33.333333,0.72%,1.0257016015512705,117,0.5048305595039143,0.006106000000001277,33%,27,-0.18%,0 days 00:07:00,1.2,5
2,-0.09%,-0.01%,0.16%,0 days 00:05:12.500000,0.72%,1.1184700473638949,199,-0.36221330835531795,-0.004173999999996569,33%,24,-0.26%,0 days 00:05:00,1.5,5
3,-0.13%,0.04%,0.31%,0 days 00:15:15,0.73%,0.7655344748536378,162,0.9412036933029313,0.0077280000000015114,38%,8,-0.21%,0 days 00:18:00,1.8,5
4,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,2.0,5
5,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,2.2,5
6,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,2.5,5
7,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,2.8,5
8,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,3.0,5
9,-0.09%,0.04%,0.34%,0 days 00:07:42.352941,0.64%,1.1949627361339048,117,0.3471706396246693,0.0041220000000024015,29%,17,-0.24%,0 days 00:06:00,1.0,10
10,-0.09%,0.03%,0.31%,0 days 00:07:31.764705,0.64%,1.4261683754260523,117,-0.017693238471158355,-0.00027799999999733593,29%,17,-0.24%,0 days 00:06:00,1.2,10
11,-0.11%,0.01%,0.29%,0 days 00:07:48.750000,0.64%,1.437987765252337,117,-0.16957129024398007,-0.0020339999999968716,31%,16,-0.24%,0 days 00:06:00,1.5,10
12,-0.15%,0.00%,0.27%,0 days 00:10:32.727272,0.64%,0.8022684144395935,183,-0.14317474811346834,-0.001537999999998485,36%,11,-0.30%,0 days 00:14:00,1.8,10
13,-0.22%,-0.03%,0.36%,0 days 00:14:06.666666,0.64%,0.748763150525137,117,0.14150243833307358,0.001284000000001173,33%,9,-0.54%,0 days 00:19:00,2.0,10
14,-0.39%,-0.08%,0.22%,0 days 00:26:45,0.23%,0.6532752202592577,117,0.44966342665386977,0.0035360000000008718,50%,4,-0.39%,0 days 00:55:00,2.2,10
15,-0.38%,-0.08%,0.23%,0 days 00:18:30,0.23%,0.6083588223954136,219,0.03447670950652916,0.00019199999999996997,50%,2,-0.38%,0 days 00:16:00,2.5,10
16,N/A,N/A,N/A,0,N/A,0.25919999999998167,199,-1.299598759536056,-0.0025919999999998167,N/A,0,N/A,0,2.8,10
17,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,3.0,10
18,-0.11%,0.02%,0.40%,0 days 00:08:56,0.64%,1.3177785792982721,98,0.11717344813733521,0.0013660000000015327,27%,15,-0.19%,0 days 00:11:00,1.0,12
19,-0.13%,0.00%,0.36%,0 days 00:09:04,0.64%,1.5898313988737427,117,-0.27725811407215056,-0.0034139999999979187,27%,15,-0.24%,0 days 00:06:00,1.2,12
20,-0.16%,-0.01%,0.34%,0 days 00:11:23.076923,0.64%,0.9910444934188825,117,0.33538703093795624,0.003632000000002078,31%,13,-0.38%,0 days 00:16:00,1.5,12
21,-0.21%,-0.06%,0.35%,0 days 00:12:10.909090,0.64%,0.7811613278347954,183,-0.030425664697516293,-0.00034799999999834963,27%,11,-0.38%,0 days 00:16:00,1.8,12
22,-0.29%,-0.08%,0.35%,0 days 00:14:33.333333,0.64%,1.0964768451993214,219,-0.327523262381675,-0.0030439999999982703,33%,9,-0.63%,0 days 00:17:00,2.0,12
23,-0.35%,-0.05%,0.35%,0 days 00:17:25.714285,0.64%,1.1972406227080714,219,-0.07346793835934445,-0.0006799999999986817,43%,7,-0.63%,0 days 00:17:00,2.2,12
24,-0.63%,-0.08%,0.20%,0 days 00:19:00,0.23%,1.0964768451993214,219,-0.7551351809194629,-0.004719999999998947,67%,3,-0.63%,0 days 00:17:00,2.5,12
25,-0.63%,-0.63%,nan%,0 days 00:17:00,-0.63%,0.5284632828321688,219,0.19728498754705354,0.000996000000000441,0%,1,-0.63%,0 days 00:17:00,2.8,12
26,N/A,N/A,N/A,0,N/A,0.25919999999998167,199,-1.299598759536056,-0.0025919999999998167,N/A,0,N/A,0,3.0,12
27,-0.17%,-0.03%,0.34%,0 days 00:09:47.142857,0.59%,1.5424144278948926,117,0.017335424293694585,0.0001420000000020849,29%,14,-0.54%,0 days 00:06:00,1.0,14
28,-0.19%,-0.04%,0.30%,0 days 00:10:41.538461,0.59%,1.243798283558339,93,0.040670281966184725,0.0004260000000022579,31%,13,-0.54%,0 days 00:06:00,1.2,14
