,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
0,-0.09%,0.16%,0.66%,0 days 00:25:20.000000000,0.66%,0.4030632008661085,65,2.015958473845095,0.009406000000000247,33%,3,-0.15%,0 days 00:12:00.000000000,1.0,60
1,-0.15%,0.25%,0.66%,0 days 00:37:30.000000000,0.66%,0.4029623392072695,65,2.014216348305171,0.009378000000000553,50%,2,-0.15%,0 days 00:12:00.000000000,1.2,60
2,-0.07%,0.14%,0.77%,0 days 00:18:45.000000000,0.77%,0.4108758928305472,80,1.964878412601167,0.009342000000000183,25%,4,-0.10%,0 days 00:07:00.000000000,1.0,26
3,-0.06%,-0.01%,0.18%,0 days 00:04:51.428571428,0.47%,1.0369638685701383,95,-0.15809620796435706,-0.0007259999999985611,21%,14,-0.22%,0 days 00:02:00.000000000,1.0,5
4,-0.12%,-0.09%,0.01%,0 days 00:09:24.000000000,0.01%,0.42089744844654875,95,-0.5956966942680785,-0.0016039999999999388,20%,5,-0.21%,0 days 00:05:00.000000000,1.8,5
5,-0.02%,0.36%,0.73%,0 days 00:48:00.000000000,0.73%,0.2880441800176923,40,2.3639042341190266,0.011597999999999997,50%,2,-0.02%,0 days 00:01:00.000000000,1.0,72
6,-0.11%,0.17%,0.74%,0 days 00:25:00.000000000,0.74%,0.5979889617313735,72,1.3237900457208152,0.006174000000001456,33%,3,-0.12%,0 days 00:04:00.000000000,1.2,45
7,-0.09%,0.20%,0.77%,0 days 00:24:40.000000000,0.77%,0.41335528890171147,80,1.9781001735674208,0.009394000000001013,33%,3,-0.10%,0 days 00:07:00.000000000,1.2,26
8,-0.08%,0.20%,0.49%,0 days 00:28:30.000000000,0.49%,0.36085866468372463,84,1.707433746454678,0.007458000000000631,50%,2,-0.08%,0 days 00:26:00.000000000,2.0,26
9,-0.08%,0.13%,0.74%,0 days 00:19:00.000000000,0.74%,0.5981386386435849,71,1.5107866867376398,0.007162000000000779,25%,4,-0.12%,0 days 00:04:00.000000000,1.0,45
