,Parameters,Target
0,"[1.0, 0.1]",0.0
1,"[25.0, 0.4]",0.3607543828987745
2,"[49.0, 0.7000000000000001]",0.8445552348707344
3,"[73.0, 1.0000000000000002]",0.8161700080823135
4,"[97.0, 1.3000000000000003]",0.4222728302850842
5,"[121.0, 1.6000000000000003]",1.5564147596551323
6,"[145.0, 1.9000000000000004]",1.46972933718145
7,"[169.0, 2.2000000000000006]",1.3445433858235063
8,"[193.0, 2.5000000000000004]",0.7965731069119479
9,"[217.0, 2.8000000000000003]",0.06965212716401248
10,"[104.0, 1.2149114982725933]",0.327396633983269
11,"[188.0, 0.1180846765843545]",0.8967158847194809
12,"[174.0, 2.409187639466058]",1.3687301767110776
13,"[97.0, 1.9624339914859916]",1.1858753800994855
14,"[121.0, 2.1619975746593307]",0.8582513494170769
15,"[121.0, 1.0300650596409533]",1.8412560761613141
16,"[120.0, 0.9294739909357508]",0.5656332077350457
17,"[122.0, 0.9983877110603523]",1.0346933180087126
18,"[146.0, 2.0623235513475113]",1.3486144571879577
19,"[145.0, 2.9799535606795526]",1.2515408480240566
20,"[170.0, 2.2582794035108864]",1.0688915236207155
21,"[212.0, 0.4204919685680235]",0.8904084692041496
22,"[96.0, 3.0]",0.888555237565861
23,"[98.0, 2.995101279001331]",0.8622275972071691
24,"[173.0, 1.5459054399004453]",1.564175542127097
25,"[174.0, 1.01018309744914]",1.2248885483314336
26,"[172.0, 2.8082832448808785]",1.336702435412271
27,"[169.0, 0.677691332061803]",1.2997186502750502
28,"[171.0, 0.5329520994024548]",1.5604675328894646
29,"[190.0, 1.2221906920002554]",1.314195567091307
30,"[145.0, 0.2571179864326925]",0.8343280323166868
31,"[6.0, 2.0901178891090484]",0.8664371557691555
32,"[172.0, 0.10140900699355022]",0.9305660351520255
33,"[74.0, 2.9225296634034117]",1.8210272427514913
34,"[75.0, 2.543573740027713]",0.4327359609468866
35,"[145.0, 0.6208962961470802]",1.3600953812699514
36,"[4.0, 3.0]",0.0
37,"[204.0, 0.22525144807371036]",1.0763452871154944
38,"[15.0, 2.195019019229158]",0.2091082536167912
39,"[221.0, 0.20692831205788204]",1.0721019087572978
40,"[46.0, 0.1]",0.1693949077457293
41,"[40.0, 0.9341658026216255]",0.7877553515851341
42,"[84.0, 0.5925004425013056]",0.7528008010172125
43,"[191.0, 0.5994705621441554]",1.7449618784414844
44,"[63.0, 2.0658191549324396]",-0.08656555503340968
45,"[85.0, 2.126298875523787]",1.4101704615772421
46,"[51.0, 0.8368684938281192]",1.2877448485634186
47,"[101.0, 3.0]",0.5967722260797252
48,"[136.0, 2.57590807859757]",0.609338318232554
49,"[52.0, 0.1]",0.31199607244105554
50,"[84.0, 0.31865944156188075]",0.6994803185796092
51,"[134.0, 0.39310563997021164]",0.8100804383150764
52,"[175.0, 1.9718961256034762]",0.9181934241100611
53,"[159.0, 1.1826591002185218]",1.3231211685023618
54,"[103.0, 3.0]",0.5581280744031221
55,"[121.0, 2.7571178135705203]",0.8362108683624054
56,"[93.0, 2.1627229655067537]",0.9361562962837837
57,"[42.0, 1.7827246317543795]",0.9006992597781058
58,"[86.0, 1.3427529333213497]",0.4100902055395368
59,"[171.0, 1.516441927691491]",1.7013603812199904
60,"[50.0, 2.110029648214759]",0.5765621132524181
61,"[27.0, 1.6501465059014984]",0.16418039928640216
62,"[7.0, 1.3716780595304419]",-0.8828382500860155
63,"[23.0, 2.937307383478824]",1.1497657800119185
64,"[157.0, 1.7942554127607961]",1.3373462089607075
65,"[73.0, 3.0]",1.3288157134996412
66,"[205.0, 0.27715567693104315]",1.0372209558360375
67,"[106.0, 3.0]",0.5336415696312002
68,"[176.0, 0.1]",1.0338334853653257
69,"[172.0, 2.370080299309063]",0.9981534966063703
70,"[170.0, 1.0741511259208307]",1.167910306924397
71,"[143.0, 2.892091809939161]",1.3506829896013604
72,"[4.0, 0.9478813779107395]",-0.9420287908731738
73,"[236.0, 0.5635781626858398]",1.3186716174380653
74,"[190.0, 0.10052223041380826]",0.8505929240119723
75,"[191.0, 1.382916718534371]",1.1552403435967231
76,"[192.0, 0.2312043249304237]",1.357799402115543
77,"[144.0, 1.3734245756438068]",1.323881840611242
78,"[158.0, 2.2508348902844024]",0.8262632072477185
79,"[158.0, 0.5376526502326713]",1.3538709851957025
80,"[107.0, 0.8451021153016136]",0.0896098605630451
81,"[70.0, 1.4388313554793035]",0.5060037468168415
82,"[92.0, 0.3891601573861278]",0.6671623463222265
83,"[31.0, 2.7179420718830465]",1.0074892861485836
84,"[188.0, 1.8960640050963629]",1.155229683072637
85,"[168.0, 1.4720287423892473]",1.5654527728830447
86,"[136.0, 0.21483919715977984]",0.6611749415373707
87,"[221.0, 1.7892090529614264]",0.647598316407175
88,"[173.0, 2.9924735260867403]",1.0177941537895983
89,"[84.0, 2.9365269195008543]",1.2271243292362932
90,"[168.0, 2.8298158148361443]",1.4901787574110417
91,"[167.0, 2.181595719161265]",1.182487933357376
92,"[156.0, 0.666363718639515]",1.400028371612851
93,"[146.0, 1.0512799887900484]",1.431697825127186
94,"[155.0, 1.8741121927150155]",1.3145586056323286
95,"[58.0, 0.7039719218299179]",0.9829168633084153
96,"[43.0, 3.0]",1.6822735973617275
