BOLLStrategy_43_3,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-12 11:00:00,BTCUSDT,LONG,0.00012985831275185233,Binance,7693.0,0.001
2018-05-01 00:00:00,BTCUSDT,CLOSE,0.00012985831275185233,Binance,8955.01,0.0011628824892759653
2018-05-03 13:00:00,BTCUSDT,LONG,0.0001225374047418082,Binance,9471.05,0.0011617196067866893
2018-05-16 02:00:00,BTCUSDT,CLOSE,0.0001225374047418082,Binance,8113.0,0.00099414596467029
2018-05-20 16:00:00,BTCUSDT,LONG,0.00011679916309912262,Binance,8494.57,0.0009931518187056196
2018-06-04 11:00:00,BTCUSDT,CLOSE,0.00011679916309912262,Binance,7505.0,0.0008765777190589153
2018-06-18 16:00:00,BTCUSDT,LONG,0.00013165267461734347,Binance,6644.95,0.0008757011413398564
2018-06-22 07:00:00,BTCUSDT,CLOSE,0.00013165267461734347,Binance,6495.08,0.0008550946538536152
2018-06-30 01:00:00,BTCUSDT,LONG,0.00013316937639028345,Binance,6408.27,0.0008542395591997616
2018-07-10 02:00:00,BTCUSDT,CLOSE,0.00013316937639028345,Binance,6623.06,0.0008819887699954308
2018-07-15 10:00:00,BTCUSDT,LONG,0.00013872745066102597,Binance,6345.0,0.0008811067812254352
2018-07-26 21:00:00,BTCUSDT,CLOSE,0.00013872745066102597,Binance,7972.3,0.0011059768549048974
Sharpe Ratio,Sortino Ratio,Max Drawdown,Max Drawdown Duration,Total Returns,Annualized Returns,Compound Annual Growth Rate
0.8261213159802986,1.1516251490626932,34.253162417255936,2517,0.10487087804999273,0.2968235514435982,0.3261349277329011
Trades,Trade Winning,Average Trade,Average Win,Average Loss,Best Trade,Worst Trade,Worst Trade Date,Avg Days in Trade
6,0.5,0.02859930699622935,0.151344607801457,-0.09414599380899831,0.25646966115051223,-0.14338959249502425,12 days 13:00:00,11 days 20:00:00
