EMVStrategy_12_5_120,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2017-05-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-28 10:00:00,BTCUSDT,LONG,100,Binance,5734.04,573.404
2017-10-28 12:00:00,BTCUSDT,SHORT,100,Binance,5689.99,568.999
2017-10-29 04:00:00,BTCUSDT,LONG,100,Binance,5744.97,574.4970000000001
2017-10-30 21:00:00,BTCUSDT,SHORT,100,Binance,6104.88,610.488
2017-10-31 13:00:00,BTCUSDT,LONG,100,Binance,6329.04,632.904
2017-11-02 22:00:00,BTCUSDT,SHORT,100,Binance,7043.96,704.3960000000001
2017-11-03 11:00:00,BTCUSDT,LONG,100,Binance,7230.95,723.095
2017-11-03 21:00:00,BTCUSDT,SHORT,100,Binance,7084.99,708.499
2017-11-04 17:00:00,BTCUSDT,LONG,100,Binance,7275.11,727.511
2017-11-05 17:00:00,BTCUSDT,SHORT,100,Binance,7485.38,748.538
2017-11-08 03:00:00,BTCUSDT,LONG,100,Binance,7331.71,733.171
2017-11-08 22:00:00,BTCUSDT,SHORT,100,Binance,7200.0,720.0
2017-11-09 19:00:00,BTCUSDT,LONG,100,Binance,7130.02,713.0020000000001
2017-11-09 20:00:00,BTCUSDT,SHORT,100,Binance,7149.99,714.999
2017-11-10 09:00:00,BTCUSDT,LONG,100,Binance,7059.99,705.999
2017-11-10 13:00:00,BTCUSDT,SHORT,100,Binance,6780.0,678.0
2017-11-11 13:00:00,BTCUSDT,LONG,100,Binance,6355.0,635.5
2017-11-11 14:00:00,BTCUSDT,SHORT,100,Binance,6339.93,633.993
2017-11-12 18:00:00,BTCUSDT,LONG,100,Binance,6141.33,614.133
2017-11-13 07:00:00,BTCUSDT,SHORT,100,Binance,6196.66,619.666
2017-11-13 11:00:00,BTCUSDT,LONG,100,Binance,6426.02,642.6020000000001
2017-11-14 21:00:00,BTCUSDT,SHORT,100,Binance,6575.32,657.532
2017-11-15 02:00:00,BTCUSDT,LONG,100,Binance,6861.0,686.1
2017-11-17 09:00:00,BTCUSDT,SHORT,100,Binance,7746.99,774.6990000000001
2017-11-21 19:00:00,BTCUSDT,LONG,100,Binance,8109.84,810.984
2017-11-22 06:00:00,BTCUSDT,SHORT,100,Binance,8215.49,821.549
2017-11-24 14:00:00,BTCUSDT,LONG,100,Binance,8145.98,814.598
2017-11-25 04:00:00,BTCUSDT,SHORT,100,Binance,8197.99,819.799
2017-11-25 08:00:00,BTCUSDT,LONG,100,Binance,8343.97,834.3969999999999
2017-11-27 20:00:00,BTCUSDT,SHORT,100,Binance,9568.2,956.8200000000002
2017-11-28 01:00:00,BTCUSDT,LONG,100,Binance,9590.03,959.0030000000002
2017-11-28 18:00:00,BTCUSDT,SHORT,100,Binance,9919.48,991.948
2017-11-29 04:00:00,BTCUSDT,LONG,100,Binance,10402.02,1040.202
2017-11-29 18:00:00,BTCUSDT,SHORT,100,Binance,10064.02,1006.402
2017-12-01 10:00:00,BTCUSDT,LONG,100,Binance,9760.09,976.009
2017-12-02 17:00:00,BTCUSDT,SHORT,100,Binance,10898.57,1089.857
2017-12-03 11:00:00,BTCUSDT,LONG,100,Binance,11615.99,1161.599
2017-12-04 00:00:00,BTCUSDT,SHORT,100,Binance,11212.57,1121.257
2017-12-04 14:00:00,BTCUSDT,LONG,100,Binance,11366.91,1136.691
2017-12-04 15:00:00,BTCUSDT,SHORT,100,Binance,11301.07,1130.107
2017-12-05 05:00:00,BTCUSDT,LONG,100,Binance,11577.02,1157.702
2017-12-05 21:00:00,BTCUSDT,SHORT,100,Binance,11722.51,1172.251
2017-12-06 05:00:00,BTCUSDT,LONG,100,Binance,12270.02,1227.0020000000002
2017-12-08 09:00:00,BTCUSDT,SHORT,100,Binance,15177.02,1517.7020000000002
2017-12-10 20:00:00,BTCUSDT,LONG,100,Binance,15215.01,1521.5010000000002
2017-12-12 08:00:00,BTCUSDT,SHORT,100,Binance,16764.8,1676.48
2017-12-13 18:00:00,BTCUSDT,LONG,100,Binance,15367.59,1536.759
2017-12-13 21:00:00,BTCUSDT,SHORT,100,Binance,15971.11,1597.111
2017-12-14 09:00:00,BTCUSDT,LONG,100,Binance,15820.52,1582.0520000000001
2017-12-16 04:00:00,BTCUSDT,SHORT,100,Binance,17437.06,1743.7060000000001
