EMVStrategy_12_5_45,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-02 01:00:00,BTCUSDT,LONG,100,Binance,6919.92,691.9920000000001
2018-04-03 02:00:00,BTCUSDT,SHORT,100,Binance,7169.99,716.999
2018-04-03 04:00:00,BTCUSDT,LONG,100,Binance,7360.0,736.0
2018-04-04 02:00:00,BTCUSDT,SHORT,100,Binance,7270.0,727.0
2018-04-05 15:00:00,BTCUSDT,LONG,100,Binance,6749.53,674.953
2018-04-06 18:00:00,BTCUSDT,SHORT,100,Binance,6589.0,658.9000000000001
2018-04-07 03:00:00,BTCUSDT,LONG,100,Binance,6864.32,686.432
2018-04-08 16:00:00,BTCUSDT,SHORT,100,Binance,6980.0,698.0
2018-04-10 12:00:00,BTCUSDT,LONG,100,Binance,6755.04,675.504
2018-04-12 05:00:00,BTCUSDT,SHORT,100,Binance,6940.0,694.0
2018-04-12 12:00:00,BTCUSDT,LONG,100,Binance,7686.93,768.6930000000001
2018-04-13 15:00:00,BTCUSDT,SHORT,100,Binance,8125.0,812.5
2018-04-15 08:00:00,BTCUSDT,LONG,100,Binance,8130.0,813.0
2018-04-16 03:00:00,BTCUSDT,SHORT,100,Binance,8146.9,814.69
2018-04-17 07:00:00,BTCUSDT,LONG,100,Binance,8138.6,813.8600000000001
2018-04-17 23:00:00,BTCUSDT,SHORT,100,Binance,7885.02,788.5020000000001
2018-04-18 08:00:00,BTCUSDT,LONG,100,Binance,8086.0,808.6
2018-04-19 18:00:00,BTCUSDT,SHORT,100,Binance,8274.57,827.457
2018-04-19 23:00:00,BTCUSDT,LONG,100,Binance,8278.0,827.8000000000001
2018-04-20 09:00:00,BTCUSDT,SHORT,100,Binance,8308.87,830.8870000000002
2018-04-20 19:00:00,BTCUSDT,LONG,100,Binance,8518.0,851.8000000000001
2018-04-21 13:00:00,BTCUSDT,SHORT,100,Binance,8748.0,874.8000000000001
2018-04-22 09:00:00,BTCUSDT,LONG,100,Binance,8910.0,891.0
2018-04-22 15:00:00,BTCUSDT,SHORT,100,Binance,8940.67,894.067
2018-04-23 16:00:00,BTCUSDT,LONG,100,Binance,8911.54,891.1540000000001
2018-04-25 05:00:00,BTCUSDT,SHORT,100,Binance,9370.0,937.0
2018-04-26 22:00:00,BTCUSDT,LONG,100,Binance,9221.0,922.1
2018-04-27 22:00:00,BTCUSDT,SHORT,100,Binance,9031.0,903.1
2018-04-28 14:00:00,BTCUSDT,LONG,100,Binance,9311.02,931.1020000000001
2018-04-29 12:00:00,BTCUSDT,SHORT,100,Binance,9247.48,924.748
2018-05-02 01:00:00,BTCUSDT,LONG,100,Binance,9032.25,903.225
2018-05-04 14:00:00,BTCUSDT,SHORT,100,Binance,9706.0,970.6
2018-05-05 10:00:00,BTCUSDT,LONG,100,Binance,9941.76,994.176
2018-05-05 22:00:00,BTCUSDT,SHORT,100,Binance,9841.74,984.174
2018-05-07 11:00:00,BTCUSDT,LONG,100,Binance,9339.0,933.9000000000001
2018-05-07 12:00:00,BTCUSDT,SHORT,100,Binance,9362.01,936.201
2018-05-07 23:00:00,BTCUSDT,LONG,100,Binance,9365.0,936.5
2018-05-08 17:00:00,BTCUSDT,SHORT,100,Binance,9136.94,913.6940000000001
2018-05-09 12:00:00,BTCUSDT,LONG,100,Binance,9277.05,927.7049999999999
2018-05-10 17:00:00,BTCUSDT,SHORT,100,Binance,9157.55,915.755
2018-05-12 11:00:00,BTCUSDT,LONG,100,Binance,8524.02,852.402
2018-05-14 07:00:00,BTCUSDT,SHORT,100,Binance,8376.33,837.633
2018-05-14 21:00:00,BTCUSDT,LONG,100,Binance,8721.25,872.125
2018-05-15 15:00:00,BTCUSDT,SHORT,100,Binance,8517.01,851.701
2018-05-16 22:00:00,BTCUSDT,LONG,100,Binance,8276.99,827.6990000000001
2018-05-17 19:00:00,BTCUSDT,SHORT,100,Binance,8172.0,817.2
