,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,m,n,window
73,-3.55%,1.71%,4.93%,0 days 19:15:00.000000000,21.72%,77.83097757833146,779,3.970722568830781,16.701660710000006,62%,100,-9.34%,0 days 12:00:00.000000000,12,12,12
67,-3.71%,2.29%,7.24%,1 days 01:10:41.000000000,30.70%,60.54407780654058,719,4.20601336923563,14.505712089999998,55%,73,-13.44%,1 days 07:00:00.000000000,45,5,12
70,-2.63%,2.02%,5.65%,1 days 00:41:55.000000000,23.69%,50.69988152379009,1254,4.4453545735954,14.266172620000015,56%,73,-7.42%,0 days 05:00:00.000000000,120,5,12
68,-3.99%,2.17%,5.94%,1 days 01:26:12.000000000,29.97%,43.35614025783162,719,4.195248087103801,13.122044500000001,62%,71,-13.03%,0 days 23:00:00.000000000,60,5,12
66,-3.26%,1.54%,4.98%,0 days 21:11:52.000000000,27.96%,82.17913469560278,1069,3.571514466231231,13.11026030000002,58%,91,-8.49%,0 days 16:00:00.000000000,26,5,12
79,-3.19%,2.46%,6.23%,1 days 05:36:00.000000000,22.43%,34.51669238164372,763,4.66135582436545,12.795999410000004,60%,60,-9.09%,0 days 19:00:00.000000000,252,12,12
78,-3.63%,2.21%,7.14%,1 days 06:46:47.000000000,27.43%,39.368877365234546,763,4.155090666724022,11.813109960000002,54%,59,-10.26%,0 days 14:00:00.000000000,120,12,12
69,-2.76%,1.86%,6.62%,1 days 01:48:10.000000000,23.69%,49.47679469980733,962,3.9005951587589647,11.7375804,49%,71,-10.76%,0 days 05:00:00.000000000,96,5,12
74,-5.01%,1.88%,7.35%,1 days 03:35:09.000000000,23.88%,58.99549716500305,2039,3.7716728842626885,11.36825192,56%,70,-19.30%,1 days 19:00:00.000000000,26,12,12
113,-4.43%,1.99%,6.22%,1 days 03:37:04.000000000,23.08%,73.86493735029535,611,3.739830452342251,11.217952839999993,60%,68,-18.04%,1 days 21:00:00.000000000,12,120,12
206,-6.96%,6.05%,12.06%,3 days 18:09:28.000000000,21.37%,47.87786099985136,1686,4.498315352794331,10.529402369999998,68%,19,-11.16%,8 days 06:00:00.000000000,120,12,45
77,-3.96%,2.09%,6.82%,1 days 08:16:51.000000000,20.87%,47.70421515223309,763,3.7126550959023445,10.512835240000012,56%,57,-13.08%,0 days 12:00:00.000000000,96,12,12
72,-3.43%,1.08%,4.76%,0 days 16:28:28.000000000,25.72%,96.30933222309372,630,2.8183257472678345,9.834571350000017,55%,118,-22.25%,0 days 19:00:00.000000000,5,12,12
232,-5.83%,4.65%,15.12%,3 days 04:50:00.000000000,27.36%,59.167600319091804,2039,4.080244081747205,9.524391800000007,50%,24,-12.44%,3 days 15:00:00.000000000,5,96,45
61,-4.23%,2.98%,9.44%,2 days 00:38:20.000000000,39.29%,54.093121580612305,1015,3.6201398258286157,9.014339480000006,53%,36,-9.65%,1 days 11:00:00.000000000,96,252,5
198,-5.78%,4.74%,10.75%,3 days 05:35:27.000000000,23.41%,57.746053923849026,1686,3.959594356022142,8.982976840000001,64%,22,-10.32%,3 days 04:00:00.000000000,120,5,45
