,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,m,n,window
5,-1.75%,0.38%,3.89%,1 days 05:02:16.000000000,16.68%,93.42472158344691,2517,1.735203577681225,0.15375486000000627,38%,53,-5.18%,0 days 14:00:00.000000000,252,12,12
4,-1.51%,0.17%,1.90%,0 days 19:18:14.000000000,8.20%,71.89363528292628,2462,0.5206462324822839,-0.23534946999999806,49%,79,-4.69%,0 days 22:00:00.000000000,26,5,12
0,-1.59%,0.20%,1.86%,0 days 18:55:27.000000000,7.44%,83.99536765649846,2295,0.03944544434920664,-0.4546459699999995,52%,79,-4.95%,2 days 02:00:00.000000000,12,12,12
3,-1.65%,0.09%,2.82%,1 days 02:13:13.000000000,7.46%,84.31836383965296,2517,0.14917735882995994,-0.5337985199999984,39%,59,-4.76%,0 days 07:00:00.000000000,60,5,12
2,-1.64%,0.02%,2.26%,1 days 01:26:26.000000000,7.71%,105.1156006420106,2295,0.36374949145098207,-1.126784590000013,42%,59,-6.08%,0 days 21:00:00.000000000,120,5,12
9,-1.90%,0.12%,2.13%,0 days 23:40:39.000000000,17.60%,150.46258619656209,2691,-0.4062681368865346,-1.2355615000000026,50%,62,-5.26%,0 days 19:00:00.000000000,12,120,12
1,-1.62%,-0.08%,1.97%,1 days 00:03:49.000000000,7.46%,109.8576010256345,2295,-1.6371538785334647,-1.2664461600000014,43%,63,-4.85%,0 days 14:00:00.000000000,45,5,12
6,-1.87%,-0.04%,3.40%,1 days 05:09:14.000000000,17.50%,154.10695682091574,2517,-1.6479725596216424,-1.39308270999999,35%,52,-5.40%,0 days 20:00:00.000000000,120,12,12
7,-1.66%,-0.06%,2.69%,1 days 03:02:06.000000000,11.12%,117.51802454396957,2265,1.8521667697068966,-1.4334581599999998,37%,57,-5.39%,0 days 22:00:00.000000000,96,5,12
8,-1.71%,-0.05%,2.07%,0 days 22:45:27.000000000,7.69%,123.42170387274433,2295,0.0873712723852998,-1.6305731600000057,44%,66,-4.21%,0 days 12:00:00.000000000,26,12,12
