EMVStrategy_26_5_10,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:26:00+00:00,ETHUSDT,LONG,1,ARCA,484.44,0.013
2018-07-25 00:37:00+00:00,ETHUSDT,SHORT,1,ARCA,480.45,0.013
2018-07-25 01:21:00+00:00,ETHUSDT,LONG,1,ARCA,480.87,0.013
2018-07-25 01:47:00+00:00,ETHUSDT,SHORT,1,ARCA,480.96,0.013
2018-07-25 01:58:00+00:00,ETHUSDT,LONG,1,ARCA,482.48,0.013
2018-07-25 02:04:00+00:00,ETHUSDT,SHORT,1,ARCA,481.78,0.013
2018-07-25 02:13:00+00:00,ETHUSDT,LONG,1,ARCA,479.68,0.013
2018-07-25 02:16:00+00:00,ETHUSDT,SHORT,1,ARCA,478.78,0.013
2018-07-25 02:49:00+00:00,ETHUSDT,LONG,1,ARCA,478.53,0.013
2018-07-25 03:10:00+00:00,ETHUSDT,SHORT,1,ARCA,475.48,0.013
2018-07-25 03:33:00+00:00,ETHUSDT,LONG,1,ARCA,476.09,0.013
2018-07-25 04:03:00+00:00,ETHUSDT,SHORT,1,ARCA,479.57,0.013
