,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,m,n,window
0,-0.14%,0.08%,0.29%,0 days 00:08:00.000000000,0.59%,0.8207244838226337,147,1.17719491316765,0.010988000000001774,50%,16,-0.30%,0 days 00:06:00.000000000,5,5,5
1,-0.10%,0.16%,0.31%,0 days 00:11:21.818181818,0.79%,0.7127226761484091,64,1.7494639190007084,0.01702200000000098,64%,11,-0.15%,0 days 00:10:00.000000000,10,5,5
2,-0.19%,0.14%,0.35%,0 days 00:14:07.500000000,0.72%,0.6150700109606227,105,1.2055567725812517,0.010958000000000911,62%,8,-0.38%,0 days 00:07:00.000000000,26,5,5
3,-0.10%,0.18%,0.32%,0 days 00:12:00.000000000,0.74%,0.47781311976954854,97,1.7889109593191634,0.015626000000000362,67%,9,-0.24%,0 days 00:06:00.000000000,30,5,5
4,-0.11%,0.10%,0.37%,0 days 00:12:20.000000000,0.62%,0.6296947228887522,105,1.0613806099143699,0.00841200000000053,44%,9,-0.16%,0 days 00:02:00.000000000,45,5,5
5,-0.21%,0.11%,0.32%,0 days 00:12:24.000000000,0.56%,0.5244758723191685,105,1.0908040230605287,0.00999400000000139,60%,10,-0.49%,0 days 00:08:00.000000000,5,10,5
6,-0.21%,0.08%,0.31%,0 days 00:14:13.333333333,0.61%,0.5591491070913339,107,0.7656577775064463,0.007066000000001127,56%,9,-0.48%,0 days 00:09:00.000000000,10,10,5
7,-0.13%,0.22%,0.40%,0 days 00:19:10.000000000,0.69%,0.47926325641767786,104,1.6890061297707768,0.014002000000000514,67%,6,-0.13%,0 days 00:08:00.000000000,26,10,5
8,-0.15%,0.22%,0.40%,0 days 00:19:20.000000000,0.69%,0.609284772427574,105,1.5514844464284396,0.012228000000000794,67%,6,-0.19%,0 days 00:16:00.000000000,30,10,5
9,-0.20%,0.20%,0.40%,0 days 00:18:50.000000000,0.69%,0.839451036963143,107,1.4218122574010343,0.011328000000000449,67%,6,-0.20%,0 days 00:14:00.000000000,45,10,5
10,-0.10%,0.10%,0.35%,0 days 00:15:13.333333333,0.70%,0.665426601579775,201,0.8478021020685063,0.007832000000001393,44%,9,-0.27%,0 days 00:03:00.000000000,5,26,5
11,-0.06%,0.25%,0.41%,0 days 00:22:00.000000000,0.67%,0.5485027810434372,103,1.6821067835896577,0.01428800000000141,67%,6,-0.09%,0 days 00:25:00.000000000,10,26,5
12,-0.22%,0.17%,0.43%,0 days 00:27:00.000000000,0.61%,0.7291553025419297,106,0.8725097094457738,0.007980000000000098,60%,5,-0.41%,0 days 00:17:00.000000000,26,26,5
13,-0.43%,0.08%,0.41%,0 days 00:27:48.000000000,0.73%,1.2355653843175236,239,0.34885198354571983,0.003280000000000838,60%,5,-0.65%,0 days 00:19:00.000000000,30,26,5
14,-0.23%,0.07%,0.53%,0 days 00:27:00.000000000,0.65%,1.0489600724186563,239,0.34401250795163674,0.003160000000001162,40%,5,-0.41%,0 days 00:17:00.000000000,45,26,5
15,-0.10%,0.13%,0.29%,0 days 00:13:54.000000000,0.71%,0.5498042213714825,104,1.3405941720712566,0.012260000000000382,60%,10,-0.19%,0 days 00:03:00.000000000,5,30,5
16,-0.07%,0.18%,0.50%,0 days 00:19:25.714285714,0.70%,0.6948745090667764,106,1.3452195606793134,0.011416000000000759,43%,7,-0.22%,0 days 00:29:00.000000000,10,30,5
17,-0.42%,0.09%,0.34%,0 days 00:23:00.000000000,0.82%,1.1059342474346718,239,0.502652743985511,0.0046080000000001675,67%,6,-0.56%,0 days 00:14:00.000000000,26,30,5
18,-0.42%,-0.00%,0.28%,0 days 00:27:48.000000000,0.56%,1.3044505366888086,239,-0.038120189158876924,-0.000400000000000289,60%,5,-0.60%,0 days 00:15:00.000000000,30,30,5
19,-0.29%,-0.04%,0.33%,0 days 00:27:24.000000000,0.48%,1.5253991666285125,239,-0.2244932355604824,-0.0023999999999994026,40%,5,-0.48%,0 days 00:14:00.000000000,45,30,5
20,-0.22%,0.15%,0.31%,0 days 00:13:48.000000000,0.80%,0.5105838959615648,199,1.4959277220082061,0.013966000000000811,70%,10,-0.42%,0 days 00:04:00.000000000,5,45,5
21,-0.23%,0.15%,0.44%,0 days 00:18:25.714285714,0.67%,0.7203118843540446,106,1.0065317193717005,0.009450000000001069,57%,7,-0.41%,0 days 00:17:00.000000000,10,45,5
22,-0.24%,-0.04%,0.16%,0 days 00:26:00.000000000,0.17%,1.0457838117905984,239,0.49631429733003857,0.00504600000000166,50%,4,-0.42%,0 days 00:18:00.000000000,26,45,5
23,-0.32%,-0.12%,0.07%,0 days 00:26:15.000000000,0.13%,1.3248977144819425,239,0.06561284422897927,0.0006459999999994803,50%,4,-0.48%,0 days 00:19:00.000000000,30,45,5
24,-0.28%,-0.17%,0.05%,0 days 00:33:20.000000000,0.05%,1.3661891026467734,239,0.091074321784619,0.0009180000000001964,33%,3,-0.41%,0 days 00:17:00.000000000,45,45,5
25,-0.15%,0.08%,0.30%,0 days 00:11:30.000000000,0.50%,0.6876066335215116,109,0.8042859948329412,0.007134000000000418,50%,10,-0.37%,0 days 00:11:00.000000000,5,5,10
26,-0.18%,0.04%,0.31%,0 days 00:13:20.000000000,0.46%,0.9057866612083764,143,0.6301511303300151,0.005226000000000841,44%,9,-0.39%,0 days 00:12:00.000000000,10,5,10
27,-0.05%,0.20%,0.33%,0 days 00:18:50.000000000,0.81%,0.6696565828075283,106,1.3827519075178507,0.01110800000000034,67%,6,-0.11%,0 days 00:18:00.000000000,26,5,10
28,-0.21%,0.24%,0.35%,0 days 00:21:36.000000000,0.80%,0.5958299840225808,105,1.3887215327419635,0.011039999999999495,80%,5,-0.21%,0 days 00:15:00.000000000,30,5,10
29,-0.16%,0.13%,0.42%,0 days 00:18:20.000000000,0.79%,0.7579174954939912,140,0.9321183986753708,0.007367999999999375,50%,6,-0.33%,0 days 00:13:00.000000000,45,5,10
30,-0.09%,0.03%,0.24%,0 days 00:11:00.000000000,0.41%,0.8332356523138101,143,0.2874857923209904,0.002248000000000916,36%,11,-0.23%,0 days 00:10:00.000000000,5,10,10
31,-0.08%,0.17%,0.35%,0 days 00:17:34.285714285,0.76%,0.6697743031115556,106,1.3567181585097363,0.010776000000000785,57%,7,-0.09%,0 days 00:04:00.000000000,10,10,10
32,-0.28%,0.11%,0.37%,0 days 00:22:48.000000000,0.69%,0.8426268165287845,141,0.6105132064914129,0.004980000000000873,60%,5,-0.38%,0 days 00:16:00.000000000,26,10,10
33,-0.32%,0.10%,0.37%,0 days 00:23:00.000000000,0.69%,0.9142043658328196,143,0.5224898403783239,0.0042600000000001526,60%,5,-0.44%,0 days 00:16:00.000000000,30,10,10
34,-0.27%,0.09%,0.27%,0 days 00:18:50.000000000,0.57%,0.8278807326863556,141,0.5622146217426868,0.004648000000000652,67%,6,-0.40%,0 days 00:15:00.000000000,45,10,10
35,-0.36%,0.03%,0.30%,0 days 00:27:00.000000000,0.70%,1.1692181525397731,239,0.14901628803452316,0.001300000000000523,60%,5,-0.48%,0 days 00:14:00.000000000,5,26,10
36,-0.29%,-0.06%,0.29%,0 days 00:27:12.000000000,0.53%,1.429973307430266,239,-0.34098171876315203,-0.0031599999999991635,40%,5,-0.58%,0 days 00:15:00.000000000,10,26,10
37,-0.31%,-0.11%,0.68%,0 days 00:27:00.000000000,0.68%,1.756414875384857,239,-0.5703887074207894,-0.00571999999999917,20%,5,-0.55%,0 days 00:14:00.000000000,26,26,10
38,-0.37%,-0.10%,0.98%,0 days 00:27:24.000000000,0.98%,1.930384345136305,239,-0.48973270083672993,-0.005039999999999711,20%,5,-0.61%,0 days 00:15:00.000000000,30,26,10
39,-0.53%,-0.19%,0.32%,0 days 00:27:00.000000000,0.50%,1.9733790882327282,239,-0.9097860312444892,-0.009379999999999278,40%,5,-0.62%,0 days 00:12:00.000000000,45,26,10
40,-0.41%,-0.04%,0.21%,0 days 00:28:12.000000000,0.49%,1.3224864496892246,239,-0.2229609043947946,-0.002080000000000193,60%,5,-0.56%,0 days 00:14:00.000000000,5,30,10
41,-0.28%,-0.00%,0.41%,0 days 00:28:00.000000000,0.71%,1.298600481302291,239,-0.05348129643377536,-0.000540000000000318,40%,5,-0.50%,0 days 00:13:00.000000000,10,30,10
42,-0.51%,-0.11%,0.48%,0 days 00:28:12.000000000,0.83%,1.828868979491823,239,-0.5279816770846668,-0.005619999999998515,40%,5,-0.66%,0 days 00:13:00.000000000,26,30,10
43,-0.50%,-0.14%,0.40%,0 days 00:28:12.000000000,0.80%,1.9482988214265136,239,-0.6770283377213783,-0.007119999999999793,40%,5,-0.66%,0 days 00:13:00.000000000,30,30,10
44,-0.49%,-0.19%,0.25%,0 days 00:26:36.000000000,0.37%,1.7578082235407675,239,-0.9201276399847739,-0.009439999999999116,40%,5,-0.60%,0 days 00:09:00.000000000,45,30,10
45,-0.37%,0.11%,0.21%,0 days 00:23:00.000000000,0.60%,0.7082003717952782,106,0.6517750177862203,0.006342000000000514,83%,6,-0.37%,0 days 00:24:00.000000000,5,45,10
46,-0.19%,0.07%,0.58%,0 days 00:22:50.000000000,0.84%,1.0477978132395702,239,0.4568582904668072,0.004542000000000712,33%,6,-0.39%,0 days 00:22:00.000000000,10,45,10
47,-0.31%,-0.31%,nan%,0 days 00:32:00.000000000,-0.17%,1.50322361048353,239,-0.29247468740524224,-0.00320199999999915,0%,3,-0.52%,0 days 00:31:00.000000000,26,45,10
48,-0.29%,-0.29%,nan%,0 days 00:32:00.000000000,-0.24%,1.4036987422046932,239,-0.23855069531862358,-0.002621999999999458,0%,3,-0.37%,0 days 00:33:00.000000000,30,45,10
49,-0.30%,-0.17%,0.09%,0 days 00:31:40.000000000,0.09%,1.1469245820452914,239,0.06825434968361391,0.0006980000000007536,33%,3,-0.46%,0 days 00:40:00.000000000,45,45,10
50,-0.39%,-0.10%,0.20%,0 days 00:12:15.000000000,0.66%,1.45631747440995,233,-1.0242636105342484,-0.008075999999999306,50%,8,-0.50%,0 days 00:10:00.000000000,5,5,26
51,-0.45%,-0.17%,0.37%,0 days 00:16:10.000000000,0.73%,1.7550595184533935,233,-1.2331317293681257,-0.010451999999999795,33%,6,-0.82%,0 days 00:11:00.000000000,10,5,26
52,-0.67%,-0.19%,0.29%,0 days 00:28:15.000000000,0.40%,1.2673541332981866,233,-0.8499479047110206,-0.007728000000000401,50%,4,-0.92%,0 days 00:15:00.000000000,26,5,26
53,-0.59%,-0.05%,0.48%,0 days 00:29:00.000000000,0.73%,1.0162028566457502,233,-0.24872294753154148,-0.0023679999999984824,50%,4,-0.77%,0 days 00:17:00.000000000,30,5,26
54,-0.45%,-0.23%,0.43%,0 days 00:34:00.000000000,0.43%,1.4961097547075288,233,-0.8580755002124715,-0.009207999999999106,25%,4,-0.70%,0 days 00:22:00.000000000,45,5,26
55,-0.39%,-0.18%,0.25%,0 days 00:16:20.000000000,0.46%,1.5131064573472284,233,-1.2819062891756643,-0.01065199999999955,33%,6,-0.70%,0 days 00:12:00.000000000,5,10,26
56,-0.37%,-0.18%,0.59%,0 days 00:20:36.000000000,0.59%,1.54929943590944,233,-1.0584237988610599,-0.00908000000000031,20%,5,-0.84%,0 days 00:14:00.000000000,10,10,26
57,-0.33%,0.00%,0.34%,0 days 00:29:15.000000000,0.51%,0.9098234942421278,197,-0.01224257909555754,-0.00016799999999950188,50%,4,-0.43%,0 days 00:19:00.000000000,26,10,26
