,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,m,n,window
0,-0.04%,0.06%,0.35%,0 days 00:06:22.500000000,0.63%,0.40738777479310156,95,1.1898609966205196,0.004084000000001087,25%,8,-0.07%,0 days 00:05:00.000000000,10,5,5
1,nan%,0.43%,0.43%,0 days 00:23:30.000000000,0.75%,0.13698711725503215,58,2.608829700593282,0.008176000000000183,100%,2,0.12%,0 days 00:23:00.000000000,30,5,5
2,-0.05%,0.27%,0.91%,0 days 00:18:20.000000000,0.91%,0.2915244173964566,50,2.2110476391341076,0.007604000000000388,33%,3,-0.05%,0 days 00:25:00.000000000,10,26,5
3,-0.04%,0.37%,0.79%,0 days 00:25:00.000000000,0.79%,0.271929112259402,51,2.12813075759283,0.007075999999999638,50%,2,-0.04%,0 days 00:23:00.000000000,26,10,5
4,-0.03%,0.21%,0.45%,0 days 00:15:30.000000000,0.79%,0.16395818073908086,39,2.2036611960061046,0.007892000000000454,50%,4,-0.04%,0 days 00:17:00.000000000,5,45,5
5,-0.05%,0.16%,0.79%,0 days 00:13:30.000000000,0.79%,0.2722159328600255,56,1.702232334718768,0.00601200000000035,25%,4,-0.08%,0 days 00:06:00.000000000,5,30,5
6,-0.04%,0.37%,0.79%,0 days 00:25:00.000000000,0.79%,0.271929112259402,51,2.12813075759283,0.007075999999999638,50%,2,-0.04%,0 days 00:23:00.000000000,30,10,5
7,-0.06%,0.38%,0.81%,0 days 00:29:30.000000000,0.81%,0.2916710394220904,54,1.9251347257339322,0.007096000000000657,50%,2,-0.06%,0 days 00:24:00.000000000,10,30,5
8,nan%,0.45%,0.45%,0 days 00:26:00.000000000,0.89%,0.2912442833670343,45,2.5513222302932066,0.008576000000000361,100%,2,0.01%,0 days 00:23:00.000000000,45,10,5
9,-0.07%,0.37%,0.81%,0 days 00:23:00.000000000,0.81%,0.319354717362161,50,2.131197811601301,0.006935999999999609,50%,2,-0.07%,0 days 00:22:00.000000000,26,5,10
