,Parameters,Target
0,"[1.0, 1.0, 1.0]",0.0
1,"[13.0, 13.0, 13.0]",1.1886727767913055
2,"[25.0, 25.0, 25.0]",-0.40531333816431314
3,"[37.0, 37.0, 37.0]",0.28495837613798325
4,"[49.0, 49.0, 49.0]",0.056857658191606486
5,"[61.0, 61.0, 61.0]",0.010591048566598316
6,"[73.0, 73.0, 73.0]",0.5393176148531222
7,"[85.0, 85.0, 85.0]",0.10674022171108155
8,"[97.0, 97.0, 97.0]",-0.2196408631305613
9,"[109.0, 109.0, 109.0]",-0.14703278635565487
10,"[12.0, 13.0, 13.0]",1.540612653914077
11,"[107.0, 34.0, 111.0]",-0.21101162897297354
12,"[10.0, 12.0, 14.0]",4.6884804262430695
13,"[10.0, 12.0, 16.0]",5.157390426355048
14,"[10.0, 10.0, 15.0]",4.093582440495485
15,"[8.0, 12.0, 15.0]",1.4028803756713923
16,"[11.0, 10.0, 15.0]",3.432834408177998
17,"[10.0, 13.0, 16.0]",4.220464608588697
18,"[11.0, 13.0, 17.0]",1.6772969730686476
19,"[9.0, 10.0, 13.0]",1.199571706794043
20,"[11.0, 11.0, 15.0]",3.7354979861572426
21,"[10.0, 11.0, 14.0]",4.8786382468632565
22,"[9.0, 12.0, 16.0]",3.9388782022105238
23,"[9.0, 14.0, 15.0]",5.597217733392296
24,"[9.0, 15.0, 14.0]",4.480821658417491
25,"[8.0, 16.0, 15.0]",4.219039344894778
26,"[9.0, 14.0, 14.0]",5.214704007223715
27,"[9.0, 13.0, 15.0]",4.9527021287233985
28,"[10.0, 10.0, 17.0]",4.58927455532366
29,"[10.0, 13.0, 14.0]",5.134409606304701
30,"[9.0, 16.0, 15.0]",4.0360405433865285
31,"[9.0, 15.0, 16.0]",4.120863769144789
32,"[10.0, 12.0, 15.0]",5.4307430025229095
33,"[11.0, 15.0, 15.0]",1.3648221789350385
34,"[10.0, 14.0, 14.0]",4.6139654987705025
35,"[10.0, 14.0, 15.0]",3.1323485400562108
36,"[9.0, 10.0, 17.0]",2.1041568662309196
37,"[9.0, 15.0, 15.0]",4.9722188763216355
38,"[11.0, 9.0, 16.0]",3.7575747904406
39,"[11.0, 11.0, 17.0]",2.835692714926609
40,"[8.0, 14.0, 16.0]",3.5514636077450588
41,"[11.0, 10.0, 16.0]",3.3673349491172013
42,"[9.0, 11.0, 15.0]",2.629418168359256
43,"[11.0, 12.0, 14.0]",3.886982103169686
44,"[8.0, 14.0, 15.0]",2.928751931676778
45,"[10.0, 9.0, 17.0]",5.198793609156546
46,"[10.0, 8.0, 17.0]",2.898783443511602
47,"[10.0, 13.0, 13.0]",5.320969960497753
48,"[11.0, 9.0, 18.0]",3.6299568646186335
49,"[9.0, 13.0, 13.0]",3.424412360601991
50,"[9.0, 14.0, 13.0]",4.220145502760366
51,"[8.0, 17.0, 14.0]",4.433575442335359
52,"[10.0, 14.0, 12.0]",4.73417287848019
53,"[9.0, 14.0, 17.0]",4.706552890422329
54,"[9.0, 16.0, 13.0]",2.918229809975793
55,"[10.0, 9.0, 18.0]",3.937129825245485
56,"[11.0, 11.0, 13.0]",3.4302619377780745
57,"[8.0, 16.0, 14.0]",5.43389519580236
58,"[10.0, 14.0, 13.0]",5.002481030304901
59,"[9.0, 14.0, 16.0]",5.308400214950351
60,"[10.0, 13.0, 15.0]",6.273455992688224
61,"[8.0, 14.0, 18.0]",5.541493535817502
62,"[8.0, 14.0, 17.0]",5.135509333391646
63,"[11.0, 14.0, 12.0]",2.306691997060732
64,"[7.0, 16.0, 14.0]",3.111886177914715
65,"[8.0, 13.0, 17.0]",2.572917134414123
66,"[8.0, 15.0, 18.0]",4.461241265674593
67,"[9.0, 13.0, 18.0]",4.3007983035131545
68,"[10.0, 12.0, 12.0]",5.248830392594738
69,"[7.0, 15.0, 17.0]",3.3123250461933074
70,"[10.0, 9.0, 16.0]",3.923882523319895
71,"[9.0, 12.0, 19.0]",4.1432060549172105
72,"[10.0, 13.0, 12.0]",4.576248655268982
73,"[7.0, 14.0, 19.0]",3.3543906224025806
74,"[7.0, 14.0, 18.0]",3.4308171095205307
75,"[10.0, 11.0, 18.0]",4.241758134358394
76,"[8.0, 13.0, 19.0]",3.1971238056771254
77,"[10.0, 12.0, 19.0]",2.460573030228157
78,"[9.0, 12.0, 12.0]",1.5947202815265435
79,"[11.0, 11.0, 11.0]",3.7663785673295482
80,"[8.0, 15.0, 17.0]",4.253519185091213
81,"[8.0, 15.0, 14.0]",3.422409870095094
82,"[10.0, 12.0, 13.0]",4.197878346876554
83,"[11.0, 12.0, 15.0]",2.964543525949392
84,"[11.0, 12.0, 12.0]",2.9797628371223026
85,"[9.0, 14.0, 19.0]",3.4000122250740805
86,"[10.0, 12.0, 17.0]",4.7841513085531755
87,"[8.0, 17.0, 13.0]",3.4327674246948767
88,"[10.0, 11.0, 11.0]",2.9793525348903365
89,"[9.0, 14.0, 18.0]",4.788269143969388
90,"[9.0, 16.0, 14.0]",4.3476058525411485
91,"[9.0, 10.0, 19.0]",3.777094703700369
92,"[9.0, 15.0, 18.0]",2.7109889654799564
93,"[10.0, 15.0, 13.0]",3.2340634626687343
94,"[9.0, 11.0, 19.0]",4.549964442246415
95,"[10.0, 10.0, 18.0]",4.475106562060471
96,"[11.0, 9.0, 17.0]",3.803099447750979
97,"[9.0, 15.0, 12.0]",5.213411498625692
98,"[8.0, 11.0, 19.0]",2.240032101206221
99,"[8.0, 15.0, 11.0]",2.061239321222309
100,"[12.0, 10.0, 12.0]",1.898013092004231
101,"[10.0, 10.0, 16.0]",4.592764330594578
102,"[8.0, 15.0, 12.0]",1.9932653032564271
103,"[11.0, 10.0, 14.0]",4.534374689715107
104,"[9.0, 14.0, 12.0]",3.5221814123842083
105,"[9.0, 12.0, 18.0]",5.222980879784448
106,"[10.0, 15.0, 12.0]",3.5500324672763144
107,"[9.0, 17.0, 14.0]",3.3236028786101404
108,"[9.0, 11.0, 20.0]",3.706893819733799
109,"[10.0, 11.0, 15.0]",4.477435839879206
110,"[11.0, 9.0, 14.0]",3.21732693153123
111,"[38.0, 108.0, 13.0]",1.3249739596411811
112,"[11.0, 10.0, 13.0]",4.5119631051441695
113,"[8.0, 14.0, 19.0]",4.690942359766868
114,"[10.0, 13.0, 11.0]",3.9502081238970206
115,"[10.0, 10.0, 20.0]",3.3020337004432463
116,"[10.0, 11.0, 13.0]",3.978508260406123
117,"[9.0, 13.0, 16.0]",5.50531568488024
118,"[10.0, 11.0, 17.0]",3.80189240916285
119,"[9.0, 13.0, 17.0]",5.429791018540916
120,"[10.0, 9.0, 13.0]",1.5518266266855871
121,"[10.0, 15.0, 11.0]",4.116675944353116
122,"[10.0, 11.0, 12.0]",3.5588375227146125
123,"[9.0, 12.0, 17.0]",4.689621186268508
124,"[73.0, 10.0, 76.0]",0.8139893208049824
125,"[10.0, 14.0, 11.0]",4.4015592397476695
126,"[9.0, 14.0, 10.0]",2.814630724268619
127,"[9.0, 16.0, 11.0]",3.6150189955766345
128,"[9.0, 13.0, 14.0]",4.300149402479506
129,"[12.0, 11.0, 10.0]",2.091629211010262
130,"[7.0, 15.0, 19.0]",3.7741594072397007
131,"[11.0, 13.0, 9.0]",3.3830038738972457
132,"[8.0, 15.0, 19.0]",5.29562830722922
133,"[10.0, 10.0, 19.0]",3.5110247979803804
134,"[10.0, 12.0, 11.0]",4.329640726356382
135,"[8.0, 17.0, 20.0]",2.810598329658887
136,"[10.0, 12.0, 10.0]",3.6727795070823817
137,"[8.0, 15.0, 21.0]",3.327737476028749
138,"[9.0, 15.0, 11.0]",4.094693383766986
139,"[12.0, 13.0, 10.0]",2.4651177704414184
140,"[11.0, 14.0, 10.0]",3.8887825093448276
141,"[9.0, 16.0, 20.0]",2.6959969910177457
142,"[9.0, 11.0, 18.0]",3.7066774788385626
143,"[8.0, 16.0, 19.0]",3.9008409635909196
144,"[8.0, 16.0, 20.0]",3.8027300262385513
145,"[11.0, 11.0, 14.0]",3.2720774023407495
146,"[12.0, 10.0, 14.0]",3.2963837389668402
147,"[8.0, 15.0, 20.0]",4.452571103970492
148,"[6.0, 80.0, 65.0]",0.39342818150620595
149,"[11.0, 12.0, 10.0]",4.236739334551031
150,"[11.0, 15.0, 10.0]",2.647477795517531
151,"[11.0, 10.0, 18.0]",3.041411405628124
152,"[7.0, 17.0, 17.0]",5.802243547023246
153,"[7.0, 16.0, 17.0]",3.7147403253554403
154,"[6.0, 18.0, 17.0]",4.950281452779195
155,"[7.0, 18.0, 16.0]",5.26763198696334
156,"[6.0, 17.0, 16.0]",4.808132277470214
157,"[8.0, 18.0, 16.0]",3.3407361715019785
158,"[6.0, 16.0, 17.0]",3.4378138425112414
159,"[6.0, 18.0, 18.0]",5.449243692722149
160,"[7.0, 17.0, 16.0]",4.857821835433894
161,"[7.0, 18.0, 17.0]",4.80836325965804
162,"[5.0, 19.0, 18.0]",4.172175592443417
163,"[7.0, 20.0, 16.0]",2.00801060782725
164,"[4.0, 18.0, 16.0]",1.6150730353654534
165,"[6.0, 17.0, 17.0]",4.327730983354767
166,"[7.0, 18.0, 19.0]",3.2721805928358627
167,"[17.0, 2.0, 77.0]",1.397842650233466
168,"[7.0, 17.0, 18.0]",5.428210353070865
169,"[6.0, 17.0, 18.0]",4.6895650834617735
170,"[7.0, 18.0, 15.0]",4.352550692122208
171,"[6.0, 19.0, 17.0]",4.623209280500109
172,"[72.0, 110.0, 7.0]",0.3562945427828772
173,"[6.0, 18.0, 16.0]",5.25879507116623
174,"[5.0, 19.0, 17.0]",4.828285937629459
175,"[7.0, 18.0, 18.0]",4.091076985163223
176,"[6.0, 19.0, 18.0]",4.8185752859494775
177,"[5.0, 20.0, 17.0]",3.6340673889570683
178,"[5.0, 18.0, 19.0]",3.819335030347877
179,"[6.0, 18.0, 19.0]",5.0218350417002275
180,"[6.0, 17.0, 15.0]",3.6377763951757993
181,"[5.0, 19.0, 16.0]",4.505887975323876
182,"[11.0, 13.0, 14.0]",2.2283770940024685
183,"[5.0, 18.0, 17.0]",4.220473371375403
184,"[5.0, 20.0, 15.0]",3.3634064176024623
185,"[7.0, 17.0, 15.0]",4.710038499168706
186,"[5.0, 19.0, 15.0]",2.773029351041173
187,"[6.0, 19.0, 21.0]",3.4716919919558276
188,"[6.0, 16.0, 20.0]",3.5915809489255377
189,"[5.0, 20.0, 19.0]",4.109672741344432
190,"[6.0, 20.0, 19.0]",2.2386096423751307
191,"[7.0, 17.0, 20.0]",3.8910375558933827
192,"[26.0, 51.0, 21.0]",0.4347483680140034
193,"[6.0, 17.0, 19.0]",4.71996003922249
