EMVStrategy_52_1_95,tickers,['BTCUSDT'],initial equity,1,frequency,60 min,,
,,,,,,,,
Start date,2018/4/1 0:00,End date,2018/9/1 0:00,,,,,
,,,,,,,,
timestamp,ticker,action,quantity,exchange,price,commission,,
,,,,,,,,
2018/4/3 10:00,BTCUSDT,LONG,0.000136738,Binance,7305.93,0.001,,
,,,,,,,,
2018/4/5 8:00,BTCUSDT,SHORT,0.000136738,Binance,6866,0.000938845,,
,,,,,,,,
2018/4/8 15:00,BTCUSDT,LONG,0.000132905,Binance,7049.93,0.000937906,,
,,,,,,,,
2018/4/11 8:00,BTCUSDT,SHORT,0.000132905,Binance,6857.93,0.00091145,,
,,,,,,,,
2018/4/12 11:00,BTCUSDT,LONG,0.000118241,Binance,7693,0.000910539,,
,,,,,,,,
2018/4/16 19:00,BTCUSDT,SHORT,0.000118241,Binance,7983.99,0.000944035,,
,,,,,,,,
2018/4/20 9:00,BTCUSDT,LONG,0.000113391,Binance,8308.87,0.000943091,,
,,,,,,,,
2018/4/23 8:00,BTCUSDT,SHORT,0.000113391,Binance,8900.31,0.001009212,,
,,,,,,,,
2018/4/24 0:00,BTCUSDT,LONG,0.000109836,Binance,9169.97,0.001008203,,
,,,,,,,,
2018/4/24 18:00,BTCUSDT,SHORT,0.000109836,Binance,9410.99,0.001033667,,
,,,,,,,,
2018/4/24 23:00,BTCUSDT,LONG,0.000107235,Binance,9619.99,0.001032634,,
,,,,,,,,
2018/4/25 4:00,BTCUSDT,SHORT,0.000107235,Binance,9200,0.000986563,,
,,,,,,,,
2018/4/29 6:00,BTCUSDT,LONG,0.000103707,Binance,9494.01,0.000985577,,
,,,,,,,,
2018/5/1 5:00,BTCUSDT,SHORT,0.000103707,Binance,8930,0.0009261,,
,,,,,,,,
2018/5/3 16:00,BTCUSDT,LONG,9.61E-05,Binance,9613.12,0.000925173,,
,,,,,,,,
2018/5/7 1:00,BTCUSDT,SHORT,9.61E-05,Binance,9350,0.000898951,,
,,,,,,,,
2018/5/10 20:00,BTCUSDT,LONG,9.88E-05,Binance,9078.89,0.000898052,,
,,,,,,,,
2018/5/11 0:00,BTCUSDT,SHORT,9.88E-05,Binance,8930,0.000882441,,
,,,,,,,,
2018/5/11 5:00,BTCUSDT,LONG,9.78E-05,Binance,9007.19,0.000881558,,
,,,,,,,,
2018/5/11 6:00,BTCUSDT,SHORT,9.78E-05,Binance,8809.62,0.000861359,,
,,,,,,,,
2018/5/11 8:00,BTCUSDT,LONG,9.78E-05,Binance,8790,0.000860498,,
,,,,,,,,
2018/5/12 6:00,BTCUSDT,SHORT,9.78E-05,Binance,8264.68,0.000808263,,
,,,,,,,,
2018/5/12 8:00,BTCUSDT,LONG,9.80E-05,Binance,8230,0.000807454,,
,,,,,,,,
2018/5/12 21:00,BTCUSDT,SHORT,9.80E-05,Binance,8404.35,0.000823736,,
,,,,,,,,
2018/5/14 9:00,BTCUSDT,LONG,9.80E-05,Binance,8387,0.000822912,,
,,,,,,,,
