EMV_RSIStrategy_59_91_85_84_79_39,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-04 09:00:00,BTCUSDT,LONG,0.00014099972900952982,Binance,7085.12,0.0009999999999999998
2018-04-07 05:00:00,BTCUSDT,SHORT,0.00014099972900952982,Binance,6839.03,0.0009643013766880448
2018-05-18 03:00:00,BTCUSDT,LONG,0.00012037194974809824,Binance,7995.0,0.0009633370753113569
2018-05-19 13:00:00,BTCUSDT,SHORT,0.00012037194974809824,Binance,8296.86,0.0009987092149870065
2018-05-23 16:00:00,BTCUSDT,LONG,0.00013112916659205993,Binance,7601.0,0.0009977105057720197
2018-05-24 23:00:00,BTCUSDT,SHORT,0.00013112916659205993,Binance,7575.01,0.00099330474822652
2018-06-10 00:00:00,BTCUSDT,LONG,0.00013645323845267175,Binance,7264.9,0.0009923114434782934
2018-06-10 04:00:00,BTCUSDT,SHORT,0.00013645323845267175,Binance,7277.87,0.0009930889305375461
2018-06-22 09:00:00,BTCUSDT,LONG,0.0001570493260366233,Binance,6310.78,0.0009920958416070086
2018-06-22 23:00:00,BTCUSDT,SHORT,0.0001570493260366233,Binance,6045.0,0.0009493631758913879
2018-06-28 23:00:00,BTCUSDT,LONG,0.00016184978406191705,Binance,5853.98,0.0009484138127154966
2018-07-06 17:00:00,BTCUSDT,SHORT,0.00016184978406191705,Binance,6598.0,0.0010678848752405288
Sharpe Ratio,Sortino Ratio,Max Drawdown,Max Drawdown Duration,Total Returns,Annualized Returns,Compound Annual Growth Rate
1.0394872771621582,0.6920682184680056,8.3219761980037,1082,0.06681699036528821,0.18911690972533918,0.20089468164055835
Trades,Trade Winning,Average Trade,Average Win,Average Loss,Best Trade,Worst Trade,Worst Trade Date,Avg Days in Trade
6,0.5,0.014394991599939977,0.05554594364675248,-0.026755960446872524,0.12709643695400402,-0.042115237736064286,0 days 14:00:00,2 days 08:10:00
