KDJStrategy_30_30_80,tickers,['ETHUSD'],initial equity,100000.0,frequency,60 min
Start date,2017-07-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-07-01 01:00:00,ETHUSD,LONG,100,ARCA,266.9,26.689999999999998
2017-07-01 09:00:00,ETHUSD,SHORT,100,ARCA,273.87,27.387
2017-07-01 10:00:00,ETHUSD,LONG,100,ARCA,269.8,26.980000000000004
2017-07-01 11:00:00,ETHUSD,SHORT,100,ARCA,264.48,26.448000000000004
2017-07-01 12:00:00,ETHUSD,LONG,100,ARCA,264.99,26.499000000000002
2017-07-01 13:00:00,ETHUSD,SHORT,100,ARCA,259.11,25.911
2017-07-01 14:00:00,ETHUSD,LONG,100,ARCA,258.0,25.8
2017-07-01 15:00:00,ETHUSD,SHORT,100,ARCA,266.11,26.611000000000004
2017-07-01 16:00:00,ETHUSD,LONG,100,ARCA,261.28,26.128
2017-07-02 00:00:00,ETHUSD,SHORT,100,ARCA,250.19,25.019000000000002
2017-07-02 01:00:00,ETHUSD,LONG,100,ARCA,253.64,25.364
2017-07-02 02:00:00,ETHUSD,SHORT,100,ARCA,247.68,24.768
2017-07-02 03:00:00,ETHUSD,LONG,100,ARCA,246.88,24.688000000000002
2017-07-02 06:00:00,ETHUSD,SHORT,100,ARCA,251.34,25.134
2017-07-02 07:00:00,ETHUSD,LONG,100,ARCA,256.99,25.699
2017-07-02 08:00:00,ETHUSD,SHORT,100,ARCA,264.43,26.443
2017-07-02 09:00:00,ETHUSD,LONG,100,ARCA,259.89,25.989
2017-07-02 10:00:00,ETHUSD,SHORT,100,ARCA,256.6,25.660000000000004
2017-07-02 11:00:00,ETHUSD,LONG,100,ARCA,260.62,26.062
2017-07-02 12:00:00,ETHUSD,SHORT,100,ARCA,256.5,25.650000000000002
2017-07-02 13:00:00,ETHUSD,LONG,100,ARCA,253.1,25.310000000000002
2017-07-02 14:00:00,ETHUSD,SHORT,100,ARCA,253.79,25.379
2017-07-02 15:00:00,ETHUSD,LONG,100,ARCA,258.5,25.85
2017-07-02 16:00:00,ETHUSD,SHORT,100,ARCA,261.97,26.197000000000003
2017-07-02 17:00:00,ETHUSD,LONG,100,ARCA,271.27,27.127
2017-07-02 18:00:00,ETHUSD,SHORT,100,ARCA,270.25,27.025000000000002
2017-07-03 02:00:00,ETHUSD,LONG,100,ARCA,273.76,27.376
2017-07-03 03:00:00,ETHUSD,SHORT,100,ARCA,272.73,27.273000000000003
2017-07-03 04:00:00,ETHUSD,LONG,100,ARCA,275.97,27.597000000000005
2017-07-03 05:00:00,ETHUSD,SHORT,100,ARCA,274.77,27.477
2017-07-03 06:00:00,ETHUSD,LONG,100,ARCA,272.33,27.233
2017-07-03 07:00:00,ETHUSD,SHORT,100,ARCA,268.38,26.838
2017-07-03 08:00:00,ETHUSD,LONG,100,ARCA,270.02,27.002
2017-07-03 09:00:00,ETHUSD,SHORT,100,ARCA,267.95,26.795
2017-07-03 10:00:00,ETHUSD,LONG,100,ARCA,271.79,27.179000000000002
2017-07-03 11:00:00,ETHUSD,SHORT,100,ARCA,271.56,27.156000000000002
2017-07-03 12:00:00,ETHUSD,LONG,100,ARCA,272.65,27.265
2017-07-03 13:00:00,ETHUSD,SHORT,100,ARCA,280.71,28.070999999999998
2017-07-03 14:00:00,ETHUSD,LONG,100,ARCA,278.0,27.8
2017-07-03 15:00:00,ETHUSD,SHORT,100,ARCA,280.2,28.02
2017-07-03 16:00:00,ETHUSD,LONG,100,ARCA,278.53,27.852999999999998
2017-07-03 17:00:00,ETHUSD,SHORT,100,ARCA,278.9,27.89
2017-07-03 18:00:00,ETHUSD,LONG,100,ARCA,275.95,27.595
2017-07-03 19:00:00,ETHUSD,SHORT,100,ARCA,276.98,27.698000000000004
2017-07-03 20:00:00,ETHUSD,LONG,100,ARCA,276.62,27.662000000000003
2017-07-03 21:00:00,ETHUSD,SHORT,100,ARCA,278.91,27.891000000000005
2017-07-03 22:00:00,ETHUSD,LONG,100,ARCA,276.26,27.626
2017-07-03 23:00:00,ETHUSD,SHORT,100,ARCA,273.99,27.399
2017-07-04 00:00:00,ETHUSD,LONG,100,ARCA,276.77,27.677
2017-07-04 01:00:00,ETHUSD,SHORT,100,ARCA,278.9,27.89
2017-07-04 02:00:00,ETHUSD,LONG,100,ARCA,282.22,28.222000000000005
2017-07-04 03:00:00,ETHUSD,SHORT,100,ARCA,278.51,27.851
2017-07-04 04:00:00,ETHUSD,LONG,100,ARCA,278.45,27.845
2017-07-04 05:00:00,ETHUSD,SHORT,100,ARCA,281.2,28.12
2017-07-04 06:00:00,ETHUSD,LONG,100,ARCA,280.82,28.082
2017-07-04 07:00:00,ETHUSD,SHORT,100,ARCA,281.0,28.1
2017-07-04 13:00:00,ETHUSD,LONG,100,ARCA,277.09,27.709
2017-07-04 14:00:00,ETHUSD,SHORT,100,ARCA,274.94,27.494
2017-07-04 15:00:00,ETHUSD,LONG,100,ARCA,269.72,26.972000000000005
2017-07-04 16:00:00,ETHUSD,SHORT,100,ARCA,266.5,26.650000000000002
2017-07-04 17:00:00,ETHUSD,LONG,100,ARCA,268.31,26.831000000000003
2017-07-04 18:00:00,ETHUSD,SHORT,100,ARCA,268.87,26.887
2017-07-04 19:00:00,ETHUSD,LONG,100,ARCA,264.37,26.437
2017-07-05 19:00:00,ETHUSD,SHORT,100,ARCA,268.05,26.805000000000003
2017-07-05 20:00:00,ETHUSD,LONG,100,ARCA,262.94,26.294
2017-07-05 21:00:00,ETHUSD,SHORT,100,ARCA,266.3,26.630000000000003
2017-07-05 22:00:00,ETHUSD,LONG,100,ARCA,265.8,26.580000000000002
2017-07-05 23:00:00,ETHUSD,SHORT,100,ARCA,264.82,26.482
2017-07-06 00:00:00,ETHUSD,LONG,100,ARCA,262.25,26.225
2017-07-06 01:00:00,ETHUSD,SHORT,100,ARCA,260.89,26.089
2017-07-06 02:00:00,ETHUSD,LONG,100,ARCA,261.47,26.147000000000006
2017-07-06 03:00:00,ETHUSD,SHORT,100,ARCA,264.68,26.468000000000004
2017-07-06 04:00:00,ETHUSD,LONG,100,ARCA,262.01,26.201
2017-07-06 05:00:00,ETHUSD,SHORT,100,ARCA,262.02,26.201999999999998
2017-07-06 06:00:00,ETHUSD,LONG,100,ARCA,265.5,26.55
2017-07-06 07:00:00,ETHUSD,SHORT,100,ARCA,269.03,26.903
2017-07-06 08:00:00,ETHUSD,LONG,100,ARCA,272.55,27.255000000000003
2017-07-06 09:00:00,ETHUSD,SHORT,100,ARCA,268.48,26.848000000000003
2017-07-06 13:00:00,ETHUSD,LONG,100,ARCA,264.14,26.414
2017-07-06 14:00:00,ETHUSD,SHORT,100,ARCA,264.0,26.400000000000002
2017-07-06 15:00:00,ETHUSD,LONG,100,ARCA,264.98,26.498000000000005
2017-07-06 16:00:00,ETHUSD,SHORT,100,ARCA,263.88,26.388
2017-07-06 17:00:00,ETHUSD,LONG,100,ARCA,263.95,26.395
2017-07-06 18:00:00,ETHUSD,SHORT,100,ARCA,261.58,26.158
2017-07-06 19:00:00,ETHUSD,LONG,100,ARCA,260.93,26.093000000000004
2017-07-06 20:00:00,ETHUSD,SHORT,100,ARCA,262.54,26.254000000000005
2017-07-06 21:00:00,ETHUSD,LONG,100,ARCA,261.7,26.17
2017-07-06 22:00:00,ETHUSD,SHORT,100,ARCA,265.35,26.535000000000004
2017-07-06 23:00:00,ETHUSD,LONG,100,ARCA,265.35,26.535000000000004
2017-07-07 00:00:00,ETHUSD,SHORT,100,ARCA,264.78,26.477999999999998
2017-07-07 01:00:00,ETHUSD,LONG,100,ARCA,263.58,26.358
2017-07-07 02:00:00,ETHUSD,SHORT,100,ARCA,261.43,26.143
2017-07-07 03:00:00,ETHUSD,LONG,100,ARCA,262.67,26.267000000000003
2017-07-07 04:00:00,ETHUSD,SHORT,100,ARCA,263.59,26.358999999999998
2017-07-07 05:00:00,ETHUSD,LONG,100,ARCA,263.66,26.366000000000003
2017-07-08 14:00:00,ETHUSD,SHORT,100,ARCA,244.43,24.443
2017-07-08 15:00:00,ETHUSD,LONG,100,ARCA,245.84,24.584000000000003
2017-07-08 16:00:00,ETHUSD,SHORT,100,ARCA,241.03,24.103
2017-07-08 17:00:00,ETHUSD,LONG,100,ARCA,237.94,23.794
2017-07-08 18:00:00,ETHUSD,SHORT,100,ARCA,240.63,24.063000000000002
2017-07-08 19:00:00,ETHUSD,LONG,100,ARCA,242.24,24.224000000000004
2017-07-08 20:00:00,ETHUSD,SHORT,100,ARCA,241.35,24.135
2017-07-08 21:00:00,ETHUSD,LONG,100,ARCA,242.49,24.249000000000002
2017-07-08 22:00:00,ETHUSD,SHORT,100,ARCA,240.89,24.089
2017-07-08 23:00:00,ETHUSD,LONG,100,ARCA,245.23,24.523
2017-07-09 00:00:00,ETHUSD,SHORT,100,ARCA,243.94,24.394000000000002
2017-07-09 01:00:00,ETHUSD,LONG,100,ARCA,245.0,24.5
2017-07-09 02:00:00,ETHUSD,SHORT,100,ARCA,245.0,24.5
2017-07-09 08:00:00,ETHUSD,LONG,100,ARCA,240.4,24.040000000000003
2017-07-09 09:00:00,ETHUSD,SHORT,100,ARCA,240.42,24.042
2017-07-09 10:00:00,ETHUSD,LONG,100,ARCA,241.18,24.118000000000002
2017-07-09 11:00:00,ETHUSD,SHORT,100,ARCA,241.73,24.173000000000002
2017-07-09 12:00:00,ETHUSD,LONG,100,ARCA,238.62,23.862000000000002
2017-07-09 13:00:00,ETHUSD,SHORT,100,ARCA,238.74,23.874000000000002
2017-07-09 14:00:00,ETHUSD,LONG,100,ARCA,237.81,23.781000000000002
2017-07-09 15:00:00,ETHUSD,SHORT,100,ARCA,240.57,24.057000000000002
2017-07-09 16:00:00,ETHUSD,LONG,100,ARCA,239.3,23.930000000000003
2017-07-09 17:00:00,ETHUSD,SHORT,100,ARCA,239.84,23.984
2017-07-09 18:00:00,ETHUSD,LONG,100,ARCA,239.68,23.968000000000004
2017-07-09 19:00:00,ETHUSD,SHORT,100,ARCA,240.6,24.060000000000002
2017-07-09 20:00:00,ETHUSD,LONG,100,ARCA,240.93,24.093000000000004
2017-07-09 21:00:00,ETHUSD,SHORT,100,ARCA,240.3,24.03
2017-07-09 22:00:00,ETHUSD,LONG,100,ARCA,238.92,23.892
2017-07-11 12:00:00,ETHUSD,SHORT,100,ARCA,207.55,20.755000000000003
2017-07-11 13:00:00,ETHUSD,LONG,100,ARCA,199.14,19.914
2017-07-11 14:00:00,ETHUSD,SHORT,100,ARCA,195.37,19.537000000000003
2017-07-11 15:00:00,ETHUSD,LONG,100,ARCA,193.8,19.380000000000003
2017-07-11 16:00:00,ETHUSD,SHORT,100,ARCA,198.42,19.842
2017-07-11 17:00:00,ETHUSD,LONG,100,ARCA,195.53,19.553
2017-07-11 18:00:00,ETHUSD,SHORT,100,ARCA,190.8,19.080000000000002
2017-07-11 19:00:00,ETHUSD,LONG,100,ARCA,184.06,18.406000000000002
2017-07-11 20:00:00,ETHUSD,SHORT,100,ARCA,188.61,18.861
2017-07-11 21:00:00,ETHUSD,LONG,100,ARCA,187.6,18.76
2017-07-11 22:00:00,ETHUSD,SHORT,100,ARCA,191.65,19.165000000000003
2017-07-11 23:00:00,ETHUSD,LONG,100,ARCA,188.63,18.863
2017-07-12 00:00:00,ETHUSD,SHORT,100,ARCA,185.1,18.51
2017-07-12 01:00:00,ETHUSD,LONG,100,ARCA,181.66,18.166
2017-07-12 02:00:00,ETHUSD,SHORT,100,ARCA,182.7,18.27
2017-07-12 03:00:00,ETHUSD,LONG,100,ARCA,185.87,18.587
2017-07-12 04:00:00,ETHUSD,SHORT,100,ARCA,194.72,19.472
2017-07-12 05:00:00,ETHUSD,LONG,100,ARCA,192.03,19.203000000000003
2017-07-12 06:00:00,ETHUSD,SHORT,100,ARCA,196.67,19.667
2017-07-12 07:00:00,ETHUSD,LONG,100,ARCA,196.58,19.658
2017-07-12 08:00:00,ETHUSD,SHORT,100,ARCA,202.4,20.240000000000002
2017-07-12 09:00:00,ETHUSD,LONG,100,ARCA,201.0,20.1
2017-07-12 10:00:00,ETHUSD,SHORT,100,ARCA,198.84,19.884
2017-07-12 11:00:00,ETHUSD,LONG,100,ARCA,200.55,20.055000000000003
2017-07-12 12:00:00,ETHUSD,SHORT,100,ARCA,197.42,19.742
2017-07-12 13:00:00,ETHUSD,LONG,100,ARCA,198.77,19.877000000000002
2017-07-12 14:00:00,ETHUSD,SHORT,100,ARCA,202.5,20.25
2017-07-12 15:00:00,ETHUSD,LONG,100,ARCA,201.98,20.198
2017-07-12 16:00:00,ETHUSD,SHORT,100,ARCA,205.17,20.517
2017-07-13 07:00:00,ETHUSD,LONG,100,ARCA,204.58,20.458000000000002
2017-07-13 08:00:00,ETHUSD,SHORT,100,ARCA,207.82,20.782
2017-07-13 09:00:00,ETHUSD,LONG,100,ARCA,202.93,20.293000000000003
2017-07-13 10:00:00,ETHUSD,SHORT,100,ARCA,203.75,20.375
2017-07-13 11:00:00,ETHUSD,LONG,100,ARCA,208.27,20.827
2017-07-13 12:00:00,ETHUSD,SHORT,100,ARCA,207.44,20.744
2017-07-13 13:00:00,ETHUSD,LONG,100,ARCA,205.94,20.594
2017-07-13 14:00:00,ETHUSD,SHORT,100,ARCA,206.6,20.66
2017-07-13 15:00:00,ETHUSD,LONG,100,ARCA,196.73,19.673000000000002
2017-07-13 23:00:00,ETHUSD,SHORT,100,ARCA,205.0,20.5
2017-07-14 00:00:00,ETHUSD,LONG,100,ARCA,201.7,20.17
2017-07-14 07:00:00,ETHUSD,SHORT,100,ARCA,201.87,20.187
2017-07-14 08:00:00,ETHUSD,LONG,100,ARCA,200.0,20.0
2017-07-14 09:00:00,ETHUSD,SHORT,100,ARCA,200.99,20.099000000000004
2017-07-14 10:00:00,ETHUSD,LONG,100,ARCA,200.68,20.068
2017-07-14 11:00:00,ETHUSD,SHORT,100,ARCA,199.08,19.908
2017-07-14 12:00:00,ETHUSD,LONG,100,ARCA,190.79,19.079
2017-07-14 19:00:00,ETHUSD,SHORT,100,ARCA,191.26,19.126
2017-07-14 20:00:00,ETHUSD,LONG,100,ARCA,188.49,18.849
2017-07-14 21:00:00,ETHUSD,SHORT,100,ARCA,192.7,19.27
2017-07-14 22:00:00,ETHUSD,LONG,100,ARCA,194.91,19.491
2017-07-14 23:00:00,ETHUSD,SHORT,100,ARCA,196.49,19.649
2017-07-15 00:00:00,ETHUSD,LONG,100,ARCA,195.79,19.579
2017-07-15 01:00:00,ETHUSD,SHORT,100,ARCA,190.3,19.03
2017-07-15 02:00:00,ETHUSD,LONG,100,ARCA,185.73,18.573
2017-07-15 03:00:00,ETHUSD,SHORT,100,ARCA,185.94,18.594
2017-07-15 04:00:00,ETHUSD,LONG,100,ARCA,189.33,18.933000000000003
2017-07-15 05:00:00,ETHUSD,SHORT,100,ARCA,186.48,18.648
2017-07-15 06:00:00,ETHUSD,LONG,100,ARCA,187.5,18.75
2017-07-16 17:00:00,ETHUSD,SHORT,100,ARCA,158.37,15.837000000000002
2017-07-16 18:00:00,ETHUSD,LONG,100,ARCA,153.32,15.332
2017-07-16 22:00:00,ETHUSD,SHORT,100,ARCA,158.74,15.874000000000002
2017-07-16 23:00:00,ETHUSD,LONG,100,ARCA,157.18,15.718000000000002
2017-07-17 00:00:00,ETHUSD,SHORT,100,ARCA,161.64,16.163999999999998
2017-07-17 01:00:00,ETHUSD,LONG,100,ARCA,166.43,16.643
2017-07-17 02:00:00,ETHUSD,SHORT,100,ARCA,161.44,16.144000000000002
2017-07-17 03:00:00,ETHUSD,LONG,100,ARCA,164.57,16.457
2017-07-17 04:00:00,ETHUSD,SHORT,100,ARCA,164.61,16.461000000000002
2017-07-17 05:00:00,ETHUSD,LONG,100,ARCA,166.89,16.689
2017-07-17 06:00:00,ETHUSD,SHORT,100,ARCA,171.8,17.180000000000003
2017-07-17 12:00:00,ETHUSD,LONG,100,ARCA,165.0,16.5
2017-07-17 13:00:00,ETHUSD,SHORT,100,ARCA,165.25,16.525000000000002
2017-07-17 14:00:00,ETHUSD,LONG,100,ARCA,173.15,17.315
2017-07-17 15:00:00,ETHUSD,SHORT,100,ARCA,169.3,16.930000000000003
2017-07-17 16:00:00,ETHUSD,LONG,100,ARCA,170.37,17.037000000000003
