,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,b,s,window
0,-1.23%,-0.03%,1.28%,0 days 01:00:09.000000000,7.97%,23.4651282196258,6572,-3.2624140185875707,-0.23113925000000013,48%,416,-8.93%,0 days 01:00:00.000000000,90,10,5
1,-1.20%,-0.05%,1.23%,0 days 01:00:18.000000000,7.08%,53.12757962837216,3514,0.21458073250203105,-0.05016578999999921,47%,398,-8.93%,0 days 01:00:00.000000000,80,10,5
2,-1.18%,0.13%,1.29%,0 days 01:00:10.000000000,8.22%,9.390054962045111,6095,-0.9797329042792727,-0.08233312999999931,53%,350,-5.35%,0 days 01:00:00.000000000,70,10,5
3,-1.32%,-0.04%,1.26%,0 days 01:08:09.000000000,7.08%,24.75475550522445,6531,-2.9331636077511054,-0.2228771300000002,50%,390,-5.69%,0 days 06:00:00.000000000,90,20,5
4,-1.17%,-0.01%,1.25%,0 days 01:09:03.000000000,7.08%,52.07862692505009,3455,0.26581784150822374,-0.010432149999998419,48%,371,-5.69%,0 days 06:00:00.000000000,80,20,5
5,-1.19%,0.02%,1.21%,0 days 01:10:00.000000000,6.41%,17.0094391811685,6535,-1.9516999957464316,-0.14894764999999932,50%,324,-5.69%,0 days 06:00:00.000000000,70,20,5
6,-1.24%,0.05%,1.31%,0 days 01:32:12.000000000,7.08%,50.713010753519605,2000,0.39564262190711724,0.04375942000000044,51%,328,-15.80%,0 days 18:00:00.000000000,90,30,5
7,-1.20%,0.06%,1.29%,0 days 01:34:15.000000000,7.08%,50.263739917391305,2000,0.4360948937005719,0.06223151000000193,51%,310,-15.80%,0 days 18:00:00.000000000,80,30,5
8,-1.20%,0.11%,1.32%,0 days 01:41:32.000000000,6.41%,49.574877626965325,2000,0.5008426761800515,0.09120481000000069,52%,260,-15.80%,0 days 18:00:00.000000000,70,30,5
9,-1.17%,-0.07%,1.25%,0 days 01:01:01.000000000,8.22%,54.26724350270599,3577,0.1325947590983972,-0.09159445999999982,45%,412,-5.34%,0 days 01:00:00.000000000,90,10,10
10,-1.16%,-0.07%,1.19%,0 days 01:00:57.000000000,8.22%,23.86536361942314,6572,-3.149300067134477,-0.23515996999999944,46%,380,-8.93%,0 days 01:00:00.000000000,80,10,10
11,-1.13%,-0.06%,1.24%,0 days 01:01:04.000000000,8.22%,20.892674694362576,6572,-2.964474460450905,-0.2033713300000003,45%,337,-5.34%,0 days 01:00:00.000000000,70,10,10
12,-1.21%,0.04%,1.26%,0 days 01:15:29.000000000,7.08%,16.10922854357269,6531,-1.7180831895911786,-0.14438443999999906,51%,368,-13.09%,0 days 15:00:00.000000000,90,20,10
13,-1.14%,0.05%,1.24%,0 days 01:16:36.000000000,6.41%,13.785325412389884,6516,-1.6727160765145526,-0.12285127999999734,50%,336,-13.09%,0 days 15:00:00.000000000,80,20,10
