,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,b,s,window
3,-0.96%,0.17%,0.86%,0 days 01:08:34.000000000,3.27%,2.7433109999999816,3118,1.5687785933836726,-0.0035576499999998568,62%,21,-2.37%,0 days 01:00:00.000000000,90,20,26
6,-0.96%,0.17%,0.86%,0 days 01:08:34.000000000,3.27%,2.7433109999999816,3118,1.5687785933836726,-0.0035576499999998568,62%,21,-2.37%,0 days 01:00:00.000000000,80,20,45
1,-0.97%,0.15%,0.93%,0 days 01:10:35.000000000,3.27%,2.7433109999999816,3118,1.5441353479428208,-0.004572669999999612,59%,17,-2.37%,0 days 01:00:00.000000000,70,20,45
0,-0.71%,-0.09%,0.79%,0 days 02:00:00.000000000,1.32%,3.0065130000000106,3118,1.42298034781435,-0.013483320000000187,42%,12,-1.63%,0 days 12:00:00.000000000,70,30,45
5,-0.64%,-0.09%,0.79%,0 days 01:55:23.000000000,1.32%,3.0065130000000106,3118,1.1198223637371791,-0.014865360000000272,38%,13,-1.63%,0 days 12:00:00.000000000,80,30,30
4,-0.80%,-0.07%,0.76%,0 days 01:40:00.000000000,1.37%,2.7238509999999994,3118,-1.7589869956229418,-0.016162570000000098,47%,15,-1.82%,0 days 04:00:00.000000000,70,30,5
2,-0.94%,0.13%,0.85%,0 days 01:09:00.000000000,3.27%,33.57766871339426,2278,0.054517114479268346,-0.03355993999999973,60%,20,-2.37%,0 days 01:00:00.000000000,80,20,35
7,-0.72%,-0.36%,0.72%,0 days 01:45:00.000000000,1.32%,34.249498018298205,2278,-0.08052535316830962,-0.061979620000000235,25%,16,-1.63%,0 days 12:00:00.000000000,80,30,35
8,-0.72%,-0.36%,0.72%,0 days 01:45:00.000000000,1.32%,34.249498018298205,2278,-0.08052535316830962,-0.061979620000000235,25%,16,-1.63%,0 days 12:00:00.000000000,90,30,30
9,-0.72%,-0.36%,0.72%,0 days 01:45:00.000000000,1.32%,34.249498018298205,2278,-0.08052535316830962,-0.061979620000000235,25%,16,-1.63%,0 days 12:00:00.000000000,80,30,45
