KDJStrategy_26_30_70,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:01:00+00:00,ETHUSDT,LONG,1,ARCA,480.95,0.013
2018-07-25 00:02:00+00:00,ETHUSDT,SHORT,1,ARCA,480.51,0.013
2018-07-25 00:03:00+00:00,ETHUSDT,LONG,1,ARCA,481.21,0.013
2018-07-25 00:04:00+00:00,ETHUSDT,SHORT,1,ARCA,481.28,0.013
2018-07-25 00:32:00+00:00,ETHUSDT,LONG,1,ARCA,483.74,0.013
2018-07-25 00:33:00+00:00,ETHUSDT,SHORT,1,ARCA,483.22,0.013
2018-07-25 00:34:00+00:00,ETHUSDT,LONG,1,ARCA,483.13,0.013
2018-07-25 00:35:00+00:00,ETHUSDT,SHORT,1,ARCA,482.8,0.013
2018-07-25 00:36:00+00:00,ETHUSDT,LONG,1,ARCA,482.01,0.013
2018-07-25 00:47:00+00:00,ETHUSDT,SHORT,1,ARCA,481.76,0.013
2018-07-25 00:48:00+00:00,ETHUSDT,LONG,1,ARCA,481.07,0.013
2018-07-25 01:11:00+00:00,ETHUSDT,SHORT,1,ARCA,479.87,0.013
2018-07-25 01:12:00+00:00,ETHUSDT,LONG,1,ARCA,479.8,0.013
2018-07-25 01:13:00+00:00,ETHUSDT,SHORT,1,ARCA,480.13,0.013
2018-07-25 01:14:00+00:00,ETHUSDT,LONG,1,ARCA,479.77,0.013
2018-07-25 01:15:00+00:00,ETHUSDT,SHORT,1,ARCA,480.11,0.013
2018-07-25 01:16:00+00:00,ETHUSDT,LONG,1,ARCA,480.31,0.013
2018-07-25 01:17:00+00:00,ETHUSDT,SHORT,1,ARCA,481.07,0.013
2018-07-25 01:30:00+00:00,ETHUSDT,LONG,1,ARCA,480.48,0.013
2018-07-25 01:31:00+00:00,ETHUSDT,SHORT,1,ARCA,480.5,0.013
2018-07-25 01:32:00+00:00,ETHUSDT,LONG,1,ARCA,480.45,0.013
2018-07-25 01:33:00+00:00,ETHUSDT,SHORT,1,ARCA,480.3,0.013
2018-07-25 01:34:00+00:00,ETHUSDT,LONG,1,ARCA,480.5,0.013
2018-07-25 01:35:00+00:00,ETHUSDT,SHORT,1,ARCA,480.21,0.013
2018-07-25 01:36:00+00:00,ETHUSDT,LONG,1,ARCA,480.2,0.013
2018-07-25 01:37:00+00:00,ETHUSDT,SHORT,1,ARCA,480.55,0.013
