,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,b,s,window
0,-0.07%,-0.00%,0.07%,0 days 00:01:00.000000000,0.21%,1.8862289160700163,237,-0.7954991567568769,-0.008043999999989393,49%,127,-0.32%,0 days 00:01:00.000000000,90,10,5
1,-0.06%,0.00%,0.08%,0 days 00:01:00.000000000,0.25%,1.4928937778506444,136,-0.4996932494179108,-0.004577999999989535,46%,117,-0.17%,0 days 00:01:00.000000000,80,10,5
2,-0.07%,-0.02%,0.07%,0 days 00:01:00.000000000,0.23%,2.4951999999993424,259,-2.4789667293304767,-0.02238799999999108,39%,104,-0.32%,0 days 00:01:00.000000000,70,10,5
3,-0.08%,-0.00%,0.07%,0 days 00:01:02.903225806,0.23%,2.2207443366332926,237,-1.1231944725404093,-0.011527999999989214,49%,124,-0.32%,0 days 00:01:00.000000000,90,20,5
4,-0.07%,0.01%,0.08%,0 days 00:01:03.716814159,0.25%,1.2596465023643337,214,0.479692407456429,0.004650000000010257,52%,113,-0.25%,0 days 00:01:00.000000000,80,20,5
5,-0.07%,-0.01%,0.07%,0 days 00:01:02.970297029,0.23%,2.1371999999994395,259,-1.7357049569758085,-0.01617199999999197,43%,101,-0.32%,0 days 00:01:00.000000000,70,20,5
6,-0.07%,-0.00%,0.07%,0 days 00:01:24.000000000,0.28%,1.4840139461063886,237,-0.32193203925683817,-0.0035059999999907943,50%,105,-0.26%,0 days 00:01:00.000000000,90,30,5
7,-0.07%,0.01%,0.08%,0 days 00:01:25.000000000,0.28%,0.8177725792555366,136,0.2870225932325866,0.0027220000000076627,51%,96,-0.24%,0 days 00:11:00.000000000,80,30,5
8,-0.07%,-0.00%,0.08%,0 days 00:01:28.235294117,0.28%,1.7735999999993535,259,-0.5684146356923009,-0.005765999999991167,44%,85,-0.26%,0 days 00:01:00.000000000,70,30,5
9,-0.07%,-0.00%,0.07%,0 days 00:01:00.500000000,0.25%,2.1828986043689365,215,-1.188938079260803,-0.011413999999989266,45%,120,-0.25%,0 days 00:01:00.000000000,90,10,10
10,-0.06%,0.00%,0.07%,0 days 00:01:00.545454545,0.23%,1.0678210678206927,215,-0.06906206842361451,-0.0006199999999897399,47%,110,-0.25%,0 days 00:01:00.000000000,80,10,10
11,-0.08%,-0.02%,0.08%,0 days 00:01:01.250000000,0.25%,3.089599999999204,259,-2.5519804842900955,-0.025365999999991007,38%,96,-0.32%,0 days 00:01:00.000000000,70,10,10
12,-0.08%,0.00%,0.08%,0 days 00:01:15.849056603,0.40%,1.490993777084006,215,-0.3664189775756903,-0.003825999999990448,51%,106,-0.41%,0 days 00:12:00.000000000,90,20,10
13,-0.07%,-0.01%,0.07%,0 days 00:01:16.701030927,0.40%,2.0167201395525436,215,-1.6637257564498302,-0.014783999999991693,44%,97,-0.41%,0 days 00:12:00.000000000,80,20,10
14,-0.09%,-0.02%,0.08%,0 days 00:01:18.571428571,0.27%,2.929199999999288,259,-2.311340448452461,-0.02376199999999218,38%,84,-0.32%,0 days 00:01:00.000000000,70,20,10
15,-0.08%,-0.01%,0.07%,0 days 00:01:47.441860465,0.25%,2.234555512774289,228,-1.0488084072374546,-0.011465999999992982,48%,86,-0.78%,0 days 00:21:00.000000000,90,30,10
16,-0.08%,-0.00%,0.07%,0 days 00:01:51.428571428,0.25%,1.3609581975728857,228,-0.46475561733551246,-0.004897999999993741,51%,77,-0.78%,0 days 00:21:00.000000000,80,30,10
17,-0.09%,-0.02%,0.08%,0 days 00:02:01.875000000,0.25%,2.3331999999994357,259,-1.5400625590455954,-0.016161999999992904,42%,64,-0.72%,0 days 00:20:00.000000000,70,30,10
18,-0.07%,-0.00%,0.07%,0 days 00:01:00.500000000,0.25%,2.1828986043689365,215,-1.188938079260803,-0.011413999999989266,45%,120,-0.25%,0 days 00:01:00.000000000,90,10,12
19,-0.06%,-0.01%,0.07%,0 days 00:01:00.550458715,0.23%,2.2807384186686543,215,-2.1719619589589154,-0.01806799999999087,40%,109,-0.25%,0 days 00:01:00.000000000,80,10,12
20,-0.06%,0.00%,0.08%,0 days 00:01:00.631578947,0.25%,1.5719738157320455,215,-0.3145213957595121,-0.0028139999999917675,46%,95,-0.25%,0 days 00:01:00.000000000,70,10,12
21,-0.07%,0.01%,0.08%,0 days 00:01:18.285714285,0.40%,1.2424957438544397,192,0.6589990758217243,0.006826000000007992,54%,105,-0.41%,0 days 00:12:00.000000000,90,20,12
22,-0.07%,-0.00%,0.07%,0 days 00:01:20.425531914,0.40%,1.7532854186950237,215,-0.9019724154225637,-0.008387999999992624,46%,94,-0.41%,0 days 00:12:00.000000000,80,20,12
23,-0.07%,0.00%,0.08%,0 days 00:01:23.250000000,0.40%,1.266831025980974,215,-0.046185906194865955,-0.0004739999999923139,49%,80,-0.24%,0 days 00:11:00.000000000,70,20,12
24,-0.09%,0.00%,0.08%,0 days 00:01:48.139534883,0.25%,1.8453386745078213,228,-0.18201294005558472,-0.0021459999999923207,52%,86,-0.65%,0 days 00:19:00.000000000,90,30,12
25,-0.08%,0.01%,0.09%,0 days 00:01:56.000000000,0.25%,1.4254046860374996,228,0.1639302688944098,0.0017260000000065556,53%,75,-0.65%,0 days 00:19:00.000000000,80,30,12
26,-0.09%,0.00%,0.09%,0 days 00:02:05.806451612,0.25%,1.2077999999997258,259,-0.1694177618419264,-0.0018379999999951213,52%,62,-0.72%,0 days 00:20:00.000000000,70,30,12
27,-0.07%,-0.00%,0.08%,0 days 00:01:04.821428571,0.25%,1.7100721994987629,233,-0.946097857379781,-0.009657999999988953,46%,112,-0.32%,0 days 00:01:00.000000000,90,10,26
28,-0.06%,0.01%,0.08%,0 days 00:01:04.077669902,0.28%,1.1039637175200094,190,-0.007860751239614123,-0.00010999999998984045,46%,103,-0.16%,0 days 00:01:00.000000000,80,10,26
29,-0.07%,-0.01%,0.08%,0 days 00:01:05.925925925,0.25%,1.667599999999403,259,-1.2794991733793464,-0.011145999999992995,42%,81,-0.32%,0 days 00:01:00.000000000,70,10,26
30,-0.08%,-0.00%,0.08%,0 days 00:01:30.322580645,0.28%,1.4038680727296706,233,-0.5923649340120799,-0.006589999999990992,49%,93,-0.32%,0 days 00:01:00.000000000,90,20,26
31,-0.07%,0.01%,0.09%,0 days 00:01:32.142857142,0.39%,0.8901486896411213,148,0.29674189285821573,0.0029180000000075257,50%,84,-0.21%,0 days 00:12:00.000000000,80,20,26
32,-0.08%,-0.01%,0.09%,0 days 00:01:43.809523809,0.28%,1.4579999999995596,259,-0.9028436463332599,-0.009049999999995118,41%,63,-0.32%,0 days 00:01:00.000000000,70,20,26
33,-0.08%,0.01%,0.08%,0 days 00:01:58.481012658,0.25%,1.2140374830576761,226,0.3542139974958053,0.004018000000008071,56%,79,-0.32%,0 days 00:22:00.000000000,90,30,26
34,-0.09%,0.02%,0.09%,0 days 00:02:10.746268656,0.25%,1.10315034665572,205,0.5590537222680428,0.006162000000005552,58%,67,-0.32%,0 days 00:22:00.000000000,80,30,26
35,-0.09%,0.01%,0.09%,0 days 00:02:39.574468085,0.25%,0.9985999999997719,252,0.1597569226677408,0.0016020000000043222,55%,47,-0.32%,0 days 00:22:00.000000000,70,30,26
36,-0.07%,-0.01%,0.07%,0 days 00:01:04.247787610,0.25%,2.264193878711138,233,-1.4559802097316463,-0.015209999999990065,45%,113,-0.32%,0 days 00:01:00.000000000,90,10,30
37,-0.07%,-0.02%,0.06%,0 days 00:01:04.158415841,0.21%,2.2664548297801677,254,-2.487115504220363,-0.021911999999990828,41%,101,-0.32%,0 days 00:01:00.000000000,80,10,30
38,-0.07%,-0.02%,0.05%,0 days 00:01:05.000000000,0.21%,2.3707999999992846,259,-2.8697947001284865,-0.023707999999992846,38%,84,-0.32%,0 days 00:01:00.000000000,70,10,30
39,-0.08%,-0.00%,0.08%,0 days 00:01:28.723404255,0.41%,1.6825258047832181,233,-0.8553868319558091,-0.009381999999992119,48%,94,-0.32%,0 days 00:01:00.000000000,90,20,30
40,-0.07%,-0.01%,0.07%,0 days 00:01:31.807228915,0.41%,1.5973700250798832,254,-1.6084518036047009,-0.015215999999991792,42%,83,-0.32%,0 days 00:01:00.000000000,80,20,30
41,-0.08%,-0.03%,0.06%,0 days 00:01:40.615384615,0.41%,2.0999999999995023,259,-2.411202273209217,-0.020999999999995023,37%,65,-0.32%,0 days 00:01:00.000000000,70,20,30
42,-0.08%,0.01%,0.09%,0 days 00:01:58.481012658,0.27%,1.1361889762517425,233,0.12363554262140702,0.0013780000000067627,53%,79,-0.26%,0 days 00:01:00.000000000,90,30,30
43,-0.08%,-0.00%,0.07%,0 days 00:02:10.909090909,0.27%,1.025610280084007,254,-0.5954177450456446,-0.006271999999994837,48%,66,-0.30%,0 days 00:17:00.000000000,80,30,30
44,-0.08%,-0.02%,0.07%,0 days 00:02:37.500000000,0.27%,1.0395999999997074,259,-1.0690667660893907,-0.010395999999997074,44%,48,-0.25%,0 days 00:27:00.000000000,70,30,30
45,-0.07%,-0.01%,0.07%,0 days 00:01:04.821428571,0.25%,2.1352448135918753,233,-1.309991412354962,-0.013917999999990327,46%,112,-0.32%,0 days 00:01:00.000000000,90,10,35
46,-0.07%,-0.00%,0.07%,0 days 00:01:04.752475247,0.25%,1.7152792349883275,254,-0.878656842895805,-0.0086859999999912,46%,101,-0.32%,0 days 00:01:00.000000000,80,10,35
47,-0.07%,-0.02%,0.06%,0 days 00:01:06.666666666,0.22%,2.0035999999993503,259,-2.141379141098938,-0.018251999999993274,41%,81,-0.32%,0 days 00:01:00.000000000,70,10,35
48,-0.08%,0.01%,0.08%,0 days 00:01:31.612903225,0.41%,1.5270284027278784,233,0.1589537347561311,0.001690000000008407,53%,93,-0.32%,0 days 00:01:00.000000000,90,20,35
49,-0.07%,0.01%,0.09%,0 days 00:01:35.555555555,0.41%,1.1603065639454022,231,0.6522339184542191,0.006614000000007225,53%,81,-0.32%,0 days 00:01:00.000000000,80,20,35
50,-0.08%,0.00%,0.08%,0 days 00:01:48.196721311,0.41%,1.072199999999801,259,-0.14587440281050823,-0.0013719999999951549,52%,61,-0.32%,0 days 00:01:00.000000000,70,20,35
51,-0.08%,0.01%,0.09%,0 days 00:01:57.721518987,0.28%,1.6428031051570673,233,0.03172439467862918,0.00029800000000679283,52%,79,-0.32%,0 days 00:01:00.000000000,90,30,35
52,-0.08%,0.01%,0.09%,0 days 00:02:08.955223880,0.28%,1.3401680705854138,239,0.4305826668711792,0.004582000000005193,54%,67,-0.32%,0 days 00:01:00.000000000,80,30,35
53,-0.08%,-0.01%,0.07%,0 days 00:02:35.000000000,0.28%,1.5233999999998526,259,-0.6536861817693357,-0.00611599999999668,48%,48,-0.32%,0 days 00:01:00.000000000,70,30,35
54,-0.07%,0.01%,0.08%,0 days 00:01:04.247787610,0.25%,1.7210508350745044,233,-0.008637130455545053,-0.0001499999999901025,51%,113,-0.32%,0 days 00:01:00.000000000,90,10,45
55,-0.06%,0.01%,0.08%,0 days 00:01:04.242424242,0.25%,1.360552374671022,239,0.5848978599202412,0.005818000000009427,53%,99,-0.32%,0 days 00:01:00.000000000,80,10,45
56,-0.05%,0.01%,0.08%,0 days 00:01:05.000000000,0.27%,0.8417988415792638,150,0.6469454478807969,0.004872000000008203,50%,84,-0.17%,0 days 00:01:00.000000000,70,10,45
57,-0.08%,0.01%,0.08%,0 days 00:01:25.360824742,0.25%,1.6759386234384026,233,-0.0037144675153371384,-9.799999999104969e-05,53%,97,-0.32%,0 days 00:01:00.000000000,90,20,45
58,-0.07%,0.01%,0.08%,0 days 00:01:29.268292682,0.25%,1.3021973080723888,239,0.5991832104883478,0.006002000000007834,55%,82,-0.32%,0 days 00:01:00.000000000,80,20,45
59,-0.06%,0.01%,0.07%,0 days 00:01:38.181818181,0.16%,0.9936713783947679,177,0.32663425218559133,0.002608000000006827,55%,66,-0.25%,0 days 00:14:00.000000000,70,20,45
60,-0.07%,0.00%,0.08%,0 days 00:01:51.951219512,0.25%,1.7350236439884383,233,-0.18582297276898815,-0.0021579999999916666,50%,82,-0.32%,0 days 00:01:00.000000000,90,30,45
61,-0.07%,0.01%,0.08%,0 days 00:02:05.454545454,0.25%,1.5160326548554577,253,0.23026144718177374,0.0023940000000055583,53%,66,-0.32%,0 days 00:01:00.000000000,80,30,45
62,-0.06%,0.01%,0.07%,0 days 00:02:20.769230769,0.14%,0.993972718620968,177,0.10170323144345098,0.0008360000000042778,52%,52,-0.23%,0 days 00:16:00.000000000,70,30,45
63,-0.07%,0.00%,0.08%,0 days 00:01:02.608695652,0.25%,1.9909256586676516,233,-0.2650007682914216,-0.0028539999999876997,50%,115,-0.32%,0 days 00:01:00.000000000,90,10,60
64,-0.07%,0.01%,0.08%,0 days 00:01:03.061224489,0.25%,1.660321552404223,253,0.18449777377418916,0.0017500000000088,53%,98,-0.32%,0 days 00:01:00.000000000,80,10,60
65,-0.05%,0.01%,0.07%,0 days 00:01:03.571428571,0.23%,0.7766850936664642,150,0.7563052516494178,0.005672000000008559,51%,84,-0.17%,0 days 00:01:00.000000000,70,10,60
66,-0.08%,0.00%,0.08%,0 days 00:01:22.424242424,0.25%,1.7390158751062874,233,-0.41421627148547896,-0.004661999999989841,51%,99,-0.32%,0 days 00:01:00.000000000,90,20,60
67,-0.08%,0.01%,0.08%,0 days 00:01:27.073170731,0.25%,1.4081157508712066,254,-0.0006317604334429796,-5.799999999223093e-05,54%,82,-0.32%,0 days 00:01:00.000000000,80,20,60
68,-0.06%,0.01%,0.07%,0 days 00:01:31.304347826,0.33%,0.9577633899015251,177,0.300955805835404,0.002352000000006793,52%,69,-0.25%,0 days 00:14:00.000000000,70,20,60
69,-0.09%,-0.00%,0.08%,0 days 00:02:03.116883116,0.25%,1.6000862321917928,233,-0.5549232536829033,-0.00645799999999408,51%,77,-0.32%,0 days 00:01:00.000000000,90,30,60
70,-0.10%,0.00%,0.08%,0 days 00:02:19.672131147,0.25%,1.2322511666013958,254,-0.022931053853655056,-0.00030599999999547656,56%,61,-0.32%,0 days 00:01:00.000000000,80,30,60
71,-0.07%,-0.00%,0.07%,0 days 00:02:44.347826086,0.23%,0.8337405630738169,183,-0.32549495838583226,-0.002911999999995807,48%,46,-0.28%,0 days 00:45:00.000000000,70,30,60
