,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,b,s,window
0,-0.07%,0.01%,0.08%,0 days 00:01:18.285714285,0.40%,1.2424957438544397,192,0.6589990758217243,0.006826000000007992,54%,105,-0.41%,0 days 00:12:00.000000000,90,20,12
1,-0.07%,0.01%,0.09%,0 days 00:01:35.555555555,0.41%,1.1603065639454022,231,0.6522339184542191,0.006614000000007225,53%,81,-0.32%,0 days 00:01:00.000000000,80,20,35
2,-0.09%,0.02%,0.09%,0 days 00:02:10.746268656,0.25%,1.10315034665572,205,0.5590537222680428,0.006162000000005552,58%,67,-0.32%,0 days 00:22:00.000000000,80,30,26
3,-0.07%,0.01%,0.08%,0 days 00:01:29.268292682,0.25%,1.3021973080723888,239,0.5991832104883478,0.006002000000007834,55%,82,-0.32%,0 days 00:01:00.000000000,80,20,45
4,-0.06%,0.01%,0.08%,0 days 00:01:04.242424242,0.25%,1.360552374671022,239,0.5848978599202412,0.005818000000009427,53%,99,-0.32%,0 days 00:01:00.000000000,80,10,45
5,-0.05%,0.01%,0.07%,0 days 00:01:03.571428571,0.23%,0.7766850936664642,150,0.7563052516494178,0.005672000000008559,51%,84,-0.17%,0 days 00:01:00.000000000,70,10,60
6,-0.05%,0.01%,0.08%,0 days 00:01:05.000000000,0.27%,0.8417988415792638,150,0.6469454478807969,0.004872000000008203,50%,84,-0.17%,0 days 00:01:00.000000000,70,10,45
7,-0.07%,0.01%,0.08%,0 days 00:01:03.716814159,0.25%,1.2596465023643337,214,0.479692407456429,0.004650000000010257,52%,113,-0.25%,0 days 00:01:00.000000000,80,20,5
8,-0.08%,0.01%,0.09%,0 days 00:02:08.955223880,0.28%,1.3401680705854138,239,0.4305826668711792,0.004582000000005193,54%,67,-0.32%,0 days 00:01:00.000000000,80,30,35
9,-0.08%,0.01%,0.08%,0 days 00:01:58.481012658,0.25%,1.2140374830576761,226,0.3542139974958053,0.004018000000008071,56%,79,-0.32%,0 days 00:22:00.000000000,90,30,26
