,Parameters,Target
0,"[1.0, 10.0, 90.0, 10.0]",-0.10348945154440925
1,"[13.0, 12.0, 88.0, 10.0]",-0.12902807913336245
2,"[25.0, 14.0, 86.0, 10.0]",0.2347104859548601
3,"[37.0, 16.0, 84.0, 10.0]",0.055064732038526465
4,"[49.0, 18.0, 82.0, 10.0]",-0.2347516540919744
5,"[61.0, 20.0, 80.0, 10.0]",-0.12258064718600159
6,"[73.0, 22.0, 78.0, 10.0]",0.36103555301394263
7,"[85.0, 24.0, 76.0, 10.0]",0.6563392166423656
8,"[97.0, 26.0, 74.0, 10.0]",0.052175534587910466
9,"[109.0, 28.0, 72.0, 10.0]",0.38185078553277085
10,"[120.0, 30.0, 89.0, 20.0]",0.45038937499081655
11,"[18.0, 30.0, 70.0, 0.0]",0.3077031345035379
12,"[86.0, 24.0, 76.0, 9.0]",0.6978003978648109
13,"[19.0, 30.0, 70.0, 20.0]",0.21941319660298264
14,"[84.0, 20.0, 80.0, 0.0]",0.7348439679716616
15,"[120.0, 30.0, 70.0, 0.0]",0.27301438661006516
16,"[1.0, 10.0, 70.0, 0.0]",0.178815053230998
17,"[26.0, 10.0, 70.0, 20.0]",0.1975120159474817
18,"[80.0, 30.0, 70.0, 0.0]",0.24321059239446918
19,"[90.0, 10.0, 90.0, 9.0]",-0.008190633110529921
20,"[68.0, 10.0, 90.0, 20.0]",0.5290560782932348
21,"[120.0, 17.0, 70.0, 20.0]",0.14117572179792104
22,"[84.0, 30.0, 89.0, 3.0]",-0.06738331283831922
23,"[83.0, 12.0, 70.0, 3.0]",0.19451561705741227
24,"[26.0, 10.0, 70.0, 0.0]",0.2546524233695511
25,"[120.0, 14.0, 90.0, 0.0]",0.14712528717688955
26,"[38.0, 21.0, 85.0, 6.0]",0.3619577954038622
27,"[1.0, 10.0, 70.0, 20.0]",0.178815053230998
28,"[76.0, 10.0, 79.0, 20.0]",0.6287809432206701
29,"[1.0, 30.0, 90.0, 20.0]",0.0
30,"[29.0, 30.0, 90.0, 0.0]",0.5858062187626645
31,"[1.0, 30.0, 90.0, 0.0]",-0.257039163108956
32,"[78.0, 10.0, 89.0, 20.0]",0.17673888000228488
33,"[34.0, 30.0, 75.0, 0.0]",0.9348042140382047
34,"[53.0, 15.0, 87.0, 11.0]",0.4964184732363557
35,"[120.0, 30.0, 90.0, 0.0]",0.4730623181295952
36,"[57.0, 10.0, 90.0, 0.0]",0.9963817264736283
37,"[1.0, 30.0, 70.0, 20.0]",0.17015369583410078
38,"[88.0, 10.0, 70.0, 20.0]",0.39029692499021196
39,"[120.0, 10.0, 90.0, 20.0]",-0.11033013902025901
40,"[113.0, 10.0, 70.0, 0.0]",0.015879822857877368
41,"[60.0, 10.0, 90.0, 7.0]",0.9400628055386151
42,"[84.0, 23.0, 73.0, 11.0]",0.5418693841532243
43,"[103.0, 13.0, 75.0, 10.0]",0.03939295033997814
44,"[105.0, 11.0, 82.0, 0.0]",0.1352581823403003
45,"[83.0, 15.0, 77.0, 19.0]",0.1556170023260406
46,"[116.0, 19.0, 76.0, 17.0]",0.36527713654382366
47,"[104.0, 18.0, 83.0, 15.0]",0.29231162910174935
48,"[67.0, 10.0, 90.0, 0.0]",0.2792731234766104
49,"[55.0, 16.0, 89.0, 14.0]",0.29582963013162455
50,"[105.0, 30.0, 90.0, 0.0]",0.5101489341929115
51,"[29.0, 30.0, 79.0, 0.0]",1.31228637137776
52,"[46.0, 24.0, 88.0, 19.0]",-0.03106344157714802
53,"[84.0, 22.0, 79.0, 1.0]",0.6796773993988918
54,"[29.0, 12.0, 85.0, 17.0]",0.23665553750356993
55,"[70.0, 19.0, 81.0, 9.0]",-0.0541320958848448
56,"[43.0, 29.0, 81.0, 12.0]",0.16476161511641774
57,"[53.0, 15.0, 79.0, 11.0]",0.26862548368327066
58,"[69.0, 11.0, 89.0, 18.0]",0.5520634962262283
59,"[56.0, 10.0, 70.0, 0.0]",0.27342901199264547
60,"[97.0, 23.0, 78.0, 5.0]",0.6283035531836108
61,"[43.0, 29.0, 86.0, 13.0]",-0.022609948735999308
62,"[69.0, 27.0, 87.0, 1.0]",0.29954616615689433
63,"[51.0, 20.0, 82.0, 10.0]",0.11321036615056013
64,"[75.0, 19.0, 83.0, 13.0]",0.07966083078884001
65,"[27.0, 24.0, 79.0, 0.0]",0.6024299545386
66,"[74.0, 18.0, 81.0, 0.0]",0.12797514546780597
67,"[1.0, 30.0, 70.0, 0.0]",-0.2850541885757648
68,"[57.0, 30.0, 70.0, 20.0]",0.7285250490959319
69,"[101.0, 24.0, 73.0, 17.0]",0.8939680733160085
70,"[108.0, 30.0, 70.0, 20.0]",0.5365182115366931
71,"[68.0, 16.0, 83.0, 1.0]",-0.0013272479338682919
72,"[81.0, 19.0, 78.0, 18.0]",0.42806443020789153
73,"[103.0, 18.0, 70.0, 20.0]",0.10995954421856435
74,"[34.0, 15.0, 85.0, 17.0]",0.11788552972289246
75,"[36.0, 18.0, 79.0, 14.0]",0.5716879231162864
76,"[63.0, 10.0, 70.0, 20.0]",0.3411496448357403
77,"[40.0, 10.0, 70.0, 0.0]",0.46655828035808966
78,"[94.0, 19.0, 85.0, 0.0]",0.07656139692087494
79,"[28.0, 30.0, 78.0, 7.0]",1.0144063613810257
80,"[37.0, 25.0, 70.0, 20.0]",0.8765737293428162
81,"[111.0, 25.0, 80.0, 0.0]",1.066605220945227
82,"[43.0, 10.0, 70.0, 20.0]",0.6905123637709325
83,"[47.0, 14.0, 88.0, 10.0]",0.8254736121174786
84,"[48.0, 10.0, 90.0, 5.0]",0.7372609230472691
85,"[32.0, 20.0, 70.0, 11.0]",0.4708073996788402
86,"[102.0, 30.0, 81.0, 20.0]",0.5399343224398172
87,"[54.0, 30.0, 70.0, 0.0]",0.572542365939495
88,"[51.0, 27.0, 90.0, 0.0]",0.4083540269688042
89,"[100.0, 10.0, 74.0, 14.0]",0.11523184757537352
90,"[12.0, 10.0, 70.0, 9.0]",0.17280067441936797
91,"[77.0, 24.0, 89.0, 0.0]",0.2620429747066735
92,"[48.0, 21.0, 70.0, 20.0]",0.293255759042645
93,"[56.0, 12.0, 76.0, 6.0]",0.43282412356539535
94,"[72.0, 30.0, 70.0, 20.0]",0.24038566049972876
95,"[60.0, 11.0, 89.0, 5.0]",0.6710928043771109
96,"[33.0, 30.0, 82.0, 0.0]",0.8418131720858348
97,"[36.0, 26.0, 82.0, 9.0]",0.2933238686417996
98,"[23.0, 30.0, 80.0, 0.0]",1.0551258826409615
99,"[84.0, 20.0, 89.0, 1.0]",0.5616244712745844
100,"[27.0, 30.0, 75.0, 0.0]",0.6949351916688764
101,"[95.0, 10.0, 70.0, 0.0]",0.17642203611737917
102,"[88.0, 16.0, 78.0, 7.0]",0.37244104794804334
103,"[114.0, 16.0, 78.0, 18.0]",0.0954263130066284
104,"[73.0, 22.0, 82.0, 5.0]",0.12862050437543449
105,"[113.0, 28.0, 83.0, 7.0]",0.6183516573394763
106,"[2.0, 20.0, 78.0, 14.0]",0.16165658634298707
107,"[82.0, 26.0, 79.0, 13.0]",0.40497765160260646
108,"[50.0, 30.0, 70.0, 10.0]",0.5739414275212773
109,"[11.0, 24.0, 70.0, 10.0]",-0.21626409878874064
110,"[105.0, 18.0, 72.0, 15.0]",0.1439452563936401
111,"[120.0, 21.0, 78.0, 0.0]",0.26679249265518346
112,"[20.0, 30.0, 86.0, 11.0]",0.38109023046590673
113,"[106.0, 30.0, 78.0, 0.0]",0.6494040315505436
114,"[36.0, 10.0, 80.0, 8.0]",0.19618064437109584
115,"[48.0, 10.0, 90.0, 14.0]",0.6234460183836319
116,"[94.0, 24.0, 76.0, 20.0]",0.18171872421603852
117,"[36.0, 17.0, 72.0, 8.0]",0.3616288139173751
118,"[65.0, 22.0, 86.0, 0.0]",0.24054823197573283
119,"[77.0, 18.0, 75.0, 6.0]",0.1835512515457176
120,"[61.0, 23.0, 79.0, 6.0]",0.3101407777532732
121,"[31.0, 25.0, 88.0, 0.0]",0.1338457308352694
122,"[105.0, 20.0, 85.0, 15.0]",0.4434086065476637
123,"[57.0, 30.0, 79.0, 0.0]",0.5113985097659679
124,"[85.0, 30.0, 70.0, 20.0]",0.4400510268497291
125,"[45.0, 29.0, 87.0, 0.0]",0.28363810162651926
126,"[91.0, 24.0, 79.0, 14.0]",0.8716977276508748
127,"[13.0, 10.0, 79.0, 0.0]",0.2290110064018862
128,"[47.0, 25.0, 86.0, 16.0]",0.5575430176796843
129,"[31.0, 16.0, 79.0, 13.0]",0.5331177916046097
130,"[78.0, 22.0, 86.0, 5.0]",0.6659553682784156
131,"[112.0, 10.0, 75.0, 12.0]",-0.06641361702305215
132,"[30.0, 23.0, 75.0, 20.0]",0.4020276648076051
133,"[88.0, 12.0, 79.0, 8.0]",0.2881474884510322
134,"[101.0, 11.0, 84.0, 8.0]",0.2884525782762899
135,"[109.0, 22.0, 86.0, 0.0]",0.9981866973571789
136,"[63.0, 30.0, 70.0, 7.0]",0.39814052397840216
137,"[30.0, 21.0, 78.0, 4.0]",0.5963525490714823
138,"[35.0, 14.0, 81.0, 2.0]",0.30913462696224303
139,"[12.0, 16.0, 70.0, 0.0]",-0.34651122065209594
140,"[91.0, 30.0, 70.0, 0.0]",0.16075294953207853
141,"[32.0, 23.0, 78.0, 19.0]",0.34354853752413494
142,"[32.0, 19.0, 71.0, 11.0]",0.5222594778332728
143,"[120.0, 30.0, 75.0, 20.0]",0.5209318617992411
144,"[53.0, 10.0, 83.0, 0.0]",0.5576364974963
145,"[45.0, 20.0, 89.0, 17.0]",-0.05084341013429439
146,"[66.0, 17.0, 87.0, 12.0]",0.6168564026478367
147,"[75.0, 26.0, 85.0, 5.0]",0.2825875956832766
148,"[86.0, 17.0, 81.0, 15.0]",0.20101194765940278
149,"[80.0, 10.0, 90.0, 0.0]",0.1714129577053265
150,"[103.0, 12.0, 73.0, 7.0]",0.32737720759264155
151,"[76.0, 22.0, 78.0, 6.0]",0.45033818134174464
152,"[108.0, 25.0, 77.0, 20.0]",0.8781959626421614
153,"[112.0, 21.0, 90.0, 6.0]",0.3089825613314041
154,"[29.0, 18.0, 71.0, 11.0]",0.34019969662437455
155,"[42.0, 30.0, 70.0, 0.0]",0.5536201269070988
156,"[89.0, 18.0, 82.0, 15.0]",0.02702744985420913
157,"[108.0, 30.0, 90.0, 20.0]",0.6510396125026237
158,"[96.0, 14.0, 70.0, 2.0]",0.16909010328380192
159,"[32.0, 26.0, 84.0, 14.0]",0.39076401657198234
160,"[51.0, 10.0, 70.0, 12.0]",0.19939821693744464
161,"[111.0, 27.0, 84.0, 0.0]",0.7079047969381602
