MACDStrategy_10_96,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2017-05-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-28 08:00:00,BTCUSDT,LONG,100,Binance,5771.97,577.197
2017-10-28 10:00:00,BTCUSDT,SHORT,100,Binance,5734.04,573.404
2017-10-29 09:00:00,BTCUSDT,LONG,100,Binance,5755.18,575.518
2017-11-06 18:00:00,BTCUSDT,SHORT,100,Binance,7000.05,700.0050000000001
2017-11-08 08:00:00,BTCUSDT,LONG,100,Binance,7336.71,733.671
2017-11-08 22:00:00,BTCUSDT,SHORT,100,Binance,7200.0,720.0
2017-11-09 06:00:00,BTCUSDT,LONG,100,Binance,7332.04,733.2040000000001
2017-11-09 13:00:00,BTCUSDT,SHORT,100,Binance,7119.98,711.998
2017-11-14 00:00:00,BTCUSDT,LONG,100,Binance,6610.99,661.099
2017-11-23 15:00:00,BTCUSDT,SHORT,100,Binance,8168.12,816.812
2017-11-25 07:00:00,BTCUSDT,LONG,100,Binance,8280.89,828.0889999999999
2017-11-30 14:00:00,BTCUSDT,SHORT,100,Binance,9259.8,925.98
2017-12-01 14:00:00,BTCUSDT,LONG,100,Binance,10439.98,1043.998
2017-12-09 20:00:00,BTCUSDT,SHORT,100,Binance,14299.94,1429.9940000000001
2017-12-10 20:00:00,BTCUSDT,LONG,100,Binance,15215.01,1521.5010000000002
2017-12-14 02:00:00,BTCUSDT,SHORT,100,Binance,15710.67,1571.067
2017-12-14 04:00:00,BTCUSDT,LONG,100,Binance,15823.18,1582.3180000000002
2017-12-14 05:00:00,BTCUSDT,SHORT,100,Binance,15562.66,1556.266
2017-12-14 19:00:00,BTCUSDT,LONG,100,Binance,16350.0,1635.0
2017-12-19 10:00:00,BTCUSDT,SHORT,100,Binance,16852.0,1685.2
2017-12-25 15:00:00,BTCUSDT,LONG,100,Binance,13473.0,1347.3000000000002
2017-12-28 08:00:00,BTCUSDT,SHORT,100,Binance,14054.99,1405.499
2017-12-31 23:00:00,BTCUSDT,LONG,100,Binance,13701.45,1370.1450000000002
2018-01-01 07:00:00,BTCUSDT,SHORT,100,Binance,13570.35,1357.035
2018-01-02 05:00:00,BTCUSDT,LONG,100,Binance,13166.95,1316.6950000000002
2018-01-02 07:00:00,BTCUSDT,SHORT,100,Binance,13346.16,1334.616
2018-01-02 09:00:00,BTCUSDT,LONG,100,Binance,13452.0,1345.2
2018-01-02 10:00:00,BTCUSDT,SHORT,100,Binance,13560.0,1356.0
2018-01-02 13:00:00,BTCUSDT,LONG,100,Binance,13864.98,1386.498
2018-01-08 06:00:00,BTCUSDT,SHORT,100,Binance,15757.27,1575.727
2018-01-13 06:00:00,BTCUSDT,LONG,100,Binance,14108.57,1410.857
2018-01-14 09:00:00,BTCUSDT,SHORT,100,Binance,13411.06,1341.106
2018-01-15 15:00:00,BTCUSDT,LONG,100,Binance,13990.01,1399.0010000000002
2018-01-16 00:00:00,BTCUSDT,SHORT,100,Binance,13143.83,1314.383
2018-01-19 15:00:00,BTCUSDT,LONG,100,Binance,11400.0,1140.0
2018-01-21 18:00:00,BTCUSDT,SHORT,100,Binance,11344.57,1134.457
2018-01-24 20:00:00,BTCUSDT,LONG,100,Binance,11190.05,1119.0049999999999
2018-01-26 13:00:00,BTCUSDT,SHORT,100,Binance,10549.09,1054.909
2018-01-26 23:00:00,BTCUSDT,LONG,100,Binance,11089.0,1108.9
2018-01-27 03:00:00,BTCUSDT,SHORT,100,Binance,10985.0,1098.5
2018-01-27 05:00:00,BTCUSDT,LONG,100,Binance,11239.9,1123.99
2018-01-29 15:00:00,BTCUSDT,SHORT,100,Binance,11383.91,1138.391
2018-02-07 14:00:00,BTCUSDT,LONG,100,Binance,8200.12,820.0120000000002
2018-02-11 03:00:00,BTCUSDT,SHORT,100,Binance,7969.05,796.9050000000001
2018-02-12 08:00:00,BTCUSDT,LONG,100,Binance,8758.0,875.8000000000001
2018-02-21 13:00:00,BTCUSDT,SHORT,100,Binance,10739.45,1073.9450000000002
2018-02-26 16:00:00,BTCUSDT,LONG,100,Binance,10170.11,1017.0110000000001
2018-03-06 08:00:00,BTCUSDT,SHORT,100,Binance,11273.99,1127.3990000000001
2018-03-11 19:00:00,BTCUSDT,LONG,100,Binance,9639.57,963.957
2018-03-12 23:00:00,BTCUSDT,SHORT,100,Binance,9131.34,913.134
2018-03-13 06:00:00,BTCUSDT,LONG,100,Binance,9330.13,933.0129999999999
2018-03-13 10:00:00,BTCUSDT,SHORT,100,Binance,8879.86,887.9860000000001
2018-03-19 04:00:00,BTCUSDT,LONG,100,Binance,8168.87,816.8870000000001
2018-03-22 19:00:00,BTCUSDT,SHORT,100,Binance,8610.99,861.099
2018-03-24 03:00:00,BTCUSDT,LONG,100,Binance,8880.02,888.0020000000001
2018-03-25 01:00:00,BTCUSDT,SHORT,100,Binance,8518.0,851.8000000000001
