MACDStrategy_10_84,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-02 00:00:00,BTCUSDT,LONG,100,Binance,6983.36,698.336
2018-04-04 16:00:00,BTCUSDT,SHORT,100,Binance,6889.99,688.999
2018-04-07 10:00:00,BTCUSDT,LONG,100,Binance,6861.53,686.153
2018-04-09 16:00:00,BTCUSDT,SHORT,100,Binance,6754.97,675.4970000000001
2018-04-11 17:00:00,BTCUSDT,LONG,100,Binance,6904.99,690.499
2018-04-16 13:00:00,BTCUSDT,SHORT,100,Binance,7964.34,796.4340000000001
2018-04-17 15:00:00,BTCUSDT,LONG,100,Binance,8088.63,808.863
2018-04-17 18:00:00,BTCUSDT,SHORT,100,Binance,7945.17,794.517
2018-04-18 21:00:00,BTCUSDT,LONG,100,Binance,8199.0,819.9000000000001
2018-04-25 17:00:00,BTCUSDT,SHORT,100,Binance,9058.0,905.8000000000001
2018-04-27 03:00:00,BTCUSDT,LONG,100,Binance,9143.01,914.301
2018-04-27 23:00:00,BTCUSDT,SHORT,100,Binance,8915.36,891.5360000000001
2018-04-28 09:00:00,BTCUSDT,LONG,100,Binance,9273.0,927.3000000000001
2018-04-30 12:00:00,BTCUSDT,SHORT,100,Binance,9309.99,930.999
2018-04-30 18:00:00,BTCUSDT,LONG,100,Binance,9350.0,935.0
2018-05-01 00:00:00,BTCUSDT,SHORT,100,Binance,8955.01,895.5010000000001
2018-05-02 23:00:00,BTCUSDT,LONG,100,Binance,9247.81,924.781
2018-05-06 13:00:00,BTCUSDT,SHORT,100,Binance,9561.0,956.1
2018-05-10 04:00:00,BTCUSDT,LONG,100,Binance,9350.0,935.0
2018-05-10 20:00:00,BTCUSDT,SHORT,100,Binance,9078.89,907.889
2018-05-13 23:00:00,BTCUSDT,LONG,100,Binance,8679.71,867.971
2018-05-14 06:00:00,BTCUSDT,SHORT,100,Binance,8384.99,838.499
2018-05-14 16:00:00,BTCUSDT,LONG,100,Binance,8773.7,877.3700000000001
2018-05-15 22:00:00,BTCUSDT,SHORT,100,Binance,8451.95,845.1950000000002
2018-05-19 11:00:00,BTCUSDT,LONG,100,Binance,8366.08,836.6080000000001
2018-05-22 05:00:00,BTCUSDT,SHORT,100,Binance,8287.0,828.7
2018-05-29 16:00:00,BTCUSDT,LONG,100,Binance,7435.77,743.5770000000001
2018-06-01 18:00:00,BTCUSDT,SHORT,100,Binance,7404.99,740.499
2018-06-02 03:00:00,BTCUSDT,LONG,100,Binance,7500.0,750.0
2018-06-04 13:00:00,BTCUSDT,SHORT,100,Binance,7494.99,749.499
2018-06-06 00:00:00,BTCUSDT,LONG,100,Binance,7605.0,760.5
2018-06-08 13:00:00,BTCUSDT,SHORT,100,Binance,7577.8,757.7800000000001
2018-06-09 00:00:00,BTCUSDT,LONG,100,Binance,7630.91,763.091
2018-06-09 12:00:00,BTCUSDT,SHORT,100,Binance,7603.15,760.315
2018-06-15 00:00:00,BTCUSDT,LONG,100,Binance,6613.42,661.3420000000001
2018-06-15 22:00:00,BTCUSDT,SHORT,100,Binance,6403.74,640.374
2018-06-16 22:00:00,BTCUSDT,LONG,100,Binance,6532.67,653.267
2018-06-17 14:00:00,BTCUSDT,SHORT,100,Binance,6475.0,647.5
2018-06-18 17:00:00,BTCUSDT,LONG,100,Binance,6728.0,672.8000000000001
2018-06-22 02:00:00,BTCUSDT,SHORT,100,Binance,6665.03,666.503
2018-06-25 11:00:00,BTCUSDT,LONG,100,Binance,6231.98,623.198
2018-06-27 03:00:00,BTCUSDT,SHORT,100,Binance,6031.8,603.1800000000001
2018-06-30 02:00:00,BTCUSDT,LONG,100,Binance,6393.72,639.3720000000001
2018-07-05 20:00:00,BTCUSDT,SHORT,100,Binance,6507.97,650.797
2018-07-06 23:00:00,BTCUSDT,LONG,100,Binance,6609.78,660.9780000000001
2018-07-07 14:00:00,BTCUSDT,SHORT,100,Binance,6565.92,656.5920000000001
2018-07-08 00:00:00,BTCUSDT,LONG,100,Binance,6745.98,674.598
2018-07-10 05:00:00,BTCUSDT,SHORT,100,Binance,6618.13,661.8130000000001
2018-07-14 21:00:00,BTCUSDT,LONG,100,Binance,6264.0,626.4000000000001
2018-07-21 00:00:00,BTCUSDT,SHORT,100,Binance,7235.04,723.504
2018-07-21 21:00:00,BTCUSDT,LONG,100,Binance,7404.99,740.499
2018-07-27 00:00:00,BTCUSDT,SHORT,100,Binance,7908.77,790.8770000000001
2018-07-28 00:00:00,BTCUSDT,LONG,100,Binance,8165.0,816.5
2018-07-30 15:00:00,BTCUSDT,SHORT,100,Binance,8122.9,812.29
2018-08-07 15:00:00,BTCUSDT,LONG,100,Binance,7115.06,711.5060000000001
2018-08-07 22:00:00,BTCUSDT,SHORT,100,Binance,6753.14,675.3140000000001
