,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,long_window,short_window
28,-3.57%,5.54%,15.40%,3 days 08:48:00.000000000,32.75%,33.63447203647221,2017,4.682239910961997,12.316967179999999,48%,25,-9.45%,0 days 19:00:00.000000000,72,12
29,-2.92%,6.19%,14.55%,3 days 14:39:08.000000000,33.79%,33.0461586173882,1370,4.651472371210031,12.13035382,52%,23,-6.16%,0 days 08:00:00.000000000,84,12
19,-3.41%,5.25%,13.23%,3 days 07:40:48.000000000,27.36%,40.734174084302346,1321,4.268072328480519,11.566499320000002,52%,25,-6.58%,0 days 08:00:00.000000000,84,10
18,-4.53%,4.42%,16.12%,2 days 19:08:00.000000000,37.72%,35.15969703173588,2276,4.446557835038132,11.373888320000006,43%,30,-13.52%,0 days 09:00:00.000000000,72,10
26,-4.47%,3.10%,9.99%,1 days 23:05:43.000000000,28.34%,36.98047433364036,2276,4.380842000248889,10.273872969999998,52%,42,-10.33%,0 days 20:00:00.000000000,45,12
20,-3.08%,4.19%,11.47%,2 days 23:34:17.000000000,36.97%,43.15949411381679,2017,3.9873256295670796,9.781615150000002,50%,28,-6.05%,0 days 09:00:00.000000000,96,10
30,-3.31%,4.71%,12.11%,3 days 08:19:12.000000000,37.14%,34.65160050147788,2017,4.097702327342674,9.608307139999999,52%,25,-7.79%,0 days 09:00:00.000000000,96,12
23,-3.17%,1.41%,5.99%,1 days 01:05:23.000000000,30.59%,59.39586402361164,2039,3.695567328649621,8.63428218,50%,78,-11.90%,1 days 00:00:00.000000000,26,12
27,-4.60%,3.21%,11.95%,2 days 08:20:00.000000000,39.13%,39.18159540455945,2509,4.030982065876765,8.495503380000006,47%,36,-11.61%,0 days 05:00:00.000000000,60,12
57,-5.17%,2.96%,7.99%,2 days 11:08:49.000000000,22.88%,38.2681708439048,1686,4.022391193977408,8.4038234,62%,34,-15.24%,1 days 03:00:00.000000000,60,45
24,-3.32%,1.64%,7.44%,1 days 05:45:14.000000000,32.23%,41.38538225337051,2039,3.9565985622339253,8.220313059999993,46%,65,-10.04%,0 days 21:00:00.000000000,30,12
25,-3.26%,1.95%,8.42%,1 days 10:57:51.000000000,31.05%,52.023900474406226,2509,3.8802892033096565,7.862757279999991,45%,56,-13.67%,0 days 06:00:00.000000000,35,12
52,-5.20%,3.94%,10.98%,3 days 15:31:18.000000000,31.60%,41.05378472427169,1686,3.8307199374990675,7.625958039999997,57%,23,-10.68%,0 days 19:00:00.000000000,72,35
7,-3.32%,2.33%,11.63%,1 days 20:36:00.000000000,37.52%,54.49591035820992,2017,3.480533527413722,7.577930270000005,38%,45,-9.73%,0 days 09:00:00.000000000,72,5
46,-3.17%,4.44%,11.36%,3 days 23:25:43.000000000,23.58%,48.56532971217724,2735,3.608137269156951,7.516149360000009,52%,21,-7.59%,0 days 09:00:00.000000000,84,30
32,-4.63%,10.85%,41.82%,6 days 18:50:00.000000000,129.74%,48.548277091422584,2509,3.844807150773451,7.38944085,33%,12,-10.09%,0 days 12:00:00.000000000,252,12
62,-9.10%,15.08%,39.27%,10 days 04:45:00.000000000,132.12%,53.02749477088263,2509,3.666419689395794,7.365223490000002,50%,8,-11.14%,2 days 04:00:00.000000000,252,45
49,-5.89%,13.13%,36.91%,9 days 01:13:20.000000000,127.81%,49.984615177398844,2509,3.6830045693462106,7.263545570000002,44%,9,-9.01%,5 days 13:00:00.000000000,252,30
15,-3.45%,1.63%,7.06%,1 days 08:38:00.000000000,32.06%,43.77995545446237,2509,3.803200307345883,7.054078820000008,48%,60,-11.24%,0 days 07:00:00.000000000,35,10
37,-4.55%,3.81%,13.85%,3 days 19:13:38.000000000,33.01%,40.040629362866774,2017,3.590616359905407,7.007101769999993,45%,22,-12.73%,0 days 16:00:00.000000000,72,26
53,-4.13%,4.40%,11.38%,4 days 04:15:00.000000000,24.50%,52.654989349862305,2735,3.424249577353019,6.977754449999998,55%,20,-7.67%,2 days 11:00:00.000000000,84,35
45,-4.09%,3.21%,11.12%,3 days 08:07:12.000000000,29.83%,46.917427467509384,2017,3.489716731623817,6.7534846300000035,48%,25,-11.22%,0 days 18:00:00.000000000,72,30
47,-3.45%,4.33%,11.41%,3 days 22:31:26.000000000,23.39%,48.93999704686024,2735,3.4299421174085474,6.63564469,52%,21,-8.61%,1 days 05:00:00.000000000,96,30
22,-3.97%,9.49%,58.85%,5 days 19:08:34.000000000,139.44%,55.44201877585008,2509,3.7077479796899873,6.600990670000001,21%,14,-11.22%,0 days 12:00:00.000000000,252,10
61,-7.18%,5.58%,12.53%,4 days 23:45:53.000000000,47.43%,59.080767088827045,2509,3.6973312616803597,6.550827680000001,65%,17,-15.59%,2 days 07:00:00.000000000,120,45
4,-2.74%,1.26%,8.07%,1 days 03:03:17.000000000,28.07%,44.27663874608637,2276,3.3218449012722333,6.532650910000012,37%,73,-9.97%,0 days 08:00:00.000000000,35,5
