,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,long_window,short_window
9,-2.70%,1.18%,3.89%,1 days 21:08:49.000000000,19.84%,86.59108342805182,1910,1.9835544942537435,2.073590970000004,59%,34,-8.87%,0 days 21:00:00.000000000,60,45
0,-1.82%,1.04%,7.13%,2 days 16:36:00.000000000,17.03%,63.205497673442636,2265,1.9455898684741144,1.4039475300000062,32%,25,-5.67%,0 days 11:00:00.000000000,72,12
3,-1.62%,0.73%,6.45%,2 days 04:13:33.000000000,16.73%,74.86096379147958,2517,1.790187039982417,0.9949242200000037,29%,31,-5.19%,0 days 12:00:00.000000000,72,10
8,-2.03%,0.71%,6.79%,2 days 08:00:00.000000000,17.55%,85.53506997692098,2265,1.8216111332168725,0.98252983,31%,29,-5.67%,0 days 11:00:00.000000000,60,12
7,-1.31%,0.45%,4.17%,1 days 01:23:14.000000000,19.45%,75.37770116406439,2265,1.45948340578856,0.5116269300000102,32%,62,-4.15%,0 days 11:00:00.000000000,26,12
6,-2.15%,0.51%,6.82%,2 days 10:31:07.000000000,16.73%,90.80866360731598,2517,1.7209920542892667,0.3140677399999985,30%,27,-3.98%,2 days 02:00:00.000000000,96,12
2,-1.90%,0.49%,7.67%,2 days 08:53:34.000000000,15.50%,91.82057448627758,2517,1.6734655369657676,0.29880787000000475,25%,28,-5.09%,0 days 07:00:00.000000000,84,10
1,-1.90%,0.49%,7.68%,2 days 08:36:26.000000000,16.27%,91.7542014922892,2517,1.6979128054145876,0.2959581600000023,25%,28,-5.66%,0 days 07:00:00.000000000,84,12
5,-2.04%,0.48%,6.78%,2 days 08:38:34.000000000,16.56%,85.46130071833758,2517,1.5311621045562565,0.2286422300000046,29%,28,-3.85%,1 days 10:00:00.000000000,96,10
4,-1.54%,0.41%,6.07%,1 days 13:06:59.000000000,18.37%,93.00789814043232,2517,1.3703642197976986,0.1007802400000033,26%,43,-5.09%,0 days 11:00:00.000000000,45,12
