MACDStrategy_5_96,tickers,['ETHUSD'],initial equity,100000.0,frequency,60 min
Start date,2017-07-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-07-01 19:00:00,ETHUSD,LONG,100,ARCA,264.48,26.448000000000004
2017-07-01 22:00:00,ETHUSD,SHORT,100,ARCA,258.0,25.8
2017-07-02 19:00:00,ETHUSD,LONG,100,ARCA,260.62,26.062
2017-07-02 21:00:00,ETHUSD,SHORT,100,ARCA,253.1,25.310000000000002
2017-07-03 01:00:00,ETHUSD,LONG,100,ARCA,271.27,27.127
2017-07-05 03:00:00,ETHUSD,SHORT,100,ARCA,264.37,26.437
2017-07-06 19:00:00,ETHUSD,LONG,100,ARCA,268.89,26.889
2017-07-06 20:00:00,ETHUSD,SHORT,100,ARCA,264.9,26.49
2017-07-13 05:00:00,ETHUSD,LONG,100,ARCA,213.78,21.378
2017-07-13 16:00:00,ETHUSD,SHORT,100,ARCA,207.82,20.782
2017-07-18 05:00:00,ETHUSD,LONG,100,ARCA,179.77,17.977
2017-07-22 07:00:00,ETHUSD,SHORT,100,ARCA,216.11,21.611000000000004
2017-07-22 09:00:00,ETHUSD,LONG,100,ARCA,223.65,22.365000000000002
2017-07-24 15:00:00,ETHUSD,SHORT,100,ARCA,225.6,22.560000000000002
2017-07-24 19:00:00,ETHUSD,LONG,100,ARCA,227.14,22.714
2017-07-25 05:00:00,ETHUSD,SHORT,100,ARCA,225.75,22.575000000000003
2017-07-25 07:00:00,ETHUSD,LONG,100,ARCA,226.59,22.659000000000002
2017-07-25 08:00:00,ETHUSD,SHORT,100,ARCA,225.5,22.55
2017-07-30 06:00:00,ETHUSD,LONG,100,ARCA,200.1,20.01
2017-07-30 17:00:00,ETHUSD,SHORT,100,ARCA,197.74,19.774
2017-07-30 19:00:00,ETHUSD,LONG,100,ARCA,200.89,20.089
2017-07-31 07:00:00,ETHUSD,SHORT,100,ARCA,195.31,19.531000000000002
2017-08-01 01:00:00,ETHUSD,LONG,100,ARCA,196.79,19.679000000000002
2017-08-13 10:00:00,ETHUSD,SHORT,100,ARCA,300.71,30.070999999999998
2017-08-14 14:00:00,ETHUSD,LONG,100,ARCA,303.81,30.381
2017-08-14 15:00:00,ETHUSD,SHORT,100,ARCA,302.36,30.236000000000004
2017-08-16 22:00:00,ETHUSD,LONG,100,ARCA,300.14,30.014
2017-08-19 02:00:00,ETHUSD,SHORT,100,ARCA,290.15,29.015
2017-08-21 08:00:00,ETHUSD,LONG,100,ARCA,298.7,29.87
2017-08-22 16:00:00,ETHUSD,SHORT,100,ARCA,298.58,29.858
2017-08-22 17:00:00,ETHUSD,LONG,100,ARCA,308.74,30.874000000000002
2017-09-02 13:00:00,ETHUSD,SHORT,100,ARCA,355.78,35.577999999999996
2017-09-06 12:00:00,ETHUSD,LONG,100,ARCA,316.14,31.614
2017-09-06 13:00:00,ETHUSD,SHORT,100,ARCA,321.38,32.138
2017-09-06 16:00:00,ETHUSD,LONG,100,ARCA,333.61,33.361000000000004
2017-09-08 23:00:00,ETHUSD,SHORT,100,ARCA,308.0,30.8
2017-09-12 12:00:00,ETHUSD,LONG,100,ARCA,305.52,30.552
2017-09-13 03:00:00,ETHUSD,SHORT,100,ARCA,294.08,29.408
2017-09-16 15:00:00,ETHUSD,LONG,100,ARCA,265.04,26.504000000000005
2017-09-16 18:00:00,ETHUSD,SHORT,100,ARCA,244.37,24.437
2017-09-18 00:00:00,ETHUSD,LONG,100,ARCA,256.94,25.694000000000003
2017-09-29 11:00:00,ETHUSD,SHORT,100,ARCA,283.21,28.320999999999998
2017-09-30 12:00:00,ETHUSD,LONG,100,ARCA,297.0,29.700000000000003
2017-10-01 20:00:00,ETHUSD,SHORT,100,ARCA,297.1,29.710000000000004
2017-10-02 02:00:00,ETHUSD,LONG,100,ARCA,301.8,30.180000000000003
2017-10-02 23:00:00,ETHUSD,SHORT,100,ARCA,297.03,29.703
2017-10-06 03:00:00,ETHUSD,LONG,100,ARCA,296.87,29.687
2017-10-09 18:00:00,ETHUSD,SHORT,100,ARCA,305.94,30.594
2017-10-12 10:00:00,ETHUSD,LONG,100,ARCA,306.67,30.667
2017-10-13 10:00:00,ETHUSD,SHORT,100,ARCA,299.84,29.983999999999998
2017-10-13 12:00:00,ETHUSD,LONG,100,ARCA,304.91,30.491000000000003
2017-10-15 21:00:00,ETHUSD,SHORT,100,ARCA,325.47,32.547000000000004
2017-10-15 22:00:00,ETHUSD,LONG,100,ARCA,330.8,33.080000000000005
2017-10-17 06:00:00,ETHUSD,SHORT,100,ARCA,336.41,33.641000000000005
2017-10-24 12:00:00,ETHUSD,LONG,100,ARCA,305.03,30.503
2017-10-25 10:00:00,ETHUSD,SHORT,100,ARCA,289.19,28.919
2017-10-25 15:00:00,ETHUSD,LONG,100,ARCA,298.62,29.862000000000002
2017-10-25 21:00:00,ETHUSD,SHORT,100,ARCA,294.61,29.461000000000002
2017-10-26 03:00:00,ETHUSD,LONG,100,ARCA,299.56,29.956000000000003
2017-10-27 05:00:00,ETHUSD,SHORT,100,ARCA,294.53,29.453
2017-10-27 07:00:00,ETHUSD,LONG,100,ARCA,295.1,29.510000000000005
2017-10-27 21:00:00,ETHUSD,SHORT,100,ARCA,293.65,29.365
2017-10-29 15:00:00,ETHUSD,LONG,100,ARCA,296.97,29.697000000000003
2017-11-01 13:00:00,ETHUSD,SHORT,100,ARCA,302.55,30.255000000000003
2017-11-03 23:00:00,ETHUSD,LONG,100,ARCA,298.59,29.858999999999998
2017-11-06 12:00:00,ETHUSD,SHORT,100,ARCA,292.59,29.259
2017-11-06 17:00:00,ETHUSD,LONG,100,ARCA,296.31,29.631
2017-11-07 21:00:00,ETHUSD,SHORT,100,ARCA,289.81,28.981
2017-11-08 18:00:00,ETHUSD,LONG,100,ARCA,298.4,29.84
2017-11-11 00:00:00,ETHUSD,SHORT,100,ARCA,302.95,30.295
2017-11-12 02:00:00,ETHUSD,LONG,100,ARCA,313.62,31.362000000000002
2017-11-12 12:00:00,ETHUSD,SHORT,100,ARCA,308.78,30.878
2017-11-13 02:00:00,ETHUSD,LONG,100,ARCA,313.59,31.358999999999998
2017-11-13 06:00:00,ETHUSD,SHORT,100,ARCA,302.67,30.267000000000003
2017-11-13 10:00:00,ETHUSD,LONG,100,ARCA,314.08,31.408
2017-11-18 10:00:00,ETHUSD,SHORT,100,ARCA,325.89,32.589
2017-11-18 16:00:00,ETHUSD,LONG,100,ARCA,331.19,33.119
2017-11-28 21:00:00,ETHUSD,SHORT,100,ARCA,466.75,46.675000000000004
2017-11-29 08:00:00,ETHUSD,LONG,100,ARCA,470.48,47.048
2017-11-29 15:00:00,ETHUSD,SHORT,100,ARCA,468.38,46.838
2017-11-29 18:00:00,ETHUSD,LONG,100,ARCA,475.29,47.529
2017-11-30 03:00:00,ETHUSD,SHORT,100,ARCA,421.0,42.1
2017-12-02 03:00:00,ETHUSD,LONG,100,ARCA,454.83,45.483000000000004
2017-12-05 04:00:00,ETHUSD,SHORT,100,ARCA,456.45,45.645
2017-12-05 06:00:00,ETHUSD,LONG,100,ARCA,460.76,46.076
2017-12-05 20:00:00,ETHUSD,SHORT,100,ARCA,454.3,45.43000000000001
2017-12-09 00:00:00,ETHUSD,LONG,100,ARCA,446.82,44.682
2017-12-10 12:00:00,ETHUSD,SHORT,100,ARCA,432.62,43.262
2017-12-10 21:00:00,ETHUSD,LONG,100,ARCA,442.75,44.275000000000006
2017-12-11 07:00:00,ETHUSD,SHORT,100,ARCA,429.21,42.921
2017-12-11 10:00:00,ETHUSD,LONG,100,ARCA,445.83,44.583
2017-12-22 02:00:00,ETHUSD,SHORT,100,ARCA,783.32,78.33200000000001
2017-12-25 13:00:00,ETHUSD,LONG,100,ARCA,692.41,69.241
2017-12-28 13:00:00,ETHUSD,SHORT,100,ARCA,680.66,68.066
2017-12-29 11:00:00,ETHUSD,LONG,100,ARCA,738.43,73.843
2017-12-29 19:00:00,ETHUSD,SHORT,100,ARCA,720.0,72.0
2017-12-29 23:00:00,ETHUSD,LONG,100,ARCA,745.27,74.527
2017-12-30 09:00:00,ETHUSD,SHORT,100,ARCA,705.0,70.5
2017-12-31 22:00:00,ETHUSD,LONG,100,ARCA,723.77,72.377
2018-01-11 15:00:00,ETHUSD,SHORT,100,ARCA,1232.0,123.2
2018-01-11 16:00:00,ETHUSD,LONG,100,ARCA,1240.1,124.00999999999999
2018-01-11 21:00:00,ETHUSD,SHORT,100,ARCA,1200.9,120.09000000000002
2018-01-12 01:00:00,ETHUSD,LONG,100,ARCA,1218.0,121.80000000000001
2018-01-12 03:00:00,ETHUSD,SHORT,100,ARCA,1172.8,117.28
2018-01-12 21:00:00,ETHUSD,LONG,100,ARCA,1265.5,126.55000000000001
2018-01-16 07:00:00,ETHUSD,SHORT,100,ARCA,1276.9,127.69000000000001
2018-01-19 20:00:00,ETHUSD,LONG,100,ARCA,1070.1,107.00999999999999
2018-01-20 03:00:00,ETHUSD,SHORT,100,ARCA,1019.9,101.99000000000001
2018-01-20 07:00:00,ETHUSD,LONG,100,ARCA,1032.6,103.25999999999999
2018-01-22 02:00:00,ETHUSD,SHORT,100,ARCA,1039.2,103.92000000000002
2018-01-22 18:00:00,ETHUSD,LONG,100,ARCA,1076.6,107.66
2018-01-22 20:00:00,ETHUSD,SHORT,100,ARCA,1031.1,103.11
2018-01-25 00:00:00,ETHUSD,LONG,100,ARCA,1020.4,102.04
2018-01-26 20:00:00,ETHUSD,SHORT,100,ARCA,1020.4,102.04
2018-01-26 22:00:00,ETHUSD,LONG,100,ARCA,1032.7,103.27000000000001
2018-01-30 23:00:00,ETHUSD,SHORT,100,ARCA,1111.9,111.19000000000001
2018-02-07 20:00:00,ETHUSD,LONG,100,ARCA,833.6,83.36000000000001
2018-02-11 11:00:00,ETHUSD,SHORT,100,ARCA,800.03,80.003
2018-02-11 23:00:00,ETHUSD,LONG,100,ARCA,849.98,84.998
2018-02-12 07:00:00,ETHUSD,SHORT,100,ARCA,810.64,81.06400000000001
2018-02-12 12:00:00,ETHUSD,LONG,100,ARCA,845.48,84.548
2018-02-13 14:00:00,ETHUSD,SHORT,100,ARCA,844.0,84.4
2018-02-14 11:00:00,ETHUSD,LONG,100,ARCA,852.99,85.299
2018-02-18 16:00:00,ETHUSD,SHORT,100,ARCA,916.75,91.67500000000001
2018-02-19 18:00:00,ETHUSD,LONG,100,ARCA,944.15,94.415
2018-02-20 06:00:00,ETHUSD,SHORT,100,ARCA,935.25,93.525
2018-02-20 09:00:00,ETHUSD,LONG,100,ARCA,951.32,95.132
2018-02-20 18:00:00,ETHUSD,SHORT,100,ARCA,933.7,93.37
2018-02-24 11:00:00,ETHUSD,LONG,100,ARCA,865.28,86.528
2018-02-24 15:00:00,ETHUSD,SHORT,100,ARCA,845.93,84.593
2018-02-25 15:00:00,ETHUSD,LONG,100,ARCA,841.61,84.161
2018-02-25 20:00:00,ETHUSD,SHORT,100,ARCA,828.11,82.811
2018-02-26 06:00:00,ETHUSD,LONG,100,ARCA,844.98,84.498
2018-03-01 09:00:00,ETHUSD,SHORT,100,ARCA,856.68,85.668
2018-03-01 16:00:00,ETHUSD,LONG,100,ARCA,869.3,86.93
2018-03-13 01:00:00,ETHUSD,SHORT,100,ARCA,696.32,69.632
2018-03-21 02:00:00,ETHUSD,LONG,100,ARCA,553.0,55.300000000000004
2018-03-22 21:00:00,ETHUSD,SHORT,100,ARCA,528.5,52.85
