MACDStrategy_12_60,tickers,['ETHUSD'],initial equity,100000.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-02 19:00:00,ETHUSD,LONG,100,ARCA,391.07,39.107
2018-04-10 05:00:00,ETHUSD,SHORT,100,ARCA,395.61,39.56100000000001
2018-04-11 03:00:00,ETHUSD,LONG,100,ARCA,411.01,41.101
2018-04-16 21:00:00,ETHUSD,SHORT,100,ARCA,502.31,50.231
2018-04-18 01:00:00,ETHUSD,LONG,100,ARCA,515.36,51.536
2018-04-18 03:00:00,ETHUSD,SHORT,100,ARCA,503.63,50.363
2018-04-18 19:00:00,ETHUSD,LONG,100,ARCA,516.86,51.68600000000001
2018-04-25 19:00:00,ETHUSD,SHORT,100,ARCA,628.98,62.898
2018-04-27 11:00:00,ETHUSD,LONG,100,ARCA,650.01,65.001
2018-05-01 01:00:00,ETHUSD,SHORT,100,ARCA,680.6,68.06
2018-05-02 14:00:00,ETHUSD,LONG,100,ARCA,684.1,68.41000000000001
2018-05-06 21:00:00,ETHUSD,SHORT,100,ARCA,776.8,77.68
2018-05-10 02:00:00,ETHUSD,LONG,100,ARCA,749.19,74.91900000000001
2018-05-11 08:00:00,ETHUSD,SHORT,100,ARCA,726.41,72.641
2018-05-13 20:00:00,ETHUSD,LONG,100,ARCA,701.56,70.15599999999999
2018-05-16 05:00:00,ETHUSD,SHORT,100,ARCA,707.97,70.79700000000001
2018-05-19 13:00:00,ETHUSD,LONG,100,ARCA,690.92,69.092
2018-05-22 02:00:00,ETHUSD,SHORT,100,ARCA,687.97,68.79700000000001
2018-05-25 20:00:00,ETHUSD,LONG,100,ARCA,606.26,60.626000000000005
2018-05-26 01:00:00,ETHUSD,SHORT,100,ARCA,585.44,58.54400000000001
2018-05-26 19:00:00,ETHUSD,LONG,100,ARCA,599.47,59.947
2018-05-27 11:00:00,ETHUSD,SHORT,100,ARCA,580.56,58.056
2018-05-30 02:00:00,ETHUSD,LONG,100,ARCA,565.46,56.54600000000001
2018-06-04 23:00:00,ETHUSD,SHORT,100,ARCA,586.69559657,58.66955965700001
2018-06-06 08:00:00,ETHUSD,LONG,100,ARCA,605.01,60.501000000000005
2018-06-08 09:00:00,ETHUSD,SHORT,100,ARCA,606.47992806,60.647992806000005
2018-06-09 17:00:00,ETHUSD,LONG,100,ARCA,604.87,60.487
2018-06-10 00:00:00,ETHUSD,SHORT,100,ARCA,598.68,59.867999999999995
2018-06-15 04:00:00,ETHUSD,LONG,100,ARCA,519.09,51.909000000000006
2018-06-16 12:00:00,ETHUSD,SHORT,100,ARCA,495.1,49.510000000000005
2018-06-17 13:00:00,ETHUSD,LONG,100,ARCA,502.77,50.277
2018-06-18 11:00:00,ETHUSD,SHORT,100,ARCA,493.41258485,49.341258485
2018-06-19 01:00:00,ETHUSD,LONG,100,ARCA,517.93,51.793
2018-06-22 02:00:00,ETHUSD,SHORT,100,ARCA,521.97,52.197
2018-06-26 01:00:00,ETHUSD,LONG,100,ARCA,463.96,46.396
2018-06-26 22:00:00,ETHUSD,SHORT,100,ARCA,446.23,44.623000000000005
2018-06-30 12:00:00,ETHUSD,LONG,100,ARCA,451.4,45.14
2018-07-02 17:00:00,ETHUSD,SHORT,100,ARCA,448.93,44.893
2018-07-02 21:00:00,ETHUSD,LONG,100,ARCA,472.3,47.230000000000004
2018-07-04 11:00:00,ETHUSD,SHORT,100,ARCA,457.97,45.797000000000004
2018-07-05 00:00:00,ETHUSD,LONG,100,ARCA,472.77,47.277
2018-07-06 06:00:00,ETHUSD,SHORT,100,ARCA,466.75,46.675000000000004
2018-07-07 07:00:00,ETHUSD,LONG,100,ARCA,470.37,47.037000000000006
2018-07-08 04:00:00,ETHUSD,SHORT,100,ARCA,464.69,46.469
2018-07-08 07:00:00,ETHUSD,LONG,100,ARCA,486.72,48.672000000000004
2018-07-10 03:00:00,ETHUSD,SHORT,100,ARCA,476.82,47.682
2018-07-13 19:00:00,ETHUSD,LONG,100,ARCA,437.61,43.761
2018-07-14 06:00:00,ETHUSD,SHORT,100,ARCA,431.2,43.120000000000005
2018-07-15 01:00:00,ETHUSD,LONG,100,ARCA,436.49,43.649
2018-07-19 09:00:00,ETHUSD,SHORT,100,ARCA,472.21,47.221000000000004
2018-07-22 05:00:00,ETHUSD,LONG,100,ARCA,465.28,46.528
2018-07-24 00:00:00,ETHUSD,SHORT,100,ARCA,454.87,45.487
2018-07-24 19:00:00,ETHUSD,LONG,100,ARCA,475.48,47.548
2018-07-27 06:00:00,ETHUSD,SHORT,100,ARCA,463.09,46.309
2018-07-29 15:00:00,ETHUSD,LONG,100,ARCA,464.9,46.49
2018-07-29 19:00:00,ETHUSD,SHORT,100,ARCA,464.4,46.44
2018-08-04 05:00:00,ETHUSD,LONG,100,ARCA,417.44559111,41.744559111
2018-08-05 00:00:00,ETHUSD,SHORT,100,ARCA,405.39,40.539
2018-08-06 14:00:00,ETHUSD,LONG,100,ARCA,409.73,40.973000000000006
2018-08-06 21:00:00,ETHUSD,SHORT,100,ARCA,405.0,40.5
2018-08-07 19:00:00,ETHUSD,LONG,100,ARCA,410.07593881,41.007593881000005
2018-08-08 04:00:00,ETHUSD,SHORT,100,ARCA,384.77283454,38.477283454
