,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,long_window,short_window
0,-2.11%,0.33%,4.64%,0 days 11:14:51.000000000,38.35%,35.627070011179285,1955,0.6518519862970842,0.1474616100000028,36%,299,-11.85%,0 days 08:00:00.000000000,12,5
1,-2.06%,1.11%,6.46%,0 days 22:49:03.000000000,47.73%,13.544754039881331,1871,1.8536014096926068,0.6476213800000001,37%,148,-11.42%,0 days 09:00:00.000000000,30,5
2,-2.55%,0.68%,6.99%,1 days 05:17:48.000000000,48.05%,23.68551021498079,1893,0.9647668418145551,0.2936093799999995,34%,118,-13.37%,0 days 15:00:00.000000000,45,5
3,-2.87%,0.31%,7.13%,1 days 07:24:33.000000000,50.46%,35.84161399945545,1932,0.3869428861106275,0.04413224000000082,32%,110,-11.85%,0 days 08:00:00.000000000,60,5
4,-3.12%,2.58%,14.77%,2 days 07:33:55.000000000,75.70%,26.73691838835654,2007,1.5849013749419474,0.5134434200000004,32%,69,-19.90%,11 days 09:00:00.000000000,96,5
5,-3.40%,1.89%,16.22%,2 days 14:01:54.000000000,65.39%,35.73737632256025,2033,0.9179727800463292,0.25134488000000044,27%,63,-18.93%,11 days 19:00:00.000000000,120,5
6,-2.37%,1.66%,6.93%,1 days 05:45:40.000000000,51.54%,17.09695930780265,1844,2.118717200716191,0.7074473499999998,43%,113,-9.23%,0 days 03:00:00.000000000,30,12
7,-3.44%,1.37%,8.18%,1 days 17:05:31.000000000,47.56%,25.669892301358953,1493,1.353022181116573,0.4488609900000011,41%,87,-9.20%,0 days 11:00:00.000000000,45,12
8,-3.89%,2.15%,13.23%,2 days 05:09:42.000000000,67.25%,24.15456202161511,2029,1.4286512984286903,0.4717008399999998,35%,68,-14.64%,0 days 10:00:00.000000000,60,12
9,-3.87%,4.21%,21.51%,3 days 15:45:00.000000000,70.39%,21.493371351270515,2012,1.871599936367964,0.62558972,32%,44,-20.45%,11 days 08:00:00.000000000,96,12
10,-4.48%,3.67%,23.69%,4 days 06:36:19.000000000,57.84%,36.11393929101312,2026,0.9543533710688075,0.27334431000000037,29%,38,-17.88%,14 days 20:00:00.000000000,120,12
11,-4.66%,0.16%,7.47%,1 days 17:20:58.000000000,36.71%,38.4525064437881,2616,0.066458898261585,-0.08244438999999981,40%,83,-14.99%,1 days 00:00:00.000000000,45,30
12,-4.52%,0.56%,10.72%,2 days 04:26:22.000000000,65.55%,43.99927964226883,2026,-0.10987833210170296,-0.11297148000000035,33%,66,-15.46%,0 days 15:00:00.000000000,60,30
13,-4.46%,5.28%,19.50%,4 days 17:39:22.000000000,59.43%,19.015880409901833,2029,2.0147178937462455,0.7438089400000003,41%,32,-11.63%,0 days 23:00:00.000000000,96,30
14,-5.82%,2.92%,18.80%,5 days 04:40:39.000000000,62.59%,39.883000592003114,2007,0.5381403072512525,0.11360060000000027,35%,31,-18.46%,15 days 04:00:00.000000000,120,30
15,-3.86%,1.95%,8.49%,2 days 01:47:39.000000000,54.26%,19.39942293029853,2027,1.728128222799672,0.5431427900000008,47%,68,-12.29%,1 days 12:00:00.000000000,60,45
16,-5.33%,5.08%,20.29%,4 days 16:07:30.000000000,70.82%,22.52136567240813,1998,1.613499189725453,0.5739688400000005,41%,32,-15.66%,1 days 01:00:00.000000000,96,45
17,-5.94%,4.30%,22.72%,5 days 17:40:43.000000000,65.64%,30.204479355233982,2026,1.0505968093713263,0.31564391000000014,36%,28,-19.78%,14 days 10:00:00.000000000,120,45
18,-6.91%,3.38%,18.81%,4 days 11:41:09.000000000,64.78%,33.43763900929904,2007,0.9003942400479477,0.2660816499999994,40%,35,-24.62%,2 days 08:00:00.000000000,96,60
19,-6.82%,4.65%,21.33%,5 days 23:15:33.000000000,83.77%,29.357929163644037,2029,1.2110079401047746,0.40625837999999925,41%,27,-17.28%,14 days 16:00:00.000000000,120,60
20,-6.97%,2.46%,19.76%,4 days 14:22:56.000000000,77.71%,39.80690025915256,2090,0.5081774540474067,0.10243840999999976,35%,34,-26.64%,2 days 01:00:00.000000000,120,96
