,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,long_window,short_window
7,-2.30%,0.93%,7.72%,2 days 04:36:46.000000000,22.21%,18.319031604142566,2278,1.2541719476894584,0.1229830016260609,32%,31,-6.17%,0 days 09:00:00.000000000,60,12
5,-2.83%,1.06%,4.72%,1 days 21:47:16.000000000,24.97%,20.05510348639153,2278,1.0635768343769316,0.10527344999999944,52%,33,-10.23%,1 days 01:00:00.000000000,60,45
4,-5.55%,1.98%,7.00%,3 days 23:32:00.000000000,26.25%,18.540680549368894,2278,0.9231313654960106,0.08808630000000006,60%,15,-9.86%,3 days 17:00:00.000000000,96,45
0,-3.41%,1.61%,8.79%,3 days 12:42:21.000000000,26.24%,17.38286723148773,2278,0.7907569028190614,0.07358176985401998,41%,17,-9.03%,0 days 21:00:00.000000000,96,30
3,-2.41%,1.19%,12.61%,2 days 16:28:48.000000000,28.83%,19.35277016022192,2278,0.7464495792984571,0.06854223000000026,24%,25,-7.38%,2 days 09:00:00.000000000,96,12
1,-2.07%,0.39%,6.77%,1 days 06:18:53.000000000,23.18%,25.219256350683576,2278,0.6502712361895436,0.054261130000000435,28%,54,-7.77%,0 days 11:00:00.000000000,30,12
2,-1.43%,0.32%,3.98%,0 days 22:07:36.000000000,22.04%,22.02372374356717,2278,0.564123626211682,0.04379969755022928,32%,71,-4.39%,0 days 11:00:00.000000000,30,5
6,-2.04%,0.48%,8.99%,1 days 17:48:00.000000000,25.90%,24.061124628212475,2278,0.2657821948282844,0.012740046899739843,23%,35,-4.65%,0 days 16:00:00.000000000,96,5
9,-5.65%,1.19%,12.14%,4 days 17:18:28.000000000,29.72%,23.27155850974304,2278,0.17784050707083002,0.0024771299999994945,38%,13,-11.86%,2 days 10:00:00.000000000,120,60
8,-2.26%,0.19%,6.16%,1 days 10:12:30.000000000,24.30%,25.710237067865904,2278,0.15302955784399766,0.00024208551819970836,29%,48,-5.76%,0 days 07:00:00.000000000,45,12
