MACDStrategy_10_12,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:10:00+00:00,ETHUSDT,LONG,1,ARCA,482.53,0.013
2018-07-25 00:31:00+00:00,ETHUSDT,SHORT,1,ARCA,483.17,0.013
2018-07-25 00:48:00+00:00,ETHUSDT,LONG,1,ARCA,481.07,0.013
2018-07-25 00:54:00+00:00,ETHUSDT,SHORT,1,ARCA,479.92,0.013
2018-07-25 01:11:00+00:00,ETHUSDT,LONG,1,ARCA,479.87,0.013
2018-07-25 01:28:00+00:00,ETHUSDT,SHORT,1,ARCA,480.69,0.013
2018-07-25 01:29:00+00:00,ETHUSDT,LONG,1,ARCA,480.51,0.013
2018-07-25 01:31:00+00:00,ETHUSDT,SHORT,1,ARCA,480.5,0.013
2018-07-25 01:32:00+00:00,ETHUSDT,LONG,1,ARCA,480.45,0.013
2018-07-25 01:33:00+00:00,ETHUSDT,SHORT,1,ARCA,480.3,0.013
2018-07-25 01:46:00+00:00,ETHUSDT,LONG,1,ARCA,480.99,0.013
2018-07-25 01:47:00+00:00,ETHUSDT,SHORT,1,ARCA,480.96,0.013
2018-07-25 01:48:00+00:00,ETHUSDT,LONG,1,ARCA,480.9,0.013
2018-07-25 02:07:00+00:00,ETHUSDT,SHORT,1,ARCA,481.11,0.013
2018-07-25 02:32:00+00:00,ETHUSDT,LONG,1,ARCA,478.24,0.013
2018-07-25 02:38:00+00:00,ETHUSDT,SHORT,1,ARCA,478.32,0.013
2018-07-25 02:42:00+00:00,ETHUSDT,LONG,1,ARCA,478.44,0.013
2018-07-25 02:45:00+00:00,ETHUSDT,SHORT,1,ARCA,477.64,0.013
2018-07-25 02:49:00+00:00,ETHUSDT,LONG,1,ARCA,478.53,0.013
2018-07-25 02:50:00+00:00,ETHUSDT,SHORT,1,ARCA,477.95,0.013
2018-07-25 02:55:00+00:00,ETHUSDT,LONG,1,ARCA,478.01,0.013
2018-07-25 02:57:00+00:00,ETHUSDT,SHORT,1,ARCA,478.12,0.013
2018-07-25 03:04:00+00:00,ETHUSDT,LONG,1,ARCA,477.25,0.013
2018-07-25 03:05:00+00:00,ETHUSDT,SHORT,1,ARCA,477.06,0.013
2018-07-25 03:19:00+00:00,ETHUSDT,LONG,1,ARCA,476.24,0.013
2018-07-25 03:24:00+00:00,ETHUSDT,SHORT,1,ARCA,476.15,0.013
2018-07-25 03:25:00+00:00,ETHUSDT,LONG,1,ARCA,476.23,0.013
2018-07-25 03:27:00+00:00,ETHUSDT,SHORT,1,ARCA,476.51,0.013
2018-07-25 03:29:00+00:00,ETHUSDT,LONG,1,ARCA,476.08,0.013
2018-07-25 03:30:00+00:00,ETHUSDT,SHORT,1,ARCA,475.42,0.013
2018-07-25 03:32:00+00:00,ETHUSDT,LONG,1,ARCA,476.13,0.013
2018-07-25 03:34:00+00:00,ETHUSDT,SHORT,1,ARCA,476.48,0.013
2018-07-25 03:35:00+00:00,ETHUSDT,LONG,1,ARCA,477.1,0.013
2018-07-25 03:36:00+00:00,ETHUSDT,SHORT,1,ARCA,476.62,0.013
2018-07-25 03:38:00+00:00,ETHUSDT,LONG,1,ARCA,476.95,0.013
2018-07-25 03:55:00+00:00,ETHUSDT,SHORT,1,ARCA,478.72,0.013
2018-07-25 03:59:00+00:00,ETHUSDT,LONG,1,ARCA,480.12,0.013
2018-07-25 04:01:00+00:00,ETHUSDT,SHORT,1,ARCA,479.71,0.013
2018-07-25 04:02:00+00:00,ETHUSDT,LONG,1,ARCA,479.21,0.013
2018-07-25 04:08:00+00:00,ETHUSDT,SHORT,1,ARCA,478.64,0.013
2018-07-25 04:14:00+00:00,ETHUSDT,LONG,1,ARCA,479.94,0.013
2018-07-25 04:17:00+00:00,ETHUSDT,SHORT,1,ARCA,479.43,0.013
2018-07-25 04:18:00+00:00,ETHUSDT,LONG,1,ARCA,479.16,0.013
