MACDStrategy_12_45,tickers,['ETHUSD'],initial equity,100000.0,frequency,60 min
Start date,2017-01-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-07-02 18:00:00,ETHUSD,LONG,100,ARCA,270.25,27.025000000000002
2017-07-04 19:00:00,ETHUSD,SHORT,100,ARCA,264.37,26.437
2017-07-06 08:00:00,ETHUSD,LONG,100,ARCA,272.55,27.255000000000003
2017-07-07 06:00:00,ETHUSD,SHORT,100,ARCA,259.0,25.900000000000002
2017-07-09 02:00:00,ETHUSD,LONG,100,ARCA,245.0,24.5
2017-07-09 19:00:00,ETHUSD,SHORT,100,ARCA,240.6,24.060000000000002
2017-07-12 14:00:00,ETHUSD,LONG,100,ARCA,202.5,20.25
2017-07-13 17:00:00,ETHUSD,SHORT,100,ARCA,192.63,19.263
2017-07-17 08:00:00,ETHUSD,LONG,100,ARCA,176.51,17.651
2017-07-19 23:00:00,ETHUSD,SHORT,100,ARCA,194.63,19.463
2017-07-20 18:00:00,ETHUSD,LONG,100,ARCA,226.0,22.6
2017-07-21 21:00:00,ETHUSD,SHORT,100,ARCA,212.87,21.287000000000003
2017-07-22 12:00:00,ETHUSD,LONG,100,ARCA,228.39,22.839
2017-07-23 18:00:00,ETHUSD,SHORT,100,ARCA,230.73,23.073
2017-07-23 19:00:00,ETHUSD,LONG,100,ARCA,232.58,23.258000000000003
2017-07-24 08:00:00,ETHUSD,SHORT,100,ARCA,226.0,22.6
2017-07-27 05:00:00,ETHUSD,LONG,100,ARCA,202.36,20.236000000000004
2017-07-28 10:00:00,ETHUSD,SHORT,100,ARCA,197.0,19.700000000000003
2017-07-30 00:00:00,ETHUSD,LONG,100,ARCA,203.77,20.377000000000002
2017-07-31 07:00:00,ETHUSD,SHORT,100,ARCA,194.77,19.477000000000004
2017-07-31 23:00:00,ETHUSD,LONG,100,ARCA,200.81,20.081000000000003
2017-08-02 21:00:00,ETHUSD,SHORT,100,ARCA,216.24,21.624000000000002
2017-08-03 13:00:00,ETHUSD,LONG,100,ARCA,224.51,22.451
2017-08-08 01:00:00,ETHUSD,SHORT,100,ARCA,268.88,26.888
2017-08-08 08:00:00,ETHUSD,LONG,100,ARCA,273.73,27.373000000000005
2017-08-10 08:00:00,ETHUSD,SHORT,100,ARCA,298.0,29.8
2017-08-10 11:00:00,ETHUSD,LONG,100,ARCA,305.57,30.557000000000002
2017-08-11 19:00:00,ETHUSD,SHORT,100,ARCA,298.79,29.879000000000005
2017-08-11 22:00:00,ETHUSD,LONG,100,ARCA,307.89,30.789
2017-08-13 04:00:00,ETHUSD,SHORT,100,ARCA,297.75,29.775000000000002
2017-08-14 09:00:00,ETHUSD,LONG,100,ARCA,301.38,30.138
2017-08-15 02:00:00,ETHUSD,SHORT,100,ARCA,293.0,29.3
2017-08-16 14:00:00,ETHUSD,LONG,100,ARCA,300.14,30.014
2017-08-18 02:00:00,ETHUSD,SHORT,100,ARCA,300.58,30.058
2017-08-18 13:00:00,ETHUSD,LONG,100,ARCA,300.44,30.044
2017-08-18 16:00:00,ETHUSD,SHORT,100,ARCA,297.08,29.708
2017-08-20 09:00:00,ETHUSD,LONG,100,ARCA,294.53,29.453
2017-08-22 08:00:00,ETHUSD,SHORT,100,ARCA,298.58,29.858
2017-08-23 08:00:00,ETHUSD,LONG,100,ARCA,322.12,32.212
2017-08-26 06:00:00,ETHUSD,SHORT,100,ARCA,327.5,32.75
2017-08-26 22:00:00,ETHUSD,LONG,100,ARCA,332.01,33.201
2017-09-02 04:00:00,ETHUSD,SHORT,100,ARCA,378.0,37.800000000000004
2017-09-05 20:00:00,ETHUSD,LONG,100,ARCA,317.6,31.760000000000005
2017-09-08 10:00:00,ETHUSD,SHORT,100,ARCA,331.77,33.177
2017-09-10 23:00:00,ETHUSD,LONG,100,ARCA,297.9,29.79
2017-09-11 15:00:00,ETHUSD,SHORT,100,ARCA,299.11,29.911
2017-09-11 16:00:00,ETHUSD,LONG,100,ARCA,301.7,30.17
2017-09-12 23:00:00,ETHUSD,SHORT,100,ARCA,293.85,29.385000000000005
2017-09-15 22:00:00,ETHUSD,LONG,100,ARCA,260.59,26.058999999999997
2017-09-17 07:00:00,ETHUSD,SHORT,100,ARCA,241.67,24.167
2017-09-17 20:00:00,ETHUSD,LONG,100,ARCA,259.09,25.909
2017-09-19 20:00:00,ETHUSD,SHORT,100,ARCA,281.81,28.181
2017-09-20 16:00:00,ETHUSD,LONG,100,ARCA,293.61,29.361000000000004
2017-09-21 04:00:00,ETHUSD,SHORT,100,ARCA,280.84,28.084
2017-09-23 07:00:00,ETHUSD,LONG,100,ARCA,266.81,26.681
2017-09-26 20:00:00,ETHUSD,SHORT,100,ARCA,289.68,28.968000000000004
2017-09-27 13:00:00,ETHUSD,LONG,100,ARCA,295.07,29.507
2017-09-28 23:00:00,ETHUSD,SHORT,100,ARCA,302.63,30.263
2017-09-30 07:00:00,ETHUSD,LONG,100,ARCA,302.42,30.242000000000004
2017-10-01 13:00:00,ETHUSD,SHORT,100,ARCA,297.14,29.714
2017-10-02 02:00:00,ETHUSD,LONG,100,ARCA,301.74,30.174000000000003
2017-10-02 11:00:00,ETHUSD,SHORT,100,ARCA,300.15,30.015
2017-10-04 15:00:00,ETHUSD,LONG,100,ARCA,292.99,29.299000000000003
2017-10-04 18:00:00,ETHUSD,SHORT,100,ARCA,291.53,29.153
2017-10-05 01:00:00,ETHUSD,LONG,100,ARCA,292.46,29.246
2017-10-05 04:00:00,ETHUSD,SHORT,100,ARCA,288.8,28.880000000000003
2017-10-05 19:00:00,ETHUSD,LONG,100,ARCA,296.87,29.687
2017-10-09 03:00:00,ETHUSD,SHORT,100,ARCA,305.12,30.512
2017-10-10 18:00:00,ETHUSD,LONG,100,ARCA,302.36,30.236000000000004
2017-10-13 03:00:00,ETHUSD,SHORT,100,ARCA,302.79,30.279000000000003
2017-10-13 05:00:00,ETHUSD,LONG,100,ARCA,315.05,31.505000000000003
2017-10-15 07:00:00,ETHUSD,SHORT,100,ARCA,339.3,33.93
2017-10-16 05:00:00,ETHUSD,LONG,100,ARCA,349.84,34.984
