,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,long_window,short_window
0,-0.14%,0.01%,0.30%,0 days 00:08:08.000000000,0.70%,0.8066388921417897,143,0.018131303850693357,0.00012000000000078614,33%,15,-0.54%,0 days 00:06:00.000000000,10,5
1,-0.21%,-0.03%,0.30%,0 days 00:08:34.285714285,0.69%,1.235962416895988,239,-0.5417376094389739,-0.004807999999998036,36%,14,-0.53%,0 days 00:05:00.000000000,12,5
2,-0.15%,0.06%,0.34%,0 days 00:16:51.428571428,0.52%,0.9021750989357141,143,0.3962892318852054,0.0035360000000004277,43%,7,-0.23%,0 days 00:03:00.000000000,26,5
3,-0.19%,0.03%,0.25%,0 days 00:18:50.000000000,0.41%,0.7448212885487433,143,0.1681122754396208,0.001428000000000651,50%,6,-0.26%,0 days 00:05:00.000000000,30,5
4,-0.25%,0.04%,0.33%,0 days 00:29:15.000000000,0.34%,1.0060805539398348,239,0.16197791276530313,0.001432000000000766,50%,4,-0.27%,0 days 00:21:00.000000000,35,5
5,-0.22%,-0.09%,0.17%,0 days 00:27:00.000000000,0.17%,1.0154108195347822,239,0.3302272030149239,0.003118000000000176,33%,3,-0.24%,0 days 00:23:00.000000000,45,5
6,-0.22%,-0.09%,0.17%,0 days 00:22:40.000000000,0.17%,1.0094553308571967,239,0.29694142609964075,0.0027180000000002202,33%,3,-0.25%,0 days 00:24:00.000000000,60,5
7,-0.16%,0.01%,0.17%,0 days 00:27:30.000000000,0.17%,0.8170930465699271,239,0.45816583661352206,0.004130000000000411,50%,2,-0.16%,0 days 00:24:00.000000000,72,5
8,-0.23%,-0.03%,0.17%,0 days 00:27:00.000000000,0.17%,0.846870489958052,239,0.342202057718451,0.0030700000000005723,50%,2,-0.23%,0 days 00:23:00.000000000,84,5
9,-0.22%,-0.03%,0.17%,0 days 00:25:00.000000000,0.17%,0.878633096238687,239,0.2028396368501407,0.0017700000000004934,50%,2,-0.22%,0 days 00:19:00.000000000,96,5
10,-0.21%,-0.02%,0.17%,0 days 00:23:00.000000000,0.17%,1.0306965738073477,239,-0.04591357645342795,-0.00043000000000004146,50%,2,-0.21%,0 days 00:15:00.000000000,120,5
11,-0.08%,-0.02%,0.17%,0 days 00:12:15.000000000,0.17%,0.8937203342220148,239,-0.1486780916721963,-0.0009679999999997468,25%,4,-0.21%,0 days 00:15:00.000000000,252,5
12,-0.09%,-0.01%,0.11%,0 days 00:05:40.000000000,0.37%,0.9546425365303862,239,-0.26643405867374736,-0.002417999999997811,38%,21,-0.24%,0 days 00:06:00.000000000,12,10
13,-0.19%,0.07%,0.24%,0 days 00:23:24.000000000,0.57%,0.893335217670882,203,0.3586606781634015,0.003273999999999555,60%,5,-0.33%,0 days 00:20:00.000000000,26,10
14,-0.18%,-0.06%,0.45%,0 days 00:22:36.000000000,0.45%,1.2926289892054994,239,-0.2858616872946146,-0.002685999999999522,20%,5,-0.24%,0 days 00:21:00.000000000,30,10
15,-0.21%,-0.21%,nan%,0 days 00:17:30.000000000,-0.11%,1.296012834727,239,-0.23521805040634167,-0.002373999999999432,0%,4,-0.43%,0 days 00:27:00.000000000,35,10
16,-0.23%,-0.23%,nan%,0 days 00:26:20.000000000,-0.17%,1.17877253989454,239,-0.12169896986369955,-0.0012619999999998743,0%,3,-0.30%,0 days 00:28:00.000000000,45,10
17,-0.28%,-0.28%,nan%,0 days 00:24:20.000000000,-0.26%,1.2908375415765836,239,-0.4528254284538716,-0.004462000000000965,0%,3,-0.30%,0 days 00:28:00.000000000,60,10
18,-0.36%,-0.36%,nan%,0 days 00:27:00.000000000,-0.30%,1.1907155240880234,239,-0.48708066270839295,-0.004710000000000214,0%,2,-0.42%,0 days 00:26:00.000000000,72,10
19,-0.40%,-0.40%,nan%,0 days 00:25:00.000000000,-0.30%,1.3837937685489168,239,-0.7007237386778258,-0.006649999999999601,0%,2,-0.50%,0 days 00:22:00.000000000,84,10
20,-0.48%,-0.48%,nan%,0 days 00:23:30.000000000,-0.30%,1.5291000762360645,239,-0.8619834137209523,-0.008110000000000062,0%,2,-0.65%,0 days 00:19:00.000000000,96,10
21,-0.39%,-0.39%,nan%,0 days 00:21:00.000000000,-0.30%,1.5390525630639138,239,-0.9027022760510709,-0.00820999999999994,0%,2,-0.48%,0 days 00:14:00.000000000,120,10
22,-0.39%,-0.39%,nan%,0 days 00:21:00.000000000,-0.30%,1.2378903116521673,239,-1.109451009983922,-0.007663999999999893,0%,2,-0.48%,0 days 00:14:00.000000000,252,10
23,-0.23%,0.02%,0.21%,0 days 00:17:17.142857142,0.68%,0.916928071599335,203,0.10829465013786377,0.0009360000000011581,57%,7,-0.30%,0 days 00:24:00.000000000,26,12
24,-0.28%,-0.17%,0.40%,0 days 00:19:30.000000000,0.40%,1.6240674674000477,239,-1.0886604144133412,-0.010172000000000292,17%,6,-0.62%,0 days 00:25:00.000000000,30,12
25,-0.19%,-0.07%,0.53%,0 days 00:18:10.000000000,0.53%,1.1847476453613888,239,-0.4750967145139932,-0.004531999999998537,17%,6,-0.50%,0 days 00:26:00.000000000,35,12
26,-0.44%,-0.44%,nan%,0 days 00:39:30.000000000,-0.25%,1.1424708399722836,239,-0.4325450193393318,-0.004429999999999268,0%,2,-0.63%,0 days 00:27:00.000000000,45,12
27,-0.45%,-0.45%,nan%,0 days 00:24:00.000000000,-0.27%,1.6029290647054897,239,-1.0915678145558538,-0.010681999999999636,0%,3,-0.63%,0 days 00:27:00.000000000,60,12
28,-0.56%,-0.56%,nan%,0 days 00:27:00.000000000,-0.49%,1.5099998604067786,239,-1.0234422675204413,-0.009749999999999592,0%,2,-0.63%,0 days 00:27:00.000000000,72,12
29,-0.60%,-0.60%,nan%,0 days 00:25:00.000000000,-0.57%,1.5837848509443926,239,-1.1096008863215736,-0.010489999999999777,0%,2,-0.63%,0 days 00:27:00.000000000,84,12
30,-0.68%,-0.68%,nan%,0 days 00:23:00.000000000,-0.63%,1.8589829237602056,239,-1.425711756388141,-0.013249999999999984,0%,2,-0.74%,0 days 00:19:00.000000000,96,12
31,-0.59%,-0.59%,nan%,0 days 00:20:30.000000000,-0.56%,1.593755795611609,239,-1.20184313950206,-0.010589999999999877,0%,2,-0.63%,0 days 00:27:00.000000000,120,12
32,-0.59%,-0.59%,nan%,0 days 00:20:30.000000000,-0.56%,1.518774291713947,239,-1.7224364148931492,-0.011543999999999555,0%,2,-0.63%,0 days 00:27:00.000000000,252,12
33,-0.48%,-0.24%,0.73%,0 days 00:20:12.000000000,0.73%,2.0052109890680616,233,-1.0978530011461263,-0.01046599999999942,20%,5,-0.81%,0 days 00:16:00.000000000,30,26
34,-0.46%,-0.26%,0.52%,0 days 00:22:12.000000000,0.52%,1.9152284456814883,233,-1.36449118675508,-0.012959999999999083,20%,5,-0.93%,0 days 00:22:00.000000000,35,26
35,-0.54%,-0.54%,nan%,0 days 00:36:30.000000000,-0.52%,1.0781908309787918,233,-0.803709791532937,-0.00810999999999995,0%,2,-0.55%,0 days 00:21:00.000000000,45,26
36,-0.59%,-0.59%,nan%,0 days 00:35:00.000000000,-0.48%,1.4661155735786933,233,-1.2006538239444324,-0.011989999999999612,0%,2,-0.70%,0 days 00:22:00.000000000,60,26
37,-0.60%,-0.60%,nan%,0 days 00:30:30.000000000,-0.50%,1.2921493230313699,233,-1.0501935436672705,-0.010250000000000425,0%,2,-0.70%,0 days 00:22:00.000000000,72,26
38,-0.71%,-0.71%,nan%,0 days 00:25:00.000000000,-0.70%,1.552098892814781,233,-1.3809356414694616,-0.012849999999999695,0%,2,-0.73%,0 days 00:28:00.000000000,84,26
39,-0.97%,-0.97%,nan%,0 days 00:23:00.000000000,-0.70%,2.0580007478548987,233,-1.9222721175629114,-0.01790999999999965,0%,2,-1.24%,0 days 00:24:00.000000000,96,26
40,-0.59%,-0.59%,nan%,0 days 00:15:30.000000000,-0.48%,1.2189635210769312,233,-1.079876087522501,-0.009349999999999747,0%,2,-0.70%,0 days 00:22:00.000000000,120,26
41,-0.65%,-0.65%,nan%,0 days 00:15:30.000000000,-0.61%,1.2915494394087532,233,-1.8964523421702284,-0.012723999999999958,0%,2,-0.70%,0 days 00:22:00.000000000,252,26
42,-0.54%,-0.21%,0.28%,0 days 00:20:36.000000000,0.48%,1.554199999999939,230,-1.118238458698355,-0.010579999999999257,40%,5,-0.97%,0 days 00:21:00.000000000,35,30
43,-0.48%,-0.48%,nan%,0 days 00:24:40.000000000,-0.10%,1.5302000000000038,230,-1.2587310265323477,-0.012822,0%,3,-0.82%,0 days 00:19:00.000000000,45,30
44,-0.71%,-0.71%,nan%,0 days 00:34:00.000000000,-0.46%,1.538999999999946,230,-1.292849122264754,-0.012909999999999422,0%,2,-0.96%,0 days 00:21:00.000000000,60,30
45,-0.83%,-0.83%,nan%,0 days 00:30:30.000000000,-0.69%,1.7489999999999783,230,-1.4806173639225328,-0.015009999999999968,0%,2,-0.96%,0 days 00:21:00.000000000,72,30
46,-0.92%,-0.92%,nan%,0 days 00:25:30.000000000,-0.88%,1.8949999999999578,230,-1.6874674541167274,-0.01646999999999965,0%,2,-0.96%,0 days 00:21:00.000000000,84,30
47,-0.98%,-0.98%,nan%,0 days 00:22:30.000000000,-0.96%,1.991799999999988,230,-1.8333903284001174,-0.017189999999999928,0%,2,-1.00%,0 days 00:24:00.000000000,96,30
48,-0.58%,-0.58%,nan%,0 days 00:12:00.000000000,-0.19%,1.4229999999999854,230,-1.4112329351659947,-0.011749999999999816,0%,2,-0.96%,0 days 00:21:00.000000000,120,30
49,-0.96%,-0.96%,nan%,0 days 00:21:00.000000000,-0.96%,0.9391999999999845,230,-1.5054237440240354,-0.009391999999999845,0%,1,-0.96%,0 days 00:21:00.000000000,252,30
