,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,long_window,short_window
0,nan%,0.67%,0.67%,0 days 01:35:00,0.67%,0.3195153983443785,40,1.5885035780319738,0.0064280000000001,100%,1,0.67%,0 days 01:35:00,72,5
1,-0.04%,0.24%,0.82%,0 days 00:24:40,0.82%,0.31937748121454035,39,1.8022512955625496,0.006864000000000203,33%,3,-0.05%,0 days 00:19:00,26,5
2,-0.23%,0.21%,0.65%,0 days 00:37:00,0.65%,0.47449937638921774,44,0.9940260700843732,0.0038560000000005257,50%,2,-0.23%,0 days 00:24:00,26,10
3,-0.21%,0.26%,0.73%,0 days 00:35:30,0.73%,0.44246647816102774,44,1.274799259078747,0.0048760000000001025,50%,2,-0.21%,0 days 00:16:00,45,5
4,nan%,0.55%,0.55%,0 days 01:36:00,0.55%,0.4423297486069345,40,1.2541049996251956,0.0051880000000001925,100%,1,0.55%,0 days 01:36:00,84,5
5,-0.14%,0.11%,0.62%,0 days 00:25:40,0.62%,0.5620684117552655,72,0.8210950439768414,0.0031040000000002177,33%,3,-0.20%,0 days 00:14:00,60,5
6,N/A,N/A,N/A,0,N/A,0.959185749012383,26,-1.9092554292821629,-0.006686000000000081,N/A,0,N/A,0,120,72
7,N/A,N/A,N/A,0,N/A,0.959185749012383,26,-1.9092554292821629,-0.006686000000000081,N/A,0,N/A,0,252,72
8,nan%,0.55%,0.55%,0 days 01:36:00,0.55%,0.4423297486069345,40,1.2541049996251956,0.0051880000000001925,100%,1,0.55%,0 days 01:36:00,96,5
9,N/A,N/A,N/A,0,N/A,0.9594536101187406,26,-1.9131741370329889,-0.006965999999999584,N/A,0,N/A,0,120,60
