,Parameters,Target
0,"[1.0, 1.0]",-0.9953158227151784
1,"[6.0, 6.0]",-0.6731300068158033
2,"[11.0, 11.0]",0.17952961635206188
3,"[16.0, 16.0]",2.1865016780269837
4,"[21.0, 21.0]",0.8771751288311791
5,"[26.0, 26.0]",-0.046728983575410665
6,"[31.0, 31.0]",0.983098156803867
7,"[36.0, 36.0]",1.7002858647791643
8,"[41.0, 41.0]",0.8585563258537316
9,"[46.0, 46.0]",0.4298806161626245
10,"[51.0, 51.0]",0.6104916858243778
11,"[56.0, 56.0]",0.6676276890337203
12,"[61.0, 61.0]",0.41558108540723393
13,"[66.0, 66.0]",0.2508107726083324
14,"[71.0, 71.0]",0.28148477858242127
15,"[76.0, 76.0]",0.23573136379756798
16,"[81.0, 81.0]",0.8286333830753743
17,"[86.0, 86.0]",0.9379559264803716
18,"[91.0, 91.0]",1.009664730513149
19,"[96.0, 96.0]",1.1385848703650496
20,"[101.0, 101.0]",1.1653149647294292
21,"[106.0, 106.0]",0.5187706649059749
22,"[111.0, 111.0]",0.355701836472071
23,"[116.0, 116.0]",0.05833906484267759
24,"[19.0, 14.0]",2.2427347574175065
25,"[42.0, 29.0]",1.4172812801148686
26,"[26.0, 9.0]",0.16044938459925207
27,"[18.0, 16.0]",2.164513069999238
28,"[17.0, 14.0]",2.713998740811958
29,"[17.0, 12.0]",2.2686732351099868
30,"[31.0, 41.0]",1.1797650087079465
31,"[48.0, 34.0]",0.5041048305677156
32,"[68.0, 3.0]",0.4432065382333181
33,"[110.0, 38.0]",1.032538095499223
34,"[120.0, 84.0]",0.43505074030285185
35,"[104.0, 92.0]",1.6454663123489226
36,"[82.0, 53.0]",0.3091103627061913
37,"[44.0, 8.0]",0.8821206043244443
38,"[25.0, 93.0]",0.7128920669054195
39,"[43.0, 90.0]",1.3281268078911594
40,"[106.0, 47.0]",0.8976310560808474
41,"[78.0, 104.0]",0.5746579581156277
42,"[100.0, 38.0]",0.5047464824037937
43,"[10.0, 43.0]",1.6412138001903416
44,"[17.0, 42.0]",1.733185332741884
45,"[15.0, 48.0]",1.5583502477405413
46,"[99.0, 86.0]",1.143772039598972
47,"[13.0, 36.0]",2.767894384733921
48,"[90.0, 17.0]",0.27318664791564706
49,"[109.0, 1.0]",-0.3194253466056082
50,"[10.0, 35.0]",0.7235964290655026
51,"[15.0, 37.0]",1.9613104237741101
52,"[13.0, 38.0]",3.0450695697944505
53,"[12.0, 39.0]",1.9933736821725434
54,"[13.0, 37.0]",2.7930061714236283
55,"[14.0, 39.0]",2.285152802790753
56,"[14.0, 34.0]",2.4661006516334183
57,"[14.0, 44.0]",1.6951665870897932
58,"[15.0, 14.0]",2.2941937479610477
59,"[76.0, 38.0]",0.07426625693986244
60,"[17.0, 45.0]",1.9000721272806884
61,"[100.0, 92.0]",1.5957507121291514
62,"[102.0, 95.0]",1.6293696745808646
63,"[39.0, 33.0]",1.6867125665769236
64,"[36.0, 32.0]",1.3321330284606256
65,"[11.0, 47.0]",1.7964810397726145
66,"[16.0, 20.0]",2.0505478509091635
67,"[13.0, 19.0]",1.5983734358259447
68,"[69.0, 42.0]",0.2673184003004718
69,"[32.0, 36.0]",1.2964190859619924
70,"[15.0, 23.0]",1.9498477953605526
71,"[14.0, 29.0]",2.0496332807327824
72,"[17.0, 27.0]",2.56468085357339
73,"[17.0, 30.0]",2.3994400818674726
74,"[19.0, 28.0]",1.4548957983833173
75,"[16.0, 28.0]",2.8987737377699005
76,"[15.0, 27.0]",2.290157068955278
77,"[16.0, 29.0]",2.885173504601207
78,"[106.0, 96.0]",0.9452264173914284
79,"[15.0, 31.0]",2.874800454110189
80,"[16.0, 32.0]",2.4337969862230224
81,"[14.0, 32.0]",3.0879942078682276
82,"[13.0, 32.0]",1.904918743133778
83,"[15.0, 32.0]",2.7054849487525523
84,"[14.0, 31.0]",2.505715100557895
85,"[17.0, 24.0]",2.5452643335855014
86,"[14.0, 41.0]",1.979777184113055
87,"[17.0, 22.0]",2.318451526858421
88,"[19.0, 24.0]",1.7852016940402322
89,"[14.0, 33.0]",2.700044010020255
90,"[28.0, 83.0]",0.8860989335865486
91,"[7.0, 58.0]",1.8814195778802643
92,"[87.0, 109.0]",0.8715475958453343
93,"[97.0, 113.0]",0.8612425517618645
94,"[18.0, 95.0]",1.141150839606953
95,"[72.0, 55.0]",0.1087719306774988
96,"[41.0, 2.0]",-0.2617088120587644
97,"[39.0, 36.0]",1.1677999458809931
98,"[102.0, 89.0]",1.5063772825613468
99,"[9.0, 56.0]",1.7039859601371865
100,"[81.0, 85.0]",1.2337969151366561
101,"[71.0, 19.0]",0.35660051152739425
102,"[102.0, 114.0]",0.2568629926867678
103,"[11.0, 85.0]",1.7693610704353167
104,"[104.0, 76.0]",1.4872488856670976
105,"[17.0, 16.0]",2.0317564221895728
106,"[66.0, 8.0]",0.20428419703834377
107,"[13.0, 16.0]",1.168136730249473
108,"[6.0, 55.0]",0.7470086519325467
109,"[10.0, 59.0]",2.3423648324196202
110,"[116.0, 108.0]",0.13112392916912463
111,"[42.0, 32.0]",1.1663483559223393
112,"[59.0, 116.0]",0.7017259059961922
113,"[80.0, 6.0]",0.21968320980381062
114,"[35.0, 73.0]",0.7659115768180076
115,"[44.0, 78.0]",1.0083288811556477
116,"[8.0, 60.0]",1.700226129323267
117,"[12.0, 58.0]",2.321646957799828
118,"[12.0, 60.0]",2.7066301176257106
119,"[14.0, 60.0]",2.1971121697263496
120,"[12.0, 62.0]",2.4713848510857668
121,"[11.0, 61.0]",2.5342011512786233
122,"[15.0, 63.0]",1.7699927448189272
123,"[21.0, 16.0]",1.5034033836023988
