MACD_BOLLStrategy2_13_33_153_0.1,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-04-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-29 10:00:00,BTCUSDT,LONG,0.0001734128127592947,Binance,5760.82,0.001
2017-10-31 00:00:00,BTCUSDT,SHORT,0.0001734128127592947,Binance,6165.84,0.0010692356574237697
2017-10-31 07:00:00,BTCUSDT,LONG,0.00017442117041758818,Binance,6117.94,0.0010681664217663458
2017-11-04 04:00:00,BTCUSDT,SHORT,0.00017442117041758818,Binance,7178.87,0.0012521469076757113
2017-11-04 17:00:00,BTCUSDT,LONG,0.00017176975550985037,Binance,7275.11,0.0012508947607680356
2017-11-06 03:00:00,BTCUSDT,SHORT,0.00017176975550985037,Binance,7215.54,0.0012394115416715457
2017-11-08 03:00:00,BTCUSDT,LONG,0.0001687101587487427,Binance,7331.71,0.0012381721301298742
2017-11-08 18:00:00,BTCUSDT,SHORT,0.0001687101587487427,Binance,7070.0,0.001192780822353611
2017-11-08 23:00:00,BTCUSDT,LONG,0.00016300102060656254,Binance,7303.0,0.0011915880415312575
2017-11-09 03:00:00,BTCUSDT,SHORT,0.00016300102060656254,Binance,7276.0,0.001185995425933349
2017-11-15 00:00:00,BTCUSDT,LONG,0.0001766079360125736,Binance,6701.99,0.0011848094305074155
2017-11-18 00:00:00,BTCUSDT,SHORT,0.0001766079360125736,Binance,7604.98,0.0013430998212169021
2017-11-18 20:00:00,BTCUSDT,LONG,0.00017305725449283965,Binance,7745.5,0.001341756721395685
2017-11-21 12:00:00,BTCUSDT,SHORT,0.00017305725449283965,Binance,8226.52,0.0014236589652304352
2017-11-21 16:00:00,BTCUSDT,LONG,0.00017143242380858575,Binance,8287.89,0.0014222353062652048
2017-11-22 04:00:00,BTCUSDT,SHORT,0.00017143242380858575,Binance,8175.28,0.001401508065713855
2017-11-22 08:00:00,BTCUSDT,LONG,0.00016843503787759742,Binance,8304.13,0.0014001065576481411
2017-11-22 21:00:00,BTCUSDT,SHORT,0.00016843503787759742,Binance,8176.15,0.0013771501349429181
2017-11-24 14:00:00,BTCUSDT,LONG,0.00016872091655309332,Binance,8145.98,0.0013757729848079751
2017-11-30 01:00:00,BTCUSDT,SHORT,0.00016872091655309332,Binance,10415.03,0.0017572334075279636
2017-12-01 11:00:00,BTCUSDT,LONG,0.00017616392664490037,Binance,9955.05,0.001755476174120436
2017-12-04 09:00:00,BTCUSDT,SHORT,0.00017616392664490037,Binance,11346.81,0.001998898604493622
2017-12-04 10:00:00,BTCUSDT,LONG,0.00017576483952049004,Binance,11349.84,0.001996899705889128
2017-12-04 13:00:00,BTCUSDT,SHORT,0.00017576483952049004,Binance,11210.0,0.0019703238510246934
2017-12-05 02:00:00,BTCUSDT,LONG,0.00017067286040171393,Binance,11521.37,0.001968353527173669
2017-12-08 16:00:00,BTCUSDT,SHORT,0.00017067286040171393,Binance,15215.01,0.0025967892777406815
2017-12-10 18:00:00,BTCUSDT,LONG,0.00017306130912422062,Binance,14975.03,0.002594192488462941
2017-12-12 15:00:00,BTCUSDT,SHORT,0.00017306130912422062,Binance,16311.68,0.002822920694815367
2017-12-14 09:00:00,BTCUSDT,LONG,0.00017807743843732262,Binance,15820.52,0.0028200977741205517
2017-12-14 12:00:00,BTCUSDT,SHORT,0.00017807743843732262,Binance,16181.06,0.0028814817160006233
2017-12-14 15:00:00,BTCUSDT,LONG,0.00017889915568659122,Binance,16074.54,0.0028786002342846223
2017-12-18 00:00:00,BTCUSDT,SHORT,0.00017889915568659122,Binance,17849.98,0.0031933463510225397
2017-12-19 07:00:00,BTCUSDT,LONG,0.00017169276665979845,Binance,18562.01,0.003190153004671517
2017-12-19 09:00:00,BTCUSDT,SHORT,0.00017169276665979845,Binance,18234.89,0.003130798713837092
2017-12-26 04:00:00,BTCUSDT,LONG,0.0002131334232291724,Binance,14660.02,0.003127667915123255
2017-12-27 18:00:00,BTCUSDT,SHORT,0.0002131334232291724,Binance,15049.07,0.0032074598055154414
2017-12-29 06:00:00,BTCUSDT,LONG,0.00021583523768248735,Binance,14830.98,0.003204252345709926
2017-12-29 10:00:00,BTCUSDT,SHORT,0.00021583523768248735,Binance,13900.7,0.003000260888452952
2017-12-29 14:00:00,BTCUSDT,LONG,0.00020875766419304793,Binance,14343.25,0.0029972606275644994
2017-12-30 01:00:00,BTCUSDT,SHORT,0.00020875766419304793,Binance,13764.51,0.0028734469563618504
2018-01-02 18:00:00,BTCUSDT,LONG,0.00019668744416296863,Binance,14580.0,0.0028705735094054882
2018-01-04 09:00:00,BTCUSDT,SHORT,0.00019668744416296863,Binance,14299.01,0.00281243573096073
2018-01-05 02:00:00,BTCUSDT,LONG,0.0001859049690282121,Binance,15098.11,0.0028096232952297693
2018-01-07 13:00:00,BTCUSDT,SHORT,0.0001859049690282121,Binance,16386.0,0.003046238822496284
2018-01-15 12:00:00,BTCUSDT,LONG,0.00021417043966820103,Binance,14195.0,0.0030431925836737874
2018-01-15 17:00:00,BTCUSDT,SHORT,0.00021417043966820103,Binance,13825.05,0.0029609170369348627
2018-01-20 04:00:00,BTCUSDT,LONG,0.0002394650051683979,Binance,12340.0,0.002957956119897928
2018-01-21 07:00:00,BTCUSDT,SHORT,0.0002394650051683979,Binance,11701.14,0.002802013550576147
2018-01-25 02:00:00,BTCUSDT,LONG,0.00024205808411823654,Binance,11552.65,0.002799211537025571
2018-01-25 08:00:00,BTCUSDT,SHORT,0.00024205808411823654,Binance,11275.0,0.0027292048984331172
2018-01-27 07:00:00,BTCUSDT,LONG,0.00024224713064060422,Binance,11243.68,0.0027264756935346836
2018-01-27 11:00:00,BTCUSDT,SHORT,0.00024224713064060422,Binance,11020.0,0.0026695633796594586
2018-01-27 15:00:00,BTCUSDT,LONG,0.0002323801606167946,Binance,11464.95,0.0026668938162797994
2018-01-29 05:00:00,BTCUSDT,SHORT,0.0002323801606167946,Binance,11590.0,0.0026932860615486495
2018-02-08 01:00:00,BTCUSDT,LONG,0.00032502783426745317,Binance,8269.76,0.002690592775487101
2018-02-09 09:00:00,BTCUSDT,SHORT,0.00032502783426745317,Binance,8269.76,0.002687902182711614
2018-02-09 11:00:00,BTCUSDT,LONG,0.0003239722451182317,Binance,8280.12,0.002685214280528902
2018-02-09 12:00:00,BTCUSDT,SHORT,0.0003239722451182317,Binance,8241.0,0.0026698552720193476
2018-02-09 13:00:00,BTCUSDT,LONG,0.00032064190895620076,Binance,8309.95,0.0026671854167473284
2018-02-10 18:00:00,BTCUSDT,SHORT,0.00032064190895620076,Binance,8272.59,0.0026525390496119766
2018-02-11 21:00:00,BTCUSDT,LONG,0.00031835004600472164,Binance,8315.49,0.0026498865105623647
2018-02-13 11:00:00,BTCUSDT,SHORT,0.00031835004600472164,Binance,8531.46,0.0027159906834874426
2018-02-14 06:00:00,BTCUSDT,LONG,0.0003080607013136068,Binance,8798.79,0.0027132746928039547
2018-02-16 15:00:00,BTCUSDT,SHORT,0.0003080607013136068,Binance,10039.98,0.003092923279974586
2018-02-16 23:00:00,BTCUSDT,LONG,0.0003038136419892477,Binance,10159.98,0.0030898303566946114
2018-02-18 11:00:00,BTCUSDT,SHORT,0.0003038136419892477,Binance,10550.0,0.003205233922986563
2018-02-19 11:00:00,BTCUSDT,LONG,0.00029296396507087866,Binance,10918.84,0.003202028689063576
2018-02-21 04:00:00,BTCUSDT,SHORT,0.00029296396507087866,Binance,10744.8,0.003147839211893577
2018-02-26 18:00:00,BTCUSDT,LONG,0.00030646036767956924,Binance,10251.07,0.003144691372681683
2018-02-28 15:00:00,BTCUSDT,SHORT,0.00030646036767956924,Binance,10506.85,0.0032199331141540824
2018-03-01 14:00:00,BTCUSDT,LONG,0.00029785319930547696,Binance,10788.86,0.0032167131810399282
2018-03-02 20:00:00,BTCUSDT,SHORT,0.00029785319930547696,Binance,11064.86,0.0032957039508672
2018-03-03 02:00:00,BTCUSDT,LONG,0.0002905066100220294,Binance,11322.0,0.003292408246916334
2018-03-04 07:00:00,BTCUSDT,SHORT,0.0002905066100220294,Binance,11140.3,0.0032363307876284142
2018-03-05 00:00:00,BTCUSDT,LONG,0.0002809801637222461,Binance,11494.98,0.003233094456840785
2018-03-06 03:00:00,BTCUSDT,SHORT,0.0002809801637222461,Binance,11280.01,0.0031694590565885736
2018-03-12 09:00:00,BTCUSDT,LONG,0.0003231964144206042,Binance,9787.0,0.0031662895975319858
2018-03-12 14:00:00,BTCUSDT,SHORT,0.0003231964144206042,Binance,9245.99,0.0029882708157687623
2018-03-19 13:00:00,BTCUSDT,LONG,0.00034962453252145845,Binance,8530.0,0.002985282544952994
2018-03-21 23:00:00,BTCUSDT,SHORT,0.00034962453252145845,Binance,8885.0,0.0031064139714531585
2018-03-23 22:00:00,BTCUSDT,LONG,0.00035799125287808587,Binance,8660.0,0.0031033075574817054
2018-03-24 23:00:00,BTCUSDT,SHORT,0.00035799125287808587,Binance,8539.14,0.0030569374271013777
Sharpe Ratio,Sortino Ratio,Max Drawdown,Max Drawdown Duration,Total Returns,Annualized Returns,Compound Annual Growth Rate
3.773320224739482,7.089411805129023,27.194351375728065,2509,2.0538804896742766,4.833958379781479,12.839959931987929
Trades,Trade Winning,Average Trade,Average Win,Average Loss,Best Trade,Worst Trade,Worst Trade Date,Avg Days in Trade
41,0.4634146341463415,0.03274498414317244,0.09591157470324593,-0.021807980431436495,0.3205903464605337,-0.0627254571174662,0 days 04:00:00,1 days 11:21:57
