,Parameters,Target
0,"[1.0, 3.0]",-0.25916195493666705
1,"[11.0, 3.0]",-0.9397967028655426
2,"[21.0, 3.0]",-0.9346123103148526
3,"[31.0, 3.0]",-0.8747195183839134
4,"[41.0, 3.0]",-0.8037144959604088
5,"[51.0, 3.0]",-0.8850570874266864
6,"[61.0, 3.0]",-0.835254048392926
7,"[71.0, 3.0]",-0.7828768005991065
8,"[81.0, 3.0]",-0.7975500309591034
9,"[91.0, 3.0]",-0.7594729925360957
10,"[101.0, 3.0]",-0.8096044196400582
11,"[111.0, 3.0]",-0.6793158945211646
12,"[1.0, 1.0]",-0.5299466997215613
13,"[81.0, 1.0]",-0.9338644513048111
14,"[1.0, 4.0]",-0.1837800571115915
15,"[89.0, 4.0]",-0.6179088019205801
16,"[31.0, 2.0]",-0.9232493863002191
17,"[82.0, 2.0]",-0.8518801431361678
18,"[9.0, 4.0]",-0.8807666209216797
19,"[73.0, 2.0]",-0.8598341406932519
20,"[90.0, 1.0]",-0.8939588505562984
21,"[95.0, 3.0]",-0.7905287643267884
22,"[46.0, 1.0]",-0.9729016916541013
23,"[12.0, 4.0]",-0.9034859427733484
24,"[102.0, 3.0]",-0.7361923045787571
25,"[66.0, 4.0]",-0.7634735009921926
26,"[97.0, 4.0]",-0.6795058819040329
27,"[76.0, 2.0]",-0.784253278963055
28,"[81.0, 4.0]",-0.7211629519234778
29,"[99.0, 3.0]",-0.7976111584693129
30,"[95.0, 2.0]",-0.8911851724537516
31,"[38.0, 4.0]",-0.7970435716460321
32,"[120.0, 5.0]",-0.5833437742410474
33,"[13.0, 1.0]",-0.9926764201043183
34,"[10.0, 1.0]",-0.9909793643646626
35,"[106.0, 5.0]",-0.621463534988386
36,"[101.0, 4.0]",-0.7616064161539383
37,"[106.0, 1.0]",-0.894960978403591
38,"[13.0, 4.0]",-0.8598654288855803
39,"[32.0, 4.0]",-0.8299683208685932
40,"[111.0, 1.0]",-0.784006156676606
41,"[28.0, 4.0]",-0.8615063225076794
42,"[10.0, 4.0]",-0.8923295825627421
43,"[1.0, 5.0]",-0.22270541233669894
44,"[102.0, 1.0]",-0.9007823750436468
45,"[15.0, 2.0]",-0.9700146569900195
46,"[6.0, 4.0]",-0.9073746863069042
47,"[4.0, 4.0]",-0.9702944683801997
48,"[20.0, 2.0]",-0.9417024107432129
49,"[46.0, 3.0]",-0.8609341308973399
50,"[104.0, 3.0]",-0.7083161341953211
51,"[120.0, 1.0]",-0.7723062505321692
52,"[115.0, 5.0]",-0.5655682578870579
53,"[112.0, 2.0]",-0.6096762027220881
54,"[42.0, 1.0]",-0.9725840438989196
55,"[56.0, 5.0]",-0.6667280868368304
56,"[65.0, 1.0]",-0.9491303614279458
57,"[8.0, 2.0]",-0.9577959612128195
58,"[56.0, 1.0]",-0.9680326017576211
59,"[100.0, 3.0]",-0.8255371129476243
60,"[51.0, 4.0]",-0.8177083736890565
61,"[27.0, 4.0]",-0.8542012961445798
62,"[5.0, 1.0]",-0.9938673159435262
63,"[2.0, 1.0]",-0.9994165478191229
64,"[72.0, 2.0]",-0.8368611300234782
65,"[24.0, 1.0]",-0.9961203137267045
66,"[110.0, 1.0]",-0.8785811612381956
67,"[93.0, 3.0]",-0.787707232531879
68,"[40.0, 1.0]",-0.9771466263780847
69,"[52.0, 3.0]",-0.8893923842290725
70,"[110.0, 2.0]",-0.7032529482521865
71,"[116.0, 1.0]",-0.6606926203341328
72,"[58.0, 2.0]",-0.883025320068907
73,"[105.0, 3.0]",-0.7581863257248883
74,"[80.0, 2.0]",-0.8659559457428753
75,"[109.0, 2.0]",-0.7591611208882235
76,"[3.0, 1.0]",-0.9972067417785082
77,"[44.0, 3.0]",-0.8470369318743936
78,"[117.0, 3.0]",-0.6447635015058224
79,"[100.0, 1.0]",-0.8902962628621663
80,"[56.0, 4.0]",-0.7523085893820015
81,"[7.0, 2.0]",-0.982532760122169
82,"[13.0, 3.0]",-0.8849730018744395
83,"[73.0, 3.0]",-0.7041959857816109
84,"[51.0, 1.0]",-0.9752466895843502
85,"[48.0, 2.0]",-0.926277656748828
86,"[54.0, 1.0]",-0.9634334187723795
87,"[85.0, 4.0]",-0.7100783673603703
88,"[107.0, 1.0]",-0.8379576523308608
89,"[75.0, 5.0]",-0.6292795286602895
90,"[53.0, 4.0]",-0.8353840577613135
91,"[27.0, 2.0]",-0.9461861641944417
92,"[47.0, 2.0]",-0.9068342523445223
93,"[30.0, 3.0]",-0.8986940362690614
94,"[88.0, 4.0]",-0.6873643171871133
95,"[83.0, 1.0]",-0.8373364797736748
96,"[80.0, 3.0]",-0.8036096607028966
97,"[15.0, 3.0]",-0.9345063993581949
98,"[106.0, 2.0]",-0.7550418845365796
99,"[95.0, 1.0]",-0.8753807963781471
100,"[87.0, 2.0]",-0.844394523202838
101,"[8.0, 4.0]",-0.863249609913716
102,"[62.0, 3.0]",-0.8373908583741984
103,"[82.0, 1.0]",-0.9174872515026382
104,"[82.0, 4.0]",-0.6589346340958747
105,"[89.0, 2.0]",-0.8627748582643311
106,"[116.0, 4.0]",-0.5701688710153225
107,"[107.0, 2.0]",-0.7422568312288256
108,"[72.0, 4.0]",-0.7537861209810978
109,"[16.0, 3.0]",-0.9112945495445575
110,"[71.0, 2.0]",-0.8105473969943295
111,"[50.0, 2.0]",-0.8804759458459895
