RSIStrategy_5_70_30,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2017-05-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-28 10:00:00,BTCUSDT,LONG,100,Binance,5734.04,573.404
2017-10-28 19:00:00,BTCUSDT,SHORT,100,Binance,5726.02,572.6020000000001
2017-10-29 01:00:00,BTCUSDT,LONG,100,Binance,5670.42,567.042
2017-10-29 05:00:00,BTCUSDT,SHORT,100,Binance,5747.93,574.793
2017-10-29 12:00:00,BTCUSDT,LONG,100,Binance,5758.75,575.875
2017-10-29 15:00:00,BTCUSDT,SHORT,100,Binance,5949.01,594.9010000000001
2017-10-30 15:00:00,BTCUSDT,LONG,100,Binance,6070.99,607.099
2017-10-30 19:00:00,BTCUSDT,SHORT,100,Binance,6111.58,611.158
2017-10-31 19:00:00,BTCUSDT,LONG,100,Binance,6329.98,632.998
2017-10-31 23:00:00,BTCUSDT,SHORT,100,Binance,6463.0,646.3000000000001
2017-11-01 04:00:00,BTCUSDT,LONG,100,Binance,6369.91,636.991
2017-11-01 09:00:00,BTCUSDT,SHORT,100,Binance,6554.85,655.4850000000001
2017-11-02 18:00:00,BTCUSDT,LONG,100,Binance,6858.07,685.807
2017-11-02 21:00:00,BTCUSDT,SHORT,100,Binance,7070.0,707.0
2017-11-03 20:00:00,BTCUSDT,LONG,100,Binance,7190.02,719.0020000000001
2017-11-04 06:00:00,BTCUSDT,SHORT,100,Binance,7114.99,711.499
2017-11-05 17:00:00,BTCUSDT,LONG,100,Binance,7485.38,748.538
2017-11-06 09:00:00,BTCUSDT,SHORT,100,Binance,7303.02,730.3020000000001
2017-11-06 16:00:00,BTCUSDT,LONG,100,Binance,7173.64,717.364
2017-11-07 03:00:00,BTCUSDT,SHORT,100,Binance,7120.17,712.017
2017-11-07 13:00:00,BTCUSDT,LONG,100,Binance,7014.99,701.499
2017-11-07 19:00:00,BTCUSDT,SHORT,100,Binance,7059.78,705.9780000000001
2017-11-08 18:00:00,BTCUSDT,LONG,100,Binance,7070.0,707.0
2017-11-08 23:00:00,BTCUSDT,SHORT,100,Binance,7303.0,730.3000000000001
2017-11-09 09:00:00,BTCUSDT,LONG,100,Binance,7199.99,719.999
2017-11-10 02:00:00,BTCUSDT,SHORT,100,Binance,7217.0,721.7
2017-11-10 09:00:00,BTCUSDT,LONG,100,Binance,7059.99,705.999
2017-11-11 01:00:00,BTCUSDT,SHORT,100,Binance,6789.97,678.9970000000001
2017-11-11 06:00:00,BTCUSDT,LONG,100,Binance,6652.16,665.216
2017-11-12 10:00:00,BTCUSDT,SHORT,100,Binance,6259.99,625.999
2017-11-12 16:00:00,BTCUSDT,LONG,100,Binance,6080.11,608.011
2017-11-13 03:00:00,BTCUSDT,SHORT,100,Binance,5980.13,598.013
2017-11-13 18:00:00,BTCUSDT,LONG,100,Binance,6230.42,623.042
2017-11-13 23:00:00,BTCUSDT,SHORT,100,Binance,6465.99,646.599
2017-11-14 05:00:00,BTCUSDT,LONG,100,Binance,6519.01,651.9010000000001
2017-11-14 18:00:00,BTCUSDT,SHORT,100,Binance,6477.44,647.744
2017-11-16 01:00:00,BTCUSDT,LONG,100,Binance,7125.02,712.5020000000001
2017-11-16 06:00:00,BTCUSDT,SHORT,100,Binance,7268.07,726.807
2017-11-17 07:00:00,BTCUSDT,LONG,100,Binance,7498.0,749.8000000000001
2017-11-18 07:00:00,BTCUSDT,SHORT,100,Binance,7674.97,767.4970000000001
2017-11-18 16:00:00,BTCUSDT,LONG,100,Binance,7639.98,763.998
2017-11-18 18:00:00,BTCUSDT,SHORT,100,Binance,7739.98,773.998
2017-11-19 06:00:00,BTCUSDT,LONG,100,Binance,7713.06,771.306
2017-11-19 17:00:00,BTCUSDT,SHORT,100,Binance,7944.0,794.4000000000001
2017-11-21 02:00:00,BTCUSDT,LONG,100,Binance,8095.14,809.5140000000001
2017-11-21 08:00:00,BTCUSDT,SHORT,100,Binance,8210.98,821.098
2017-11-21 19:00:00,BTCUSDT,LONG,100,Binance,8109.84,810.984
2017-11-22 03:00:00,BTCUSDT,SHORT,100,Binance,8184.97,818.4970000000001
2017-11-22 13:00:00,BTCUSDT,LONG,100,Binance,8150.22,815.022
2017-11-22 22:00:00,BTCUSDT,SHORT,100,Binance,8239.82,823.982
