RSIStrategy_5_55_10,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-01 06:00:00,BTCUSDT,LONG,100,Binance,6831.31,683.1310000000001
2018-04-01 16:00:00,BTCUSDT,SHORT,100,Binance,6783.71,678.3710000000001
2018-04-02 12:00:00,BTCUSDT,LONG,100,Binance,6990.26,699.0260000000001
2018-04-02 19:00:00,BTCUSDT,SHORT,100,Binance,6989.8,698.98
2018-04-02 20:00:00,BTCUSDT,LONG,100,Binance,6939.95,693.995
2018-04-02 22:00:00,BTCUSDT,SHORT,100,Binance,7031.0,703.1
2018-04-04 10:00:00,BTCUSDT,LONG,100,Binance,7087.94,708.794
2018-04-04 20:00:00,BTCUSDT,SHORT,100,Binance,6826.17,682.6170000000001
2018-04-05 18:00:00,BTCUSDT,LONG,100,Binance,6700.0,670.0
2018-04-05 22:00:00,BTCUSDT,SHORT,100,Binance,6816.0,681.6
2018-04-06 09:00:00,BTCUSDT,LONG,100,Binance,6571.98,657.198
2018-04-06 15:00:00,BTCUSDT,SHORT,100,Binance,6580.01,658.0010000000001
2018-04-09 12:00:00,BTCUSDT,LONG,100,Binance,6740.0,674.0
2018-04-09 16:00:00,BTCUSDT,SHORT,100,Binance,6754.97,675.4970000000001
2018-04-11 18:00:00,BTCUSDT,LONG,100,Binance,6899.75,689.975
2018-04-11 22:00:00,BTCUSDT,SHORT,100,Binance,6931.0,693.1
2018-04-12 16:00:00,BTCUSDT,LONG,100,Binance,7619.0,761.9000000000001
2018-04-12 19:00:00,BTCUSDT,SHORT,100,Binance,7700.0,770.0
2018-04-13 20:00:00,BTCUSDT,LONG,100,Binance,7885.0,788.5
2018-04-14 01:00:00,BTCUSDT,SHORT,100,Binance,8065.24,806.524
2018-04-14 12:00:00,BTCUSDT,LONG,100,Binance,7878.0,787.8000000000001
2018-04-14 16:00:00,BTCUSDT,SHORT,100,Binance,8000.0,800.0
2018-04-16 05:00:00,BTCUSDT,LONG,100,Binance,8036.43,803.643
2018-04-16 10:00:00,BTCUSDT,SHORT,100,Binance,8074.44,807.444
2018-04-18 14:00:00,BTCUSDT,LONG,100,Binance,7970.91,797.091
2018-04-18 19:00:00,BTCUSDT,SHORT,100,Binance,8116.65,811.665
2018-04-19 07:00:00,BTCUSDT,LONG,100,Binance,8166.97,816.6970000000001
2018-04-19 09:00:00,BTCUSDT,SHORT,100,Binance,8231.0,823.1
2018-04-25 11:00:00,BTCUSDT,LONG,100,Binance,9144.03,914.4030000000001
2018-04-25 19:00:00,BTCUSDT,SHORT,100,Binance,8969.98,896.998
2018-04-27 21:00:00,BTCUSDT,LONG,100,Binance,8975.35,897.5350000000001
2018-04-28 01:00:00,BTCUSDT,SHORT,100,Binance,9126.81,912.681
2018-04-30 22:00:00,BTCUSDT,LONG,100,Binance,9186.54,918.6540000000001
2018-05-01 08:00:00,BTCUSDT,SHORT,100,Binance,9048.0,904.8000000000001
2018-05-05 19:00:00,BTCUSDT,LONG,100,Binance,9870.0,987.0
2018-05-06 00:00:00,BTCUSDT,SHORT,100,Binance,9956.08,995.6080000000001
2018-05-06 05:00:00,BTCUSDT,LONG,100,Binance,9751.15,975.115
2018-05-06 16:00:00,BTCUSDT,SHORT,100,Binance,9599.36,959.9360000000001
2018-05-07 03:00:00,BTCUSDT,LONG,100,Binance,9350.02,935.0020000000001
2018-05-07 06:00:00,BTCUSDT,SHORT,100,Binance,9371.53,937.1530000000001
2018-05-08 13:00:00,BTCUSDT,LONG,100,Binance,9128.88,912.8879999999999
2018-05-08 18:00:00,BTCUSDT,SHORT,100,Binance,9217.0,921.7
2018-05-10 20:00:00,BTCUSDT,LONG,100,Binance,9078.89,907.889
2018-05-11 05:00:00,BTCUSDT,SHORT,100,Binance,9007.19,900.719
2018-05-11 13:00:00,BTCUSDT,LONG,100,Binance,8528.86,852.8860000000001
2018-05-11 16:00:00,BTCUSDT,SHORT,100,Binance,8642.0,864.2
