,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,b,s,window
3,-1.75%,0.37%,1.21%,0 days 08:52:56,13.53%,71.37909643644906,1638,2.4173669647427007,1.6202180699999933,72%,170,-7.50%,1 days 10:00:00,30,70,5
4,-2.22%,0.32%,1.58%,0 days 14:07:42,11.50%,71.02946400447628,2255,1.8750956377551136,0.8521777499999885,67%,148,-9.36%,2 days 04:00:00,40,80,5
0,-1.45%,0.32%,0.99%,0 days 06:19:44,13.53%,44.45968441840868,1463,1.6608587234744827,0.8271357400000061,72%,149,-5.82%,0 days 22:00:00,20,60,5
5,N/A,N/A,N/A,0,N/A,104.0819433696784,2265,-0.3607865870981582,-0.21165479000000054,N/A,0,N/A,0,40,80,96
6,N/A,N/A,N/A,0,N/A,104.0819433696784,2265,-0.3607865870981582,-0.21165479000000054,N/A,0,N/A,0,40,80,60
7,N/A,N/A,N/A,0,N/A,104.0819433696784,2265,-0.3607865870981582,-0.21165479000000054,N/A,0,N/A,0,40,80,72
8,N/A,N/A,N/A,0,N/A,104.0819433696784,2265,-0.3607865870981582,-0.21165479000000054,N/A,0,N/A,0,40,80,84
9,N/A,N/A,N/A,0,N/A,104.0819433696784,2265,-0.3607865870981582,-0.21165479000000054,N/A,0,N/A,0,40,80,120
1,-1.94%,0.03%,0.82%,0 days 06:00:43,2.72%,111.4787867830019,1352,-0.38874466158127957,-1.171796390000002,71%,84,-5.55%,0 days 16:00:00,10,55,5
2,-3.20%,-0.25%,2.09%,1 days 07:44:39,5.31%,161.1479984727615,2354,-1.80834725579337,-1.7143793700000038,56%,43,-9.77%,2 days 12:00:00,30,70,12
