RSIStrategy_10_70_30,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:31:00+00:00,ETHUSDT,LONG,1,ARCA,483.17,0.013
2018-07-25 01:11:00+00:00,ETHUSDT,SHORT,1,ARCA,479.87,0.013
2018-07-25 01:33:00+00:00,ETHUSDT,LONG,1,ARCA,480.3,0.013
2018-07-25 01:49:00+00:00,ETHUSDT,SHORT,1,ARCA,481.11,0.013
2018-07-25 02:07:00+00:00,ETHUSDT,LONG,1,ARCA,481.11,0.013
2018-07-25 02:33:00+00:00,ETHUSDT,SHORT,1,ARCA,478.6,0.013
2018-07-25 03:05:00+00:00,ETHUSDT,LONG,1,ARCA,477.06,0.013
2018-07-25 03:40:00+00:00,ETHUSDT,SHORT,1,ARCA,477.16,0.013
