,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,b,s,window
0,-0.25%,-0.09%,0.12%,0 days 00:08:34.285714,0.27%,1.0116729962820779,228,-0.5308134935424954,-0.004089999999999039,43%,7,-0.42%,0 days 00:18:00,10,55,5
1,-0.35%,-0.09%,0.08%,0 days 00:09:54,0.14%,1.4352011858788358,228,-0.6909930204296724,-0.006605999999998335,60%,10,-0.62%,0 days 00:26:00,20,60,5
2,-0.32%,-0.06%,0.15%,0 days 00:13:20,0.35%,1.4963330849432834,228,-0.36397727530206225,-0.0038939999999985098,56%,9,-0.62%,0 days 00:26:00,30,70,5
3,-0.33%,-0.12%,0.16%,0 days 00:21:34.285714,0.28%,1.5159167263864106,228,-0.6511358502612418,-0.007610000000000006,43%,7,-0.62%,0 days 00:26:00,40,80,5
4,-0.44%,-0.18%,0.21%,0 days 00:33:48,0.28%,1.4840061773654742,233,-0.6608818047556819,-0.008105999999999391,40%,5,-0.62%,0 days 00:26:00,45,90,5
5,nan%,0.36%,0.36%,0 days 00:08:00,0.36%,0.07570671219695838,112,1.7916385918726123,0.0034279999999999866,100%,1,0.36%,0 days 00:08:00,10,55,10
6,-0.16%,-0.08%,0.14%,0 days 00:15:15,0.14%,0.8858029687990386,215,-0.440505047812038,-0.0033879999999997246,25%,4,-0.39%,0 days 00:24:00,20,60,10
7,-0.60%,-0.25%,0.09%,0 days 00:29:15,0.17%,1.4727593460884443,228,-1.0267090717703617,-0.010007999999999462,50%,4,-0.68%,0 days 00:40:00,30,70,10
8,-0.63%,-0.33%,0.25%,0 days 00:53:20,0.25%,1.43679940546231,228,-0.6228383568719867,-0.007521999999999807,33%,3,-0.82%,0 days 01:33:00,40,80,10
9,-0.70%,-0.70%,nan%,0 days 03:15:00,-0.70%,1.6621483667194732,228,-0.3471500467264525,-0.0045179999999998,0%,1,-0.70%,0 days 03:15:00,45,90,10
10,nan%,0.37%,0.37%,0 days 00:10:00,0.37%,0.11156778639550481,112,1.5905297877883267,0.0034479999999998956,100%,1,0.37%,0 days 00:10:00,10,55,12
11,-0.22%,-0.11%,0.11%,0 days 00:27:20,0.11%,1.1747430249632582,215,-0.4364950869630655,-0.0033359999999994505,33%,3,-0.37%,0 days 00:26:00,20,60,12
12,-0.50%,-0.14%,0.22%,0 days 00:31:45,0.37%,1.0562000000000071,227,-0.5827456065430838,-0.005808000000000035,50%,4,-0.64%,0 days 00:40:00,30,70,12
13,-0.43%,-0.43%,nan%,0 days 01:30:00,-0.22%,1.4695629069216505,228,-0.5712051419665888,-0.0067499999999990346,0%,2,-0.65%,0 days 01:35:00,40,80,12
14,N/A,N/A,N/A,0,N/A,1.6621483667194732,228,-0.5022348636139006,-0.006605999999999557,N/A,0,N/A,0,45,90,12
15,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,26
16,nan%,0.35%,0.35%,0 days 00:26:00,0.35%,0.23706737693912633,99,0.9425624645746754,0.0033080000000003107,100%,1,0.35%,0 days 00:26:00,20,60,26
17,nan%,0.27%,0.27%,0 days 01:23:00,0.27%,0.6808874299394839,62,0.3580808186805113,0.0025079999999997327,100%,1,0.27%,0 days 01:23:00,30,70,26
18,N/A,N/A,N/A,0,N/A,1.4848223686698319,143,-0.08845353353947348,-0.0011659999999996673,N/A,0,N/A,0,40,80,26
19,N/A,N/A,N/A,0,N/A,1.4848223686698319,143,-0.08845353353947348,-0.0011659999999996673,N/A,0,N/A,0,45,90,26
20,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,30
21,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,20,60,30
22,nan%,0.62%,0.62%,0 days 01:22:00,0.62%,0.6793275255146081,62,0.8787046139482706,0.005908000000000246,100%,1,0.62%,0 days 01:22:00,30,70,30
23,N/A,N/A,N/A,0,N/A,1.4834936474256326,143,-0.01592861366829999,-0.00026599999999987745,N/A,0,N/A,0,40,80,30
24,N/A,N/A,N/A,0,N/A,1.4848223686698319,143,-0.08845353353947348,-0.0011659999999996673,N/A,0,N/A,0,45,90,30
25,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,35
26,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,20,60,35
27,N/A,N/A,N/A,0,N/A,1.4784954228080422,143,0.28243642552059944,0.0031340000000010804,N/A,0,N/A,0,30,70,35
28,N/A,N/A,N/A,0,N/A,1.4843496618428775,143,-0.06663847985266062,-0.0008460000000009016,N/A,0,N/A,0,40,80,35
29,N/A,N/A,N/A,0,N/A,1.4834936474256326,143,-0.01592861366829999,-0.00026599999999987745,N/A,0,N/A,0,45,90,35
30,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,45
31,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,20,60,45
32,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,30,70,45
33,N/A,N/A,N/A,0,N/A,1.4829628245472233,143,0.013696725218417857,9.400000000114872e-05,N/A,0,N/A,0,40,80,45
34,N/A,N/A,N/A,0,N/A,1.4827564960039379,143,0.025719554474409483,0.0002339999999991793,N/A,0,N/A,0,45,90,45
35,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,60
36,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,20,60,60
37,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,30,70,60
38,N/A,N/A,N/A,0,N/A,0.6793275255146081,62,0.67882844263016,0.006034000000000317,N/A,0,N/A,0,40,80,60
39,N/A,N/A,N/A,0,N/A,1.4784954228080422,143,0.28243642552059944,0.0031340000000010804,N/A,0,N/A,0,45,90,60
40,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,72
41,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,20,60,72
