,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,b,s,window
0,N/A,N/A,N/A,0,N/A,0.9518777321958476,40,0.20914670558794524,0.0010139999999998484,N/A,0,N/A,0,40,80,96
1,N/A,N/A,N/A,0,N/A,0.9518777321958476,40,0.20914670558794524,0.0010139999999998484,N/A,0,N/A,0,40,80,84
2,N/A,N/A,N/A,0,N/A,0.9518777321958476,40,0.20914670558794524,0.0010139999999998484,N/A,0,N/A,0,40,80,72
3,N/A,N/A,N/A,0,N/A,0.9518777321958476,40,0.20914670558794524,0.0010139999999998484,N/A,0,N/A,0,40,80,60
4,nan%,0.38%,0.38%,0 days 00:12:00,0.38%,0.15264528702695287,105,1.1744137394955816,0.0021020000000002703,100%,1,0.38%,0 days 00:12:00,30,70,30
5,N/A,N/A,N/A,0,N/A,0.5056591857088608,13,-1.7409081216457296,-0.004386000000000223,N/A,0,N/A,0,10,55,12
6,N/A,N/A,N/A,0,N/A,0.5059119713169862,13,-1.9265829800529874,-0.004885999999999835,N/A,0,N/A,0,10,55,10
7,nan%,0.18%,0.18%,0 days 00:03:00,0.18%,0.0025955512251859777,114,2.0660292152713544,0.0016880000000003559,100%,1,0.18%,0 days 00:03:00,20,60,26
8,N/A,N/A,N/A,0,N/A,0.9524620450805809,40,0.08410298328449878,0.00039400000000044955,N/A,0,N/A,0,45,90,60
9,nan%,0.38%,0.38%,0 days 00:12:00,0.38%,0.07586995889044895,105,2.491674937008075,0.0036080000000002777,100%,1,0.38%,0 days 00:12:00,30,70,35
