,Parameters,Target
0,"[1.0, 75.0, 25.0]",-0.8511762109254872
1,"[25.0, 73.0, 27.0]",-0.10289731367802357
2,"[49.0, 71.0, 29.0]",-0.32401676897082776
3,"[73.0, 69.0, 31.0]",-0.11320131847470238
4,"[97.0, 67.0, 33.0]",-0.038780653161398004
5,"[121.0, 65.0, 35.0]",0.05792681221396956
6,"[145.0, 63.0, 37.0]",0.05592658137428397
7,"[169.0, 61.0, 39.0]",0.07197632147010213
8,"[193.0, 59.0, 41.0]",0.5532362985536885
9,"[217.0, 57.0, 43.0]",-0.10368699148485105
10,"[240.0, 75.0, 25.0]",0.0
11,"[159.0, 59.0, 37.0]",0.03269011761644647
12,"[37.0, 65.0, 26.0]",0.061186018233063244
13,"[48.0, 64.0, 36.0]",-0.49365271875175387
14,"[131.0, 55.0, 25.0]",0.0
15,"[221.0, 67.0, 39.0]",0.25218529843775306
16,"[141.0, 63.0, 38.0]",-0.2053789827523308
17,"[64.0, 70.0, 36.0]",-0.4967543013071992
18,"[194.0, 75.0, 25.0]",0.0
19,"[191.0, 55.0, 25.0]",0.0
20,"[62.0, 65.0, 39.0]",-0.4007298845251589
21,"[43.0, 55.0, 40.0]",-0.48095822559786017
22,"[80.0, 55.0, 25.0]",0.0
23,"[45.0, 66.0, 40.0]",-0.19777121266216235
24,"[196.0, 75.0, 45.0]",0.1722426609765808
25,"[187.0, 55.0, 45.0]",-0.1316968753820914
26,"[10.0, 55.0, 45.0]",-0.21006549555434417
27,"[212.0, 64.0, 25.0]",0.0
28,"[154.0, 75.0, 25.0]",0.0
29,"[198.0, 64.0, 38.0]",0.0
30,"[85.0, 55.0, 45.0]",-0.4921470971965426
31,"[177.0, 75.0, 41.0]",0.18186778468667053
32,"[110.0, 75.0, 45.0]",0.1722426609765808
33,"[56.0, 65.0, 27.0]",-0.04673843240381592
34,"[30.0, 75.0, 45.0]",-0.25754902692550163
35,"[238.0, 75.0, 45.0]",0.1722426609765808
36,"[109.0, 55.0, 25.0]",0.0
37,"[64.0, 55.0, 25.0]",0.0
38,"[66.0, 74.0, 41.0]",0.021150913762237877
39,"[114.0, 75.0, 25.0]",0.0
40,"[237.0, 55.0, 25.0]",0.0
41,"[21.0, 55.0, 25.0]",-0.10993354077586315
42,"[112.0, 55.0, 45.0]",-0.2441910924895947
43,"[86.0, 75.0, 25.0]",0.0
44,"[46.0, 55.0, 25.0]",0.029758157474148117
45,"[1.0, 75.0, 45.0]",-0.8511762109254872
46,"[184.0, 64.0, 35.0]",0.0
47,"[150.0, 55.0, 25.0]",0.0
48,"[1.0, 55.0, 25.0]",-0.8511762109254872
49,"[222.0, 75.0, 25.0]",0.0
50,"[48.0, 66.0, 30.0]",-0.5159129063096943
51,"[4.0, 71.0, 36.0]",0.15765514945062598
52,"[172.0, 75.0, 25.0]",0.0
53,"[119.0, 55.0, 25.0]",0.0
