RSIStrategy_2_77_34,tickers,['BTCUSDT'],initial equity,1,frequency,60 min,,
,,,,,,,,
Start date,2018/4/1 0:00,End date,2018/9/1 0:00,,,,,
,,,,,,,,
timestamp,ticker,action,quantity,exchange,price,commission,,
,,,,,,,,
2018/4/1 2:00,BTCUSDT,LONG,0.000144264,Binance,6924.79,0.001,,
,,,,,,,,
2018/4/1 9:00,BTCUSDT,SHORT,0.000144264,Binance,6763.86,0.000975784,,
,,,,,,,,
2018/4/1 11:00,BTCUSDT,LONG,0.00014565,Binance,6686.1,0.000974808,,
,,,,,,,,
2018/4/1 16:00,BTCUSDT,SHORT,0.00014565,Binance,6783.71,0.00098805,,
,,,,,,,,
2018/4/1 21:00,BTCUSDT,LONG,0.000144607,Binance,6819,0.000987062,,
,,,,,,,,
2018/4/2 0:00,BTCUSDT,SHORT,0.000144607,Binance,6983.36,0.001009842,,
,,,,,,,,
2018/4/2 4:00,BTCUSDT,LONG,0.00014644,Binance,6882.18,0.001008833,,
,,,,,,,,
2018/4/2 7:00,BTCUSDT,SHORT,0.00014644,Binance,7060.23,0.001033897,,
,,,,,,,,
2018/4/2 11:00,BTCUSDT,LONG,0.000146442,Binance,7046.01,0.001032863,,
,,,,,,,,
2018/4/2 16:00,BTCUSDT,SHORT,0.000146442,Binance,7014.25,0.00102718,,
,,,,,,,,
2018/4/2 17:00,BTCUSDT,LONG,0.000146752,Binance,6985.42,0.001026152,,
,,,,,,,,
2018/4/2 22:00,BTCUSDT,SHORT,0.000146752,Binance,7031,0.001031815,,
,,,,,,,,
2018/4/3 1:00,BTCUSDT,LONG,0.000146563,Binance,7026,0.001030783,,
,,,,,,,,
2018/4/3 2:00,BTCUSDT,SHORT,0.000146563,Binance,7169.99,0.001050856,,
,,,,,,,,
2018/4/3 6:00,BTCUSDT,LONG,0.000143077,Binance,7330,0.001049805,,
,,,,,,,,
2018/4/3 7:00,BTCUSDT,SHORT,0.000143077,Binance,7395,0.001058056,,
,,,,,,,,
2018/4/3 9:00,BTCUSDT,LONG,0.000143476,Binance,7359.7,0.001056997,,
,,,,,,,,
2018/4/3 12:00,BTCUSDT,SHORT,0.000143476,Binance,7362.91,0.001056401,,
,,,,,,,,
2018/4/3 20:00,BTCUSDT,LONG,0.000142664,Binance,7390,0.001055345,,
,,,,,,,,
2018/4/4 0:00,BTCUSDT,SHORT,0.000142664,Binance,7410.66,0.001057237,,
,,,,,,,,
2018/4/4 1:00,BTCUSDT,LONG,0.000144098,Binance,7322.27,0.00105618,,
,,,,,,,,
2018/4/4 4:00,BTCUSDT,SHORT,0.000144098,Binance,7297,0.001051482,,
,,,,,,,,
2018/4/4 7:00,BTCUSDT,LONG,0.000143666,Binance,7304.31,0.00105043,,
,,,,,,,,
2018/4/4 19:00,BTCUSDT,SHORT,0.000143666,Binance,6854.41,0.000984745,,
,,,,,,,,
2018/4/4 20:00,BTCUSDT,LONG,0.000143972,Binance,6826.17,0.00098376,,
,,,,,,,,
2018/4/5 3:00,BTCUSDT,SHORT,0.000143972,Binance,6776.99,0.000975696,,
